ダウンロードした時刻：2019/06/29 18:32:04

集計開始,,,集計終了,,,酒田,酒田
年,月,日,年,月,日,降水量の合計(mm),降水量の合計(mm)
,,,,,,,現象なし情報
1969,2,1,1969,2,10,36.5,0
1969,2,11,1969,2,20,48.0,0
1969,2,21,1969,2,28,32.5,0
1969,3,1,1969,3,10,38.0,0
1969,3,11,1969,3,20,32.5,0
1969,3,21,1969,3,31,27.5,0
1969,4,1,1969,4,10,39.5,0
1969,4,11,1969,4,20,56.0,0
1969,4,21,1969,4,30,64.5,0
1969,5,1,1969,5,10,10.0,0
1969,5,11,1969,5,20,62.5,0
1969,5,21,1969,5,31,22.0,0
1969,6,1,1969,6,10,32.0,0
1969,6,11,1969,6,20,7.5,0
1969,6,21,1969,6,30,18.5,0
1970,2,1,1970,2,10,36.5,0
1970,2,11,1970,2,20,22.5,0
1970,2,21,1970,2,28,32.5,0
1970,3,1,1970,3,10,35.0,0
1970,3,11,1970,3,20,20.0,0
1970,3,21,1970,3,31,39.0,0
1970,4,1,1970,4,10,17.0,0
1970,4,11,1970,4,20,37.5,0
1970,4,21,1970,4,30,21.5,0
1970,5,1,1970,5,10,1.5,0
1970,5,11,1970,5,20,34.0,0
1970,5,21,1970,5,31,6.0,0
1970,6,1,1970,6,10,12.5,0
1970,6,11,1970,6,20,34.5,0
1970,6,21,1970,6,30,6.0,0
1971,2,1,1971,2,10,37.5,0
1971,2,11,1971,2,20,29.5,0
1971,2,21,1971,2,28,31.0,0
1971,3,1,1971,3,10,39.0,0
1971,3,11,1971,3,20,35.0,0
1971,3,21,1971,3,31,30.5,0
1971,4,1,1971,4,10,39.5,0
1971,4,11,1971,4,20,23.5,0
1971,4,21,1971,4,30,26.0,0
1971,5,1,1971,5,10,50.5,0
1971,5,11,1971,5,20,4.0,0
1971,5,21,1971,5,31,17.5,0
1971,6,1,1971,6,10,33.5,0
1971,6,11,1971,6,20,61.0,0
1971,6,21,1971,6,30,27.5,0
1972,2,1,1972,2,10,15.5,0
1972,2,11,1972,2,20,26.5,0
1972,2,21,1972,2,29,29.5,0
1972,3,1,1972,3,10,32.5,0
1972,3,11,1972,3,20,46.0,0
1972,3,21,1972,3,31,71.5,0
1972,4,1,1972,4,10,32.5,0
1972,4,11,1972,4,20,49.0,0
1972,4,21,1972,4,30,31.0,0
1972,5,1,1972,5,10,76.0,0
1972,5,11,1972,5,20,41.5,0
1972,5,21,1972,5,31,47.0,0
1972,6,1,1972,6,10,8.5,0
1972,6,11,1972,6,20,41.5,0
1972,6,21,1972,6,30,20.0,0
1973,2,1,1973,2,10,42.0,0
1973,2,11,1973,2,20,30.5,0
1973,2,21,1973,2,28,37.0,0
1973,3,1,1973,3,10,18.5,0
1973,3,11,1973,3,20,25.5,0
1973,3,21,1973,3,31,39.5,0
1973,4,1,1973,4,10,10.0,0
1973,4,11,1973,4,20,46.5,0
1973,4,21,1973,4,30,44.5,0
1973,5,1,1973,5,10,21.5,0
1973,5,11,1973,5,20,28.0,0
1973,5,21,1973,5,31,28.0,0
1973,6,1,1973,6,10,26.5,0
1973,6,11,1973,6,20,0.0,0
1973,6,21,1973,6,30,60.0,0
1974,2,1,1974,2,10,55.0,0
1974,2,11,1974,2,20,25.5,0
1974,2,21,1974,2,28,42.0,0
1974,3,1,1974,3,10,53.0,0
1974,3,11,1974,3,20,22.5,0
1974,3,21,1974,3,31,44.5,0
1974,4,1,1974,4,10,29.5,0
1974,4,11,1974,4,20,25.5,0
1974,4,21,1974,4,30,23.0,0
1974,5,1,1974,5,10,13.5,0
1974,5,11,1974,5,20,13.0,0
1974,5,21,1974,5,31,26.5,0
1974,6,1,1974,6,10,29.5,0
1974,6,11,1974,6,20,18.5,0
1974,6,21,1974,6,30,43.5,0
1975,2,1,1975,2,10,42.0,0
1975,2,11,1975,2,20,42.0,0
1975,2,21,1975,2,28,24.5,0
1975,3,1,1975,3,10,37.0,0
1975,3,11,1975,3,20,19.5,0
1975,3,21,1975,3,31,59.0,0
1975,4,1,1975,4,10,42.5,0
1975,4,11,1975,4,20,3.0,0
1975,4,21,1975,4,30,16.0,0
1975,5,1,1975,5,10,57.0,0
1975,5,11,1975,5,20,74.0,0
1975,5,21,1975,5,31,4.5,0
1975,6,1,1975,6,10,38.0,0
1975,6,11,1975,6,20,8.0,0
1975,6,21,1975,6,30,41.0,0
1976,2,1,1976,2,10,24.5,0
1976,2,11,1976,2,20,61.0,0
1976,2,21,1976,2,29,47.5,0
1976,3,1,1976,3,10,4.0,0
1976,3,11,1976,3,20,17.0,0
1976,3,21,1976,3,31,43.5,0
1976,4,1,1976,4,10,31.0,0
1976,4,11,1976,4,20,46.5,0
1976,4,21,1976,4,30,47.0,0
1976,5,1,1976,5,10,44.0,0
1976,5,11,1976,5,20,17.5,0
1976,5,21,1976,5,31,16.0,0
1976,6,1,1976,6,10,49.0,0
1976,6,11,1976,6,20,32.5,0
1976,6,21,1976,6,30,32.5,0
1977,2,1,1977,2,10,55.5,0
1977,2,11,1977,2,20,52.5,0
1977,2,21,1977,2,28,30.0,0
1977,3,1,1977,3,10,28.5,0
1977,3,11,1977,3,20,21.0,0
1977,3,21,1977,3,31,47.5,0
1977,4,1,1977,4,10,19.0,0
1977,4,11,1977,4,20,71.5,0
1977,4,21,1977,4,30,63.5,0
1977,5,1,1977,5,10,31.5,0
1977,5,11,1977,5,20,79.0,0
1977,5,21,1977,5,31,31.5,0
1977,6,1,1977,6,10,21.0,0
1977,6,11,1977,6,20,42.0,0
1977,6,21,1977,6,30,3.5,0
1978,2,1,1978,2,10,42.0,0
1978,2,11,1978,2,20,21.5,0
1978,2,21,1978,2,28,25.5,0
1978,3,1,1978,3,10,40.5,0
1978,3,11,1978,3,20,21.0,0
1978,3,21,1978,3,31,25.0,0
1978,4,1,1978,4,10,37.0,0
1978,4,11,1978,4,20,34.0,0
1978,4,21,1978,4,30,7.0,0
1978,5,1,1978,5,10,17.0,0
1978,5,11,1978,5,20,10.0,0
1978,5,21,1978,5,31,66.0,0
1978,6,1,1978,6,10,22.5,0
1978,6,11,1978,6,20,59.0,0
1978,6,21,1978,6,30,183.5,0
1979,2,1,1979,2,10,56.0,0
1979,2,11,1979,2,20,19.5,0
1979,2,21,1979,2,28,41.0,0
1979,3,1,1979,3,10,66.0,0
1979,3,11,1979,3,20,15.0,0
1979,3,21,1979,3,31,71.5,0
1979,4,1,1979,4,10,37.0,0
1979,4,11,1979,4,20,22.5,0
1979,4,21,1979,4,30,80.5,0
1979,5,1,1979,5,10,15.5,0
1979,5,11,1979,5,20,30.0,0
1979,5,21,1979,5,31,1.5,0
1979,6,1,1979,6,10,22.0,0
1979,6,11,1979,6,20,89.0,0
1979,6,21,1979,6,30,121.5,0
1980,2,1,1980,2,10,100.0,0
1980,2,11,1980,2,20,33.0,0
1980,2,21,1980,2,29,12.5,0
1980,3,1,1980,3,10,64.0,0
1980,3,11,1980,3,20,16.0,0
1980,3,21,1980,3,31,30.0,0
1980,4,1,1980,4,10,65.0,0
1980,4,11,1980,4,20,35.0,0
1980,4,21,1980,4,30,14.5,0
1980,5,1,1980,5,10,45.0,0
1980,5,11,1980,5,20,14.5,0
1980,5,21,1980,5,31,56.0,0
1980,6,1,1980,6,10,43.0,0
1980,6,11,1980,6,20,92.0,0
1980,6,21,1980,6,30,35.0,0
1981,2,1,1981,2,10,45.0,0
1981,2,11,1981,2,20,43.0,0
1981,2,21,1981,2,28,41.5,0
1981,3,1,1981,3,10,12.0,0
1981,3,11,1981,3,20,42.0,0
1981,3,21,1981,3,31,26.0,0
1981,4,1,1981,4,10,46.5,0
1981,4,11,1981,4,20,49.5,0
1981,4,21,1981,4,30,25.5,0
1981,5,1,1981,5,10,45.0,0
1981,5,11,1981,5,20,66.0,0
1981,5,21,1981,5,31,35.5,0
1981,6,1,1981,6,10,9.5,0
1981,6,11,1981,6,20,46.0,0
1981,6,21,1981,6,30,94.0,0
1982,2,1,1982,2,10,27.0,0
1982,2,11,1982,2,20,26.0,0
1982,2,21,1982,2,28,17.5,0
1982,3,1,1982,3,10,46.5,0
1982,3,11,1982,3,20,15.0,0
1982,3,21,1982,3,31,40.5,0
1982,4,1,1982,4,10,50.5,0
1982,4,11,1982,4,20,69.0,0
1982,4,21,1982,4,30,23.5,0
1982,5,1,1982,5,10,54.5,0
1982,5,11,1982,5,20,81.0,0
1982,5,21,1982,5,31,54.0,0
1982,6,1,1982,6,10,54.5,0
1982,6,11,1982,6,20,8.0,0
1982,6,21,1982,6,30,56.5,0
1983,2,1,1983,2,10,46.5,0
1983,2,11,1983,2,20,74.5,0
1983,2,21,1983,2,28,24.5,0
1983,3,1,1983,3,10,50.0,0
1983,3,11,1983,3,20,79.0,0
1983,3,21,1983,3,31,8.0,0
1983,4,1,1983,4,10,11.5,0
1983,4,11,1983,4,20,64.0,0
1983,4,21,1983,4,30,53.0,0
1983,5,1,1983,5,10,10.0,0
1983,5,11,1983,5,20,102.5,0
1983,5,21,1983,5,31,4.0,0
1983,6,1,1983,6,10,3.5,0
1983,6,11,1983,6,20,35.0,0
1983,6,21,1983,6,30,28.5,0
1984,2,1,1984,2,10,54.5,0
1984,2,11,1984,2,20,13.0,0
1984,2,21,1984,2,29,32.0,0
1984,3,1,1984,3,10,29.5,0
1984,3,11,1984,3,20,23.0,0
1984,3,21,1984,3,31,59.0,0
1984,4,1,1984,4,10,33.0,0
1984,4,11,1984,4,20,81.0,0
1984,4,21,1984,4,30,2.0,0
1984,5,1,1984,5,10,32.5,0
1984,5,11,1984,5,20,24.5,0
1984,5,21,1984,5,31,19.5,0
1984,6,1,1984,6,10,13.5,0
1984,6,11,1984,6,20,38.5,0
1984,6,21,1984,6,30,16.5,0
1985,2,1,1985,2,10,57.5,0
1985,2,11,1985,2,20,22.0,0
1985,2,21,1985,2,28,26.5,0
1985,3,1,1985,3,10,49.0,0
1985,3,11,1985,3,20,17.5,0
1985,3,21,1985,3,31,38.5,0
1985,4,1,1985,4,10,15.0,0
1985,4,11,1985,4,20,22.5,0
1985,4,21,1985,4,30,30.0,0
1985,5,1,1985,5,10,78.0,0
1985,5,11,1985,5,20,30.0,0
1985,5,21,1985,5,31,21.5,0
1985,6,1,1985,6,10,10.0,0
1985,6,11,1985,6,20,12.5,0
1985,6,21,1985,6,30,29.0,0
1986,2,1,1986,2,10,29.5,0
1986,2,11,1986,2,20,34.5,0
1986,2,21,1986,2,28,56.0,0
1986,3,1,1986,3,10,13.0,0
1986,3,11,1986,3,20,40.5,0
1986,3,21,1986,3,31,21.0,0
1986,4,1,1986,4,10,22.5,0
1986,4,11,1986,4,20,16.0,0
1986,4,21,1986,4,30,85.0,0
1986,5,1,1986,5,10,18.5,0
1986,5,11,1986,5,20,48.5,0
1986,5,21,1986,5,31,30.0,0
1986,6,1,1986,6,10,8.5,0
1986,6,11,1986,6,20,60.0,0
1986,6,21,1986,6,30,60.0,0
1987,2,1,1987,2,10,10.5,0
1987,2,11,1987,2,20,88.0,0
1987,2,21,1987,2,28,16.5,0
1987,3,1,1987,3,10,32.0,0
1987,3,11,1987,3,20,43.0,0
1987,3,21,1987,3,31,59.0,0
1987,4,1,1987,4,10,27.0,0
1987,4,11,1987,4,20,5.0,0
1987,4,21,1987,4,30,9.5,0
1987,5,1,1987,5,10,10.0,0
1987,5,11,1987,5,20,24.0,0
1987,5,21,1987,5,31,71.0,0
1987,6,1,1987,6,10,12.5,0
1987,6,11,1987,6,20,17.0,0
1987,6,21,1987,6,30,16.5,0
1988,2,1,1988,2,10,62.5,0
1988,2,11,1988,2,20,19.0,0
1988,2,21,1988,2,29,17.5,0
1988,3,1,1988,3,10,40.0,0
1988,3,11,1988,3,20,26.5,0
1988,3,21,1988,3,31,9.5,0
