ダウンロードした時刻：2020/02/05 12:41:48

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,,,,,,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2009,12,1,7.0,8,1,12.3,8,1,1.9,8,1,9.1,0,8,1,0,1,8,1,0,1,8,1
2009,12,2,7.9,8,1,11.4,8,1,5.2,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1
2009,12,3,8.1,8,1,11.0,8,1,4.8,8,1,0.3,0,8,1,0,1,8,1,0,1,8,1
2009,12,4,7.0,8,1,10.0,8,1,3.9,8,1,3.3,0,8,1,0,1,8,1,0,1,8,1
2009,12,5,7.6,8,1,11.9,8,1,1.9,8,1,0.6,0,8,1,0,1,8,1,0,1,8,1
2009,12,6,9.1,8,1,12.3,8,1,4.3,8,1,0.7,0,8,1,0,1,8,1,0,1,8,1
2009,12,7,5.9,8,1,7.5,8,1,4.2,8,1,0.9,0,8,1,0,1,8,1,0,1,8,1
2009,12,8,6.5,8,1,9.1,5,1,2.7,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1
2009,12,9,5.9,8,1,8.7,8,1,2.7,8,1,0.9,0,8,1,0,1,8,1,0,1,8,1
2009,12,10,4.8,8,1,8.9,8,1,-0.4,8,1,8.9,0,8,1,0,1,8,1,0,1,8,1
2009,12,11,8.2,8,1,9.7,8,1,6.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2009,12,12,10.5,8,1,13.0,8,1,8.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2009,12,13,6.9,8,1,8.5,8,1,4.5,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1
2009,12,14,3.2,8,1,6.0,8,1,0.2,8,1,0.0,0,8,1,5,0,8,1,3,0,8,1
2009,12,15,2.0,8,1,3.8,8,1,0.3,8,1,0.1,0,8,1,4,0,8,1,3,0,8,1
2009,12,16,0.6,8,1,2.1,8,1,-0.3,8,1,0.0,0,8,1,21,0,8,1,20,0,8,1
2009,12,17,-0.5,8,1,1.4,8,1,-1.8,8,1,0.0,0,8,1,11,0,8,1,24,0,8,1
2009,12,18,-0.7,8,1,1.8,8,1,-2.8,8,1,0.0,0,8,1,10,0,8,1,26,0,8,1
2009,12,19,1.2,8,1,3.4,8,1,-1.9,8,1,1.2,0,8,1,5,0,8,1,24,0,8,1
2009,12,20,1.6,8,1,3.4,8,1,0.3,8,1,0.0,0,8,1,4,0,8,1,23,0,8,1
2009,12,21,0.4,8,1,3.7,8,1,-2.5,8,1,0.9,0,8,1,5,0,8,1,21,0,8,1
2009,12,22,4.1,8,1,7.3,8,1,0.7,8,1,0.0,0,8,1,0,1,8,1,19,0,8,1
2009,12,23,3.5,8,1,8.2,8,1,1.4,8,1,0.5,0,8,1,1,0,8,1,11,0,8,1
2009,12,24,5.7,8,1,7.5,8,1,3.9,8,1,0.5,0,8,1,0,1,8,1,6,0,8,1
2009,12,25,4.1,8,1,7.0,8,1,-0.1,8,1,4.9,0,8,1,0,1,8,1,0,1,8,1
2009,12,26,5.0,8,1,9.4,8,1,0.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2009,12,27,4.8,8,1,7.4,8,1,1.8,8,1,0.7,0,8,1,0,1,8,1,0,1,8,1
2009,12,28,4.3,8,1,7.2,8,1,1.6,8,1,0.1,0,8,1,0,1,8,1,0,1,8,1
2009,12,29,2.9,8,1,4.5,8,1,0.2,8,1,0.1,0,8,1,0,1,8,1,0,1,8,1
2009,12,30,4.7,8,1,9.1,8,1,-0.2,8,1,2.4,0,8,1,0,1,8,1,0,1,8,1
2009,12,31,2.9,8,1,7.1,8,1,-2.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,1,1,-0.5,8,1,1.4,8,1,-2.8,8,1,0.5,0,8,1,5,0,8,1,1,0,8,1
2010,1,2,1.6,8,1,2.9,8,1,-0.9,8,1,0.3,0,8,1,2,0,8,1,2,0,8,1
2010,1,3,2.7,8,1,4.8,8,1,0.5,8,1,0.2,0,8,1,4,0,8,1,2,0,8,1
2010,1,4,2.3,8,1,4.9,8,1,0.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,1,5,4.5,8,1,7.3,8,1,1.1,8,1,0.4,0,8,1,0,1,8,1,0,1,8,1
2010,1,6,4.3,8,1,6.3,8,1,1.9,8,1,1.4,0,8,1,0,1,8,1,0,1,8,1
2010,1,7,2.6,8,1,7.0,8,1,-1.1,8,1,4.9,0,8,1,0,1,8,1,0,1,8,1
2010,1,8,2.1,8,1,5.2,8,1,0.4,8,1,1.2,0,8,1,0,1,8,1,0,1,8,1
2010,1,9,3.7,8,1,5.0,8,1,1.8,8,1,0.6,0,8,1,0,1,8,1,0,1,8,1
2010,1,10,3.0,8,1,4.6,8,1,1.0,8,1,0.7,0,8,1,0,1,8,1,0,1,8,1
2010,1,11,3.3,8,1,5.5,8,1,1.6,8,1,1.6,0,8,1,0,1,8,1,0,1,8,1
2010,1,12,3.1,8,1,7.4,8,1,0.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,1,13,1.7,8,1,5.7,8,1,-1.8,8,1,0.0,0,8,1,1,0,8,1,1,0,8,1
2010,1,14,-1.4,8,1,-0.2,8,1,-3.1,8,1,0.2,0,8,1,7,0,8,1,3,0,8,1
2010,1,15,-0.4,8,1,0.6,8,1,-2.9,8,1,0.0,0,8,1,3,0,8,1,3,0,8,1
2010,1,16,-0.4,8,1,1.8,8,1,-3.4,8,1,2.2,0,8,1,4,0,8,1,4,0,8,1
2010,1,17,0.3,8,1,1.3,8,1,-1.5,8,1,0.3,0,8,1,3,0,8,1,3,0,8,1
2010,1,18,1.2,8,1,4.4,8,1,-2.4,8,1,0.3,0,8,1,2,0,8,1,3,0,8,1
2010,1,19,3.5,8,1,7.0,8,1,-0.4,8,1,3.3,0,8,1,1,0,8,1,2,0,8,1
2010,1,20,6.9,8,1,11.9,8,1,0.5,8,1,0.7,0,8,1,0,1,8,1,0,1,8,1
2010,1,21,2.4,8,1,11.0,8,1,-1.1,8,1,0.0,0,8,1,3,0,8,1,1,0,8,1
2010,1,22,-0.2,8,1,2.0,8,1,-2.7,8,1,0.2,0,8,1,9,0,8,1,6,0,8,1
2010,1,23,1.9,8,1,2.9,8,1,0.0,8,1,0.3,0,8,1,5,0,8,1,5,0,8,1
2010,1,24,3.2,8,1,5.7,8,1,1.3,8,1,2.2,0,8,1,0,1,8,1,4,0,8,1
2010,1,25,4.4,8,1,6.8,8,1,1.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,1,26,1.3,8,1,2.9,8,1,-0.2,8,1,0.3,0,8,1,0,1,8,1,0,1,8,1
2010,1,27,3.8,8,1,7.4,8,1,-0.1,8,1,0.7,0,8,1,0,1,8,1,0,1,8,1
2010,1,28,4.5,8,1,9.4,8,1,0.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,1,29,3.7,8,1,6.4,8,1,0.4,8,1,4.1,0,8,1,0,1,8,1,0,1,8,1
2010,1,30,3.9,8,1,5.1,8,1,2.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,1,31,5.0,8,1,8.5,8,1,1.7,8,1,0.9,0,8,1,0,1,8,1,0,1,8,1
2010,2,1,2.5,8,1,5.5,8,1,-1.0,8,1,1.6,0,8,1,0,1,8,1,0,1,8,1
2010,2,2,-0.3,8,1,2.1,8,1,-2.3,8,1,1.0,0,8,1,4,0,8,1,3,0,8,1
2010,2,3,-2.9,8,1,-1.7,8,1,-3.9,8,1,0.0,0,8,1,6,0,8,1,4,0,8,1
2010,2,4,-3.0,8,1,-1.7,8,1,-4.1,8,1,0.0,0,8,1,6,0,8,1,5,0,8,1
2010,2,5,-3.3,8,1,-1.4,8,1,-5.9,8,1,0.0,0,8,1,10,0,8,1,8,0,8,1
2010,2,6,-3.2,8,1,-0.8,8,1,-5.6,8,1,0.3,0,8,1,6,0,8,1,4,0,8,1
2010,2,7,2.0,8,1,4.0,8,1,-2.2,8,1,0.3,0,8,1,1,0,8,1,4,0,8,1
2010,2,8,3.6,8,1,7.2,8,1,-1.4,8,1,5.8,0,8,1,0,1,8,1,1,0,8,1
2010,2,9,5.4,8,1,8.2,8,1,2.0,8,1,1.1,0,8,1,0,1,8,1,0,1,8,1
2010,2,10,1.8,8,1,4.4,8,1,0.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,2,11,0.8,8,1,3.0,8,1,-0.9,8,1,1.5,0,8,1,2,0,8,1,2,0,8,1
2010,2,12,-0.6,8,1,0.8,8,1,-1.8,8,1,0.0,0,8,1,7,0,8,1,7,0,8,1
2010,2,13,-1.3,8,1,-0.5,8,1,-2.4,8,1,0.2,0,8,1,6,0,8,1,6,0,8,1
2010,2,14,1.2,8,1,3.6,8,1,-1.6,8,1,3.0,0,8,1,3,0,8,1,7,0,8,1
2010,2,15,2.0,8,1,4.8,8,1,-1.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2010,2,16,0.2,8,1,2.9,8,1,-2.5,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1
2010,2,17,-0.7,8,1,1.7,8,1,-3.2,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1
2010,2,18,1.9,8,1,7.7,8,1,-3.0,8,1,6.1,0,8,1,0,1,8,1,0,1,8,1
2010,2,19,2.0,8,1,4.8,8,1,-0.7,8,1,0.1,0,8,1,4,0,8,1,3,0,8,1
2010,2,20,0.5,8,1,3.3,8,1,-1.6,8,1,0.6,0,8,1,8,0,8,1,7,0,8,1
