ダウンロードした時刻：2020/02/05 13:20:47

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,,,,,,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
1989,12,1,7.5,8,1,9.4,8,1,3.6,8,1,0.9,0,8,1,0,0,8,1,0,1,8,1
1989,12,2,10.2,8,1,12.9,8,1,5.6,8,1,3.6,0,8,1,0,1,8,1,0,1,8,1
1989,12,3,11.6,8,1,15.9,8,1,7.7,8,1,2.6,0,8,1,0,0,8,1,0,1,8,1
1989,12,4,9.8,8,1,15.7,8,1,6.1,8,1,1.4,0,8,1,0,1,8,1,0,1,8,1
1989,12,5,6.5,8,1,8.6,8,1,4.9,8,1,1.3,0,8,1,0,1,8,1,0,1,8,1
1989,12,6,6.5,8,1,7.7,8,1,4.9,8,1,1.6,0,8,1,0,0,8,1,0,1,8,1
1989,12,7,7.3,8,1,11.2,8,1,3.5,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1
1989,12,8,6.4,8,1,10.7,8,1,2.2,8,1,0.1,0,8,1,0,0,8,1,0,1,8,1
1989,12,9,2.5,8,1,4.0,8,1,0.6,8,1,0,1,8,1,2,0,8,1,1,0,8,1
1989,12,10,4.3,8,1,7.0,8,1,0.8,8,1,0.6,0,8,1,1,0,8,1,2,0,8,1
1989,12,11,6.7,8,1,10.6,8,1,3.3,8,1,0,1,8,1,0,0,8,1,0,1,8,1
1989,12,12,3.7,8,1,5.4,8,1,1.6,8,1,1.1,0,8,1,1,0,8,1,1,0,8,1
1989,12,13,3.4,8,1,4.9,8,1,1.6,8,1,0.2,0,8,1,0,0,8,1,0,0,8,1
1989,12,14,3.4,8,1,4.4,8,1,0.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1989,12,15,6.0,8,1,8.4,8,1,3.1,8,1,0.6,0,8,1,0,1,8,1,0,1,8,1
1989,12,16,7.6,8,1,11.4,8,1,5.8,8,1,0.9,0,8,1,0,1,8,1,0,1,8,1
1989,12,17,6.5,8,1,9.6,8,1,5.0,8,1,3.9,0,8,1,0,1,8,1,0,1,8,1
1989,12,18,2.1,8,1,6.3,8,1,-1.1,8,1,0,1,8,1,0,0,8,1,0,0,8,1
1989,12,19,-0.9,8,1,0.5,8,1,-2.4,8,1,1.0,0,8,1,5,0,8,1,4,0,8,1
1989,12,20,1.8,8,1,2.9,8,1,0.0,8,1,0,1,8,1,3,0,8,1,6,0,8,1
1989,12,21,2.7,8,1,5.0,8,1,-1.2,8,1,0,1,8,1,0,0,8,1,5,0,8,1
1989,12,22,5.1,8,1,7.3,8,1,2.6,8,1,2.2,0,8,1,0,1,8,1,2,0,8,1
1989,12,23,3.0,8,1,5.5,8,1,1.5,8,1,0.2,0,8,1,0,1,8,1,0,1,8,1
1989,12,24,2.9,8,1,7.3,8,1,0.2,8,1,1.4,0,8,1,0,1,8,1,0,1,8,1
1989,12,25,4.2,8,1,10.3,8,1,0.2,8,1,7.8,0,8,1,0,1,8,1,0,1,8,1
1989,12,26,7.0,8,1,11.5,8,1,1.1,8,1,5.7,0,8,1,0,1,8,1,0,1,8,1
1989,12,27,5.1,8,1,8.1,8,1,1.2,8,1,0.3,0,8,1,0,0,8,1,0,1,8,1
1989,12,28,3.9,8,1,5.2,8,1,0.7,8,1,0.2,0,8,1,0,0,8,1,0,0,8,1
1989,12,29,4.3,8,1,5.1,8,1,3.2,8,1,0,1,8,1,0,0,8,1,0,1,8,1
1989,12,30,4.2,8,1,6.5,8,1,1.7,8,1,0.9,0,8,1,0,0,8,1,0,1,8,1
1989,12,31,0.8,8,1,3.1,8,1,-0.1,8,1,0,1,8,1,11,0,8,1,9,0,8,1
1990,1,1,1.6,8,1,4.0,8,1,-1.3,8,1,1.8,0,8,1,12,0,8,1,17,0,8,1
1990,1,2,2.3,8,1,5.0,8,1,0.5,8,1,2.3,0,8,1,3,0,8,1,16,0,8,1
1990,1,3,1.7,8,1,5.3,8,1,-0.4,8,1,2.6,0,8,1,6,0,8,1,15,0,8,1
1990,1,4,1.9,8,1,3.4,8,1,0.1,8,1,1.7,0,8,1,4,0,8,1,15,0,8,1
1990,1,5,3.3,8,1,6.2,8,1,0.5,8,1,1.0,0,8,1,1,0,8,1,15,0,8,1
1990,1,6,3.2,8,1,5.3,8,1,-0.5,8,1,0,1,8,1,0,0,8,1,13,0,8,1
1990,1,7,1.0,8,1,2.4,8,1,-1.0,8,1,0,1,8,1,12,0,8,1,22,0,8,1
1990,1,8,3.9,8,1,6.6,8,1,1.2,8,1,0.4,0,8,1,0,0,8,1,20,0,8,1
1990,1,9,1.7,8,1,6.2,8,1,-2.5,8,1,6.0,0,8,1,0,1,8,1,12,0,8,1
1990,1,10,5.5,8,1,12.0,8,1,1.4,8,1,0.1,0,8,1,0,1,8,1,9,0,8,1
1990,1,11,5.4,8,1,9.0,8,1,2.8,8,1,1.1,0,8,1,0,0,8,1,0,0,8,1
1990,1,12,5.4,8,1,10.2,8,1,1.4,8,1,4.0,0,8,1,0,0,8,1,0,1,8,1
1990,1,13,0.3,8,1,3.6,8,1,-2.3,8,1,0.3,0,8,1,3,0,8,1,3,0,8,1
1990,1,14,-0.8,8,1,1.3,8,1,-2.5,8,1,0.4,0,8,1,19,0,8,1,21,0,8,1
1990,1,15,0.2,8,1,2.6,8,1,-1.6,8,1,1.1,0,8,1,6,0,8,1,20,0,8,1
1990,1,16,-2.7,8,1,1.0,8,1,-5.3,8,1,3.9,0,8,1,0,0,8,1,19,0,8,1
1990,1,17,-0.6,8,1,2.9,8,1,-5.1,8,1,1.9,0,8,1,0,0,8,1,14,0,8,1
1990,1,18,3.1,8,1,8.7,8,1,-2.8,8,1,0.1,0,8,1,0,0,8,1,11,0,8,1
1990,1,19,2.7,8,1,5.4,8,1,-1.4,8,1,0,1,8,1,0,0,8,1,0,0,8,1
1990,1,20,-1.9,8,1,-0.5,8,1,-3.1,8,1,0.3,0,8,1,5,0,8,1,5,0,8,1
1990,1,21,-2.7,8,1,-0.4,8,1,-6.8,8,1,2.1,0,8,1,7,0,8,1,11,0,8,1
1990,1,22,0.4,8,1,3.9,8,1,-2.8,8,1,1.3,0,8,1,3,0,8,1,10,0,8,1
1990,1,23,-3.8,8,1,-0.3,8,1,-8.1,8,1,0,1,8,1,1,0,8,1,6,0,8,1
1990,1,24,-4.3,8,1,-1.3,8,1,-6.8,8,1,4.3,0,8,1,15,0,8,1,17,0,8,1
1990,1,25,-4.1,8,1,-2.2,8,1,-5.8,8,1,0,1,8,1,3,0,8,1,18,0,8,1
1990,1,26,-3.5,8,1,-2.2,8,1,-6.0,8,1,1.4,0,8,1,4,0,8,1,19,0,8,1
1990,1,27,-2.8,8,1,-0.2,8,1,-4.3,8,1,2.5,0,8,1,4,0,8,1,20,0,8,1
1990,1,28,-1.0,8,1,0.9,8,1,-3.9,8,1,2.2,0,8,1,3,0,8,1,20,0,8,1
1990,1,29,-1.3,8,1,0.5,8,1,-3.8,8,1,0,1,8,1,6,0,8,1,22,0,8,1
1990,1,30,-0.5,8,1,4.7,8,1,-1.8,8,1,0.4,0,8,1,0,0,8,1,19,0,8,1
1990,1,31,-2.2,8,1,-1.1,8,1,-3.6,8,1,0.4,0,8,1,5,0,8,1,21,0,8,1
1990,2,1,-1.6,8,1,1.4,8,1,-3.4,8,1,3.2,0,8,1,0,0,8,1,20,0,8,1
1990,2,2,-1.2,8,1,2.9,8,1,-4.1,8,1,3.3,0,8,1,1,0,8,1,18,0,8,1
1990,2,3,1.0,8,1,5.3,8,1,-5.8,8,1,1.7,0,8,1,0,1,8,1,13,0,8,1
1990,2,4,1.1,8,1,4.3,8,1,-3.5,8,1,3.0,0,8,1,0,1,8,1,11,0,8,1
1990,2,5,0.5,8,1,5.9,8,1,-4.1,8,1,3.1,0,8,1,0,1,8,1,10,0,8,1
1990,2,6,1.9,8,1,4.8,8,1,-2.0,8,1,1.2,0,8,1,0,1,8,1,9,0,8,1
1990,2,7,3.3,8,1,7.8,8,1,-1.1,8,1,1.0,0,8,1,0,0,8,1,8,0,8,1
1990,2,8,2.2,8,1,3.9,8,1,0.1,8,1,1.4,0,8,1,0,0,8,1,6,0,8,1
1990,2,9,1.0,8,1,4.5,8,1,-1.2,8,1,3.3,0,8,1,0,0,8,1,4,0,8,1
1990,2,10,2.6,8,1,5.9,8,1,-2.5,8,1,3.7,0,8,1,0,1,8,1,4,0,8,1
1990,2,11,7.1,8,1,10.3,8,1,3.6,8,1,0,1,8,1,0,1,8,1,0,0,8,1
1990,2,12,3.8,8,1,7.2,8,1,1.0,8,1,0,1,8,1,0,0,8,1,0,1,8,1
1990,2,13,2.7,8,1,5.7,8,1,0.1,8,1,3.7,0,8,1,0,0,8,1,0,0,8,1
1990,2,14,2.8,8,1,4.8,8,1,1.2,8,1,3.1,0,8,1,0,0,8,1,0,1,8,1
1990,2,15,3.8,8,1,5.8,8,1,2.0,8,1,0,1,8,1,0,0,8,1,0,1,8,1
1990,2,16,4.9,8,1,7.4,8,1,3.0,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1
1990,2,17,5.9,8,1,8.4,8,1,3.5,8,1,3.2,0,8,1,0,1,8,1,0,1,8,1
1990,2,18,5.3,8,1,9.1,8,1,0.8,8,1,6.3,0,8,1,0,1,8,1,0,1,8,1
1990,2,19,6.4,8,1,8.2,8,1,1.9,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1
1990,2,20,9.4,8,1,12.3,8,1,7.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1990,2,21,6.9,8,1,8.8,8,1,5.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1
