ダウンロードした時刻：2020/03/14 11:20:26

,酒田,酒田,酒田,酒田,酒田,酒田
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1990/1/1,1.6,8,1,4.0,8,1
1990/1/2,2.3,8,1,5.0,8,1
1990/1/3,1.7,8,1,5.3,8,1
1990/1/4,1.9,8,1,3.4,8,1
1990/1/5,3.3,8,1,6.2,8,1
1990/1/6,3.2,8,1,5.3,8,1
1990/1/7,1.0,8,1,2.4,8,1
1990/1/8,3.9,8,1,6.6,8,1
1990/1/9,1.7,8,1,6.2,8,1
1990/1/10,5.5,8,1,12.0,8,1
1990/1/11,5.4,8,1,9.0,8,1
1990/1/12,5.4,8,1,10.2,8,1
1990/1/13,0.3,8,1,3.6,8,1
1990/1/14,-0.8,8,1,1.3,8,1
1990/1/15,0.2,8,1,2.6,8,1
1990/1/16,-2.7,8,1,1.0,8,1
1990/1/17,-0.6,8,1,2.9,8,1
1990/1/18,3.1,8,1,8.7,8,1
1990/1/19,2.7,8,1,5.4,8,1
1990/1/20,-1.9,8,1,-0.5,8,1
1990/1/21,-2.7,8,1,-0.4,8,1
1990/1/22,0.4,8,1,3.9,8,1
1990/1/23,-3.8,8,1,-0.3,8,1
1990/1/24,-4.3,8,1,-1.3,8,1
1990/1/25,-4.1,8,1,-2.2,8,1
1990/1/26,-3.5,8,1,-2.2,8,1
1990/1/27,-2.8,8,1,-0.2,8,1
1990/1/28,-1.0,8,1,0.9,8,1
1990/1/29,-1.3,8,1,0.5,8,1
1990/1/30,-0.5,8,1,4.7,8,1
1990/1/31,-2.2,8,1,-1.1,8,1
1990/2/1,-1.6,8,1,1.4,8,1
1990/2/2,-1.2,8,1,2.9,8,1
1990/2/3,1.0,8,1,5.3,8,1
1990/2/4,1.1,8,1,4.3,8,1
1990/2/5,0.5,8,1,5.9,8,1
1990/2/6,1.9,8,1,4.8,8,1
1990/2/7,3.3,8,1,7.8,8,1
1990/2/8,2.2,8,1,3.9,8,1
1990/2/9,1.0,8,1,4.5,8,1
1990/2/10,2.6,8,1,5.9,8,1
1990/2/11,7.1,8,1,10.3,8,1
1990/2/12,3.8,8,1,7.2,8,1
1990/2/13,2.7,8,1,5.7,8,1
1990/2/14,2.8,8,1,4.8,8,1
1990/2/15,3.8,8,1,5.8,8,1
1990/2/16,4.9,8,1,7.4,8,1
1990/2/17,5.9,8,1,8.4,8,1
1990/2/18,5.3,8,1,9.1,8,1
1990/2/19,6.4,8,1,8.2,8,1
1990/2/20,9.4,8,1,12.3,8,1
1990/2/21,6.9,8,1,8.8,8,1
1990/2/22,5.6,8,1,8.3,8,1
1990/2/23,8.7,8,1,12.6,8,1
1990/2/24,7.7,8,1,8.4,8,1
1990/2/25,7.1,8,1,8.4,8,1
1990/2/26,6.2,8,1,7.8,8,1
1990/2/27,3.7,8,1,5.9,8,1
1990/2/28,2.3,8,1,5.7,8,1
1990/3/1,3.6,8,1,8.5,8,1
1990/3/2,6.0,8,1,9.7,8,1
1990/3/3,5.6,8,1,7.0,8,1
1990/3/4,6.8,8,1,9.6,8,1
1990/3/5,5.3,8,1,7.5,8,1
1990/3/6,5.0,8,1,8.6,8,1
1990/3/7,3.0,8,1,6.2,8,1
1990/3/8,3.1,8,1,4.9,8,1
1990/3/9,7.0,8,1,10.6,8,1
1990/3/10,7.8,8,1,12.4,8,1
1990/3/11,9.7,8,1,13.5,8,1
1990/3/12,7.2,8,1,12.4,8,1
1990/3/13,3.0,8,1,4.8,8,1
1990/3/14,5.2,8,1,8.8,8,1
1990/3/15,6.1,8,1,9.5,8,1
1990/3/16,6.0,8,1,7.9,8,1
1990/3/17,5.6,8,1,8.3,8,1
1990/3/18,5.5,8,1,10.1,8,1
1990/3/19,7.9,8,1,10.4,8,1
1990/3/20,8.7,8,1,10.6,8,1
1990/3/21,6.3,8,1,8.5,8,1
1990/3/22,5.4,8,1,10.3,8,1
1990/3/23,6.9,8,1,13.0,8,1
1990/3/24,6.8,8,1,8.5,8,1
1990/3/25,3.6,8,1,6.1,8,1
1990/3/26,2.5,8,1,5.8,8,1
1990/3/27,4.6,8,1,9.0,8,1
1990/3/28,7.5,8,1,12.9,8,1
1990/3/29,9.0,8,1,16.0,8,1
1990/3/30,8.8,8,1,13.8,8,1
1990/3/31,10.3,8,1,14.7,8,1
1990/4/1,9.7,8,1,13.9,8,1
1990/4/2,8.8,8,1,14.6,8,1
1990/4/3,12.8,8,1,23.1,8,1
1990/4/4,10.5,8,1,16.4,8,1
1990/4/5,5.5,8,1,7.6,8,1
1990/4/6,7.8,8,1,10.7,8,1
1990/4/7,10.9,8,1,17.2,8,1
1990/4/8,10.0,8,1,12.7,8,1
1990/4/9,12.0,8,1,15.3,8,1
1990/4/10,10.2,8,1,15.1,8,1
1990/4/11,13.8,8,1,21.8,8,1
1990/4/12,16.2,8,1,23.1,8,1
1990/4/13,14.2,8,1,17.1,8,1
1990/4/14,12.1,8,1,13.2,8,1
1990/4/15,10.4,8,1,13.6,8,1
1990/4/16,7.6,8,1,11.7,8,1
1990/4/17,7.4,8,1,10.5,8,1
1990/4/18,8.3,8,1,11.6,8,1
1990/4/19,7.9,8,1,11.0,8,1
1990/4/20,10.9,8,1,17.4,8,1
1990/4/21,10.9,8,1,12.7,8,1
1990/4/22,16.0,8,1,20.5,8,1
1990/4/23,12.6,8,1,17.0,8,1
1990/4/24,9.3,8,1,11.4,8,1
1990/4/25,11.1,8,1,16.6,8,1
1990/4/26,14.1,8,1,21.9,8,1
1990/4/27,12.0,8,1,16.9,8,1
1990/4/28,15.9,8,1,21.5,8,1
1990/4/29,11.2,8,1,13.4,8,1
1990/4/30,10.8,8,1,13.9,8,1
1991/1/1,6.9,8,1,9.7,8,1
1991/1/2,6.4,8,1,8.3,8,1
1991/1/3,0.2,8,1,3.4,8,1
1991/1/4,0.0,8,1,3.2,8,1
1991/1/5,1.5,8,1,2.5,8,1
1991/1/6,0.9,8,1,2.6,8,1
1991/1/7,2.0,8,1,4.2,8,1
1991/1/8,1.4,8,1,3.2,8,1
1991/1/9,1.9,8,1,4.2,8,1
1991/1/10,3.7,8,1,4.9,8,1
1991/1/11,3.2,8,1,3.9,8,1
1991/1/12,1.9,8,1,4.6,8,1
1991/1/13,0.3,8,1,5.3,8,1
1991/1/14,2.6,8,1,5.3,8,1
1991/1/15,1.8,8,1,3.0,8,1
1991/1/16,1.6,8,1,3.2,8,1
1991/1/17,2.0,8,1,6.3,8,1
1991/1/18,0.2,8,1,2.9,8,1
1991/1/19,0.8,8,1,5.0,8,1
1991/1/20,4.0,8,1,8.2,8,1
1991/1/21,4.0,8,1,7.4,8,1
1991/1/22,2.7,8,1,4.1,8,1
1991/1/23,0.1,8,1,2.0,8,1
1991/1/24,2.6,8,1,4.7,8,1
1991/1/25,4.3,8,1,8.5,8,1
1991/1/26,3.5,8,1,4.3,8,1
1991/1/27,1.9,8,1,3.8,8,1
1991/1/28,-0.2,8,1,2.8,8,1
1991/1/29,-0.1,8,1,1.5,8,1
1991/1/30,1.6,8,1,2.6,8,1
1991/1/31,3.2,8,1,5.3,8,1
1991/2/1,1.8,8,1,3.7,8,1
1991/2/2,0.5,8,1,2.8,8,1
1991/2/3,1.9,8,1,3.6,8,1
1991/2/4,1.0,8,1,3.9,8,1
1991/2/5,1.1,8,1,3.0,8,1
1991/2/6,2.1,8,1,3.9,8,1
1991/2/7,2.3,8,1,4.1,8,1
1991/2/8,0.7,8,1,2.6,8,1
1991/2/9,2.6,8,1,4.9,8,1
1991/2/10,2.0,8,1,4.7,8,1
1991/2/11,3.9,8,1,7.5,8,1
1991/2/12,2.8,8,1,5.7,8,1
1991/2/13,3.1,8,1,5.3,8,1
1991/2/14,2.6,8,1,7.6,8,1
1991/2/15,6.5,8,1,10.4,8,1
1991/2/16,5.5,8,1,10.1,8,1
1991/2/17,1.0,8,1,2.5,8,1
1991/2/18,-0.3,8,1,1.7,8,1
1991/2/19,-0.4,8,1,2.4,8,1
1991/2/20,-2.3,8,1,3.3,8,1
1991/2/21,1.2,8,1,4.5,8,1
1991/2/22,-0.1,8,1,3.3,8,1
1991/2/23,-1.9,8,1,-0.2,8,1
1991/2/24,-4.1,8,1,-1.2,8,1
1991/2/25,1.2,8,1,3.9,8,1
1991/2/26,4.5,8,1,6.5,8,1
1991/2/27,5.1,8,1,8.0,8,1
1991/2/28,4.0,8,1,7.5,8,1
1991/3/1,1.0,8,1,2.3,8,1
1991/3/2,2.5,8,1,6.1,8,1
1991/3/3,3.2,8,1,5.3,8,1
1991/3/4,6.4,8,1,10.2,8,1
1991/3/5,7.7,8,1,11.3,8,1
1991/3/6,7.2,8,1,12.8,8,1
1991/3/7,1.8,8,1,4.4,8,1
1991/3/8,2.3,8,1,4.7,8,1
1991/3/9,4.4,8,1,7.2,8,1
1991/3/10,4.0,8,1,5.2,8,1
1991/3/11,3.1,8,1,5.6,8,1
