ダウンロードした時刻：2020/03/14 11:21:46

集計開始,集計終了,酒田,酒田,酒田,酒田,酒田,酒田
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号
2020/1/1,2020/1/5,3.7,8,1,7.1,8,1
2020/1/6,2020/1/10,5.1,8,1,11.7,8,1
2020/1/11,2020/1/15,3.9,8,1,8.4,8,1
2020/1/16,2020/1/20,3.9,8,1,8.6,8,1
2020/1/21,2020/1/25,3.4,8,1,8.7,8,1
2020/1/26,2020/1/31,5.3,8,1,9.9,8,1
2020/2/1,2020/2/5,3.7,8,1,10.7,8,1
2020/2/6,2020/2/10,-0.2,8,1,3.7,8,1
2020/2/11,2020/2/15,5.3,8,1,13.6,8,1
2020/2/16,2020/2/20,4.9,8,1,10.1,8,1
2020/2/21,2020/2/25,6.3,8,1,10.9,8,1
2020/2/26,2020/2/29,3.9,8,1,10.4,8,1
2020/3/1,2020/3/5,6.0,8,1,10.4,8,1
