,サクラ,サクラ満開,モンシロチョウ,ウメ,ウグイス,ひばり初鳴,たんぽぽ,ツバキ,ツバメ初見,トノサマガエル初見
1953,2020/04/15,2020/04/22,2020/04/09,,2020/04/10,2020/03/12,2020/04/26,2020/04/07,2020/04/13,2020/04/06
1954,2020/04/11,2020/04/18,2020/04/17,2020/04/03,2020/04/17,2020/03/18,2020/04/29,2020/04/01,2020/04/10,2020/04/11
1955,2020/04/10,2020/04/15,2020/04/06,2020/04/07,2020/04/18,2020/03/11,2020/04/27,2020/04/10,2020/04/15,2020/04/12
1956,2020/04/17,2020/04/21,2020/04/16,2020/04/15,2020/04/22,2020/03/18,2020/04/26,2020/04/02,2020/04/16,2020/04/16
1957,2020/04/17,2020/04/23,2020/04/18,2020/04/17,2020/04/20,2020/03/23,2020/05/03,2020/04/07,2020/04/11,2020/04/21
1958,2020/04/13,2020/04/22,2020/04/05,2020/04/03,2020/04/15,2020/03/13,2020/04/17,2020/04/03,2020/04/20,2020/04/06
1959,2020/04/07,2020/04/12,2020/03/26,2020/03/23,2020/04/20,2020/03/16,2020/04/19,2020/03/24,2020/04/19,2020/04/04
1960,2020/04/14,2020/04/21,2020/04/10,2020/04/02,2020/04/13,2020/03/11,2020/04/19,2020/04/03,2020/04/19,
1961,2020/04/16,2020/04/20,2020/04/11,2020/04/09,2020/04/30,2020/03/14,2020/04/12,2020/04/04,2020/04/20,2020/04/08
1962,2020/04/16,2020/04/22,2020/04/01,2020/04/09,,2020/03/12,2020/04/23,2020/04/05,2020/04/23,2020/04/15
1963,2020/04/15,2020/04/18,2020/04/12,2020/04/12,,2020/03/16,2020/04/24,2020/04/10,2020/05/02,2020/04/16
1964,2020/04/15,2020/04/18,2020/04/05,2020/04/08,2020/04/26,2020/03/20,2020/04/20,2020/04/01,2020/04/14,2020/04/15
1965,2020/04/25,2020/05/02,2020/05/01,2020/04/17,,2020/03/23,2020/05/01,2020/04/15,2020/04/18,2020/05/02
1966,2020/04/15,2020/04/21,2020/04/13,2020/03/29,2020/04/28,2020/03/16,2020/04/22,,2020/04/21,
1967,2020/04/16,2020/04/20,2020/04/17,2020/04/09,,2020/03/16,2020/04/24,2020/04/11,2020/03/31,2020/04/29
1968,2020/04/13,2020/04/19,2020/04/03,2020/03/25,,2020/03/22,2020/04/13,,2020/04/21,2020/04/13
1969,2020/04/20,2020/04/25,2020/04/20,2020/04/03,2020/04/10,2020/04/10,2020/04/14,2020/04/25,2020/04/26,
1970,2020/04/24,2020/04/27,2020/04/19,2020/04/17,,,2020/04/26,2020/04/13,2020/04/26,2020/05/08
1971,2020/04/18,2020/04/24,,2020/04/05,,2020/03/18,2020/04/19,2020/04/02,2020/04/12,
1972,2020/04/13,2020/04/19,2020/03/18,2020/03/22,,2020/03/21,2020/03/28,2020/03/29,2020/04/10,
1973,2020/04/17,2020/04/21,2020/04/19,2020/03/27,2020/04/14,2020/03/21,2020/04/05,2020/03/31,2020/04/26,2020/05/01
1974,2020/04/22,2020/04/26,2020/04/12,2020/04/01,2020/04/15,2020/04/01,2020/04/11,2020/04/04,2020/04/17,2020/05/11
1975,2020/04/17,2020/04/20,2020/04/13,2020/04/07,2020/04/17,2020/04/04,2020/04/07,2020/04/04,2020/04/12,2020/04/17
