ダウンロードした時刻：2020/08/03 15:59:38

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
1951,6,1,1951,6,10,14.0,0,8,1,,,0,1
1951,6,11,1951,6,20,50.7,0,8,1,,,0,1
1951,6,21,1951,6,30,43.5,0,8,1,,,0,1
1951,7,1,1951,7,10,27.3,0,8,1,,,0,1
1951,7,11,1951,7,20,73.2,0,8,1,,,0,1
1951,7,21,1951,7,31,5.3,0,8,1,,,0,1
1952,6,1,1952,6,10,20.4,0,8,1,,,0,1
1952,6,11,1952,6,20,60.6,0,8,1,,,0,1
1952,6,21,1952,6,30,48.5,0,8,1,,,0,1
1952,7,1,1952,7,10,25.0,0,8,1,,,0,1
1952,7,11,1952,7,20,129.7,0,8,1,,,0,1
1952,7,21,1952,7,31,105.4,0,8,1,,,0,1
1953,6,1,1953,6,10,82.5,0,8,1,,,0,1
1953,6,11,1953,6,20,3.6,0,8,1,,,0,1
1953,6,21,1953,6,30,5.9,0,8,1,,,0,1
1953,7,1,1953,7,10,62.1,0,8,1,,,0,1
1953,7,11,1953,7,20,21.4,0,8,1,,,0,1
1953,7,21,1953,7,31,110.5,0,8,1,,,0,1
1954,6,1,1954,6,10,55.9,0,8,1,,,0,1
1954,6,11,1954,6,20,101.3,0,8,1,,,0,1
1954,6,21,1954,6,30,43.7,0,8,1,,,0,1
1954,7,1,1954,7,10,50.4,0,8,1,,,0,1
1954,7,11,1954,7,20,2.6,0,8,1,,,0,1
1954,7,21,1954,7,31,27.7,0,8,1,,,0,1
1955,6,1,1955,6,10,25.3,0,8,1,,,0,1
1955,6,11,1955,6,20,37.2,0,8,1,,,0,1
1955,6,21,1955,6,30,195.9,0,8,1,,,0,1
1955,7,1,1955,7,10,70.1,0,8,1,,,0,1
1955,7,11,1955,7,20,0,1,8,1,,,0,1
1955,7,21,1955,7,31,41.0,0,8,1,,,0,1
1956,6,1,1956,6,10,53.8,0,8,1,,,0,1
1956,6,11,1956,6,20,33.7,0,8,1,,,0,1
1956,6,21,1956,6,30,128.0,0,8,1,,,0,1
1956,7,1,1956,7,10,6.8,0,8,1,,,0,1
1956,7,11,1956,7,20,157.5,0,8,1,,,0,1
1956,7,21,1956,7,31,10.2,0,8,1,,,0,1
1957,6,1,1957,6,10,33.8,0,8,1,,,0,1
1957,6,11,1957,6,20,6.1,0,8,1,,,0,1
1957,6,21,1957,6,30,1.5,0,8,1,,,0,1
1957,7,1,1957,7,10,134.1,0,8,1,,,0,1
1957,7,11,1957,7,20,64.1,0,8,1,,,0,1
1957,7,21,1957,7,31,43.5,0,8,1,,,0,1
1958,6,1,1958,6,10,17.7,0,8,1,,,0,1
1958,6,11,1958,6,20,23.3,0,8,1,,,0,1
1958,6,21,1958,6,30,58.5,0,8,1,,,0,1
1958,7,1,1958,7,10,40.3,0,8,1,,,0,1
1958,7,11,1958,7,20,61.5,0,8,1,,,0,1
1958,7,21,1958,7,31,311.6,0,8,1,,,0,1
1959,6,1,1959,6,10,52.2,0,8,1,,,0,1
1959,6,11,1959,6,20,74.8,0,8,1,,,0,1
1959,6,21,1959,6,30,19.4,0,8,1,,,0,1
1959,7,1,1959,7,10,173.0,0,8,1,,,0,1
1959,7,11,1959,7,20,13.4,0,8,1,,,0,1
1959,7,21,1959,7,31,72.1,0,8,1,,,0,1
1960,6,1,1960,6,10,16.7,0,8,1,,,0,1
1960,6,11,1960,6,20,13.6,0,8,1,,,0,1
1960,6,21,1960,6,30,75.5,0,8,1,,,0,1
1960,7,1,1960,7,10,77.7,0,8,1,,,0,1
1960,7,11,1960,7,20,61.4,0,8,1,,,0,1
1960,7,21,1960,7,31,12.5,0,8,1,,,0,1
1961,6,1,1961,6,10,35.5,0,8,1,78.9,0,8,1
1961,6,11,1961,6,20,52.0,0,8,1,66.9,0,8,1
1961,6,21,1961,6,30,102.9,0,8,1,29.0,0,8,1
1961,7,1,1961,7,10,193.1,0,8,1,48.8,0,8,1
1961,7,11,1961,7,20,34.8,0,8,1,78.8,0,8,1
1961,7,21,1961,7,31,17.0,0,8,1,71.8,0,8,1
1962,6,1,1962,6,10,63.1,0,8,1,48.1,0,8,1
1962,6,11,1962,6,20,42.3,0,8,1,70.9,0,8,1
1962,6,21,1962,6,30,33.4,0,8,1,62.9,0,8,1
1962,7,1,1962,7,10,57.9,0,8,1,81.6,0,8,1
1962,7,11,1962,7,20,87.7,0,8,1,62.2,0,8,1
1962,7,21,1962,7,31,7.4,0,8,1,116.6,0,8,1
1963,6,1,1963,6,10,55.2,0,8,1,64.7,0,8,1
1963,6,11,1963,6,20,23.9,0,8,1,49.7,0,8,1
1963,6,21,1963,6,30,74.5,0,8,1,33.9,0,8,1
1963,7,1,1963,7,10,58.1,0,8,1,47.2,0,8,1
1963,7,11,1963,7,20,76.5,0,8,1,25.3,0,8,1
1963,7,21,1963,7,31,47.7,0,8,1,87.3,0,8,1
1964,6,1,1964,6,10,29.2,0,8,1,57.5,0,8,1
1964,6,11,1964,6,20,17.5,0,8,1,75.5,0,8,1
1964,6,21,1964,6,30,35.7,0,8,1,59.5,0,8,1
1964,7,1,1964,7,10,111.2,0,8,1,33.5,0,8,1
1964,7,11,1964,7,20,169.3,0,8,1,53.2,0,8,1
1964,7,21,1964,7,31,8.3,0,8,1,101.5,0,8,1
1965,6,1,1965,6,10,27.5,0,8,1,80.2,0,8,1
1965,6,11,1965,6,20,17.2,0,8,1,96.0,0,8,1
1965,6,21,1965,6,30,37.8,0,8,1,63.4,0,8,1
1965,7,1,1965,7,10,139.0,0,8,1,35.4,0,8,1
1965,7,11,1965,7,20,189.9,0,8,1,25.2,0,8,1
1965,7,21,1965,7,31,36.4,0,8,1,50.9,0,8,1
1966,6,1,1966,6,10,40.5,0,8,1,57.0,0,8,1
1966,6,11,1966,6,20,10.3,0,8,1,75.0,0,8,1
1966,6,21,1966,6,30,63.9,0,8,1,47.2,0,8,1
1966,7,1,1966,7,10,76.9,0,8,1,43.8,0,8,1
1966,7,11,1966,7,20,226.4,0,8,1,29.4,0,8,1
1966,7,21,1966,7,31,102.7,0,8,1,31.3,0,8,1
1967,6,1,1967,6,10,30.1,0,8,1,63.5,0,8,1
1967,6,11,1967,6,20,16.7,0,8,1,68.4,0,8,1
1967,6,21,1967,6,30,55.9,0,8,1,85.5,0,8,1
1967,7,1,1967,7,10,112.8,0,8,1,42.7,0,8,1
1967,7,11,1967,7,20,62.5,0,8,1,58.2,0,8,1
1967,7,21,1967,7,31,0.5,0,8,1,101.0,0,8,1
1968,6,1,1968,6,10,40.0,0,8,1,90.3,0,8,1
1968,6,11,1968,6,20,46.5,0,8,1,68.9,0,8,1
1968,6,21,1968,6,30,0.0,0,8,1,98.0,0,8,1
1968,7,1,1968,7,10,13.5,0,8,1,78.3,0,8,1
1968,7,11,1968,7,20,126.5,0,8,1,67.1,0,8,1
1968,7,21,1968,7,31,22.5,0,8,1,109.9,0,8,1
1969,6,1,1969,6,10,32.0,0,8,1,63.6,0,8,1
1969,6,11,1969,6,20,7.5,0,8,1,63.5,0,8,1
1969,6,21,1969,6,30,18.5,0,8,1,59.6,0,8,1
1969,7,1,1969,7,10,49.5,0,8,1,45.2,0,8,1
1969,7,11,1969,7,20,13.5,0,8,1,78.3,0,8,1
1969,7,21,1969,7,31,176.5,0,8,1,49.8,0,8,1
1970,6,1,1970,6,10,12.5,0,8,1,77.0,0,8,2
1970,6,11,1970,6,20,34.5,0,8,1,44.3,0,8,2
1970,6,21,1970,6,30,6.0,0,8,1,77.7,0,8,2
1970,7,1,1970,7,10,3.5,0,8,1,80.4,0,8,2
1970,7,11,1970,7,20,68.5,0,8,1,42.5,0,8,2
1970,7,21,1970,7,31,0.0,0,8,1,101.8,0,8,2
1971,6,1,1971,6,10,33.5,0,8,1,77.7,0,8,2
1971,6,11,1971,6,20,61.0,0,8,1,39.1,0,8,2
1971,6,21,1971,6,30,27.5,0,8,1,67.3,0,8,2
1971,7,1,1971,7,10,118.0,0,8,1,65.0,0,8,2
1971,7,11,1971,7,20,208.0,0,8,1,44.2,0,8,2
1971,7,21,1971,7,31,29.5,0,8,1,65.8,0,8,2
1972,6,1,1972,6,10,8.5,0,8,1,94.5,0,8,2
1972,6,11,1972,6,20,41.5,0,8,1,71.8,0,8,2
1972,6,21,1972,6,30,20.0,0,8,1,64.0,0,8,2
1972,7,1,1972,7,10,178.5,0,8,1,48.7,0,8,2
1972,7,11,1972,7,20,45.5,0,8,1,59.3,0,8,2
1972,7,21,1972,7,31,1.0,0,8,1,107.1,0,8,2
1973,6,1,1973,6,10,26.5,0,8,1,64.2,0,8,2
1973,6,11,1973,6,20,0.0,0,8,1,74.9,0,8,2
1973,6,21,1973,6,30,60.0,0,8,1,58.6,0,8,2
1973,7,1,1973,7,10,10.0,0,8,1,65.8,0,8,2
1973,7,11,1973,7,20,9.0,0,8,1,104.7,0,8,2
1973,7,21,1973,7,31,0.0,0,8,1,109.3,0,8,2
1974,6,1,1974,6,10,29.5,0,8,1,74.1,0,8,2
1974,6,11,1974,6,20,18.5,0,8,1,77.7,0,8,2
1974,6,21,1974,6,30,43.5,0,8,1,47.9,0,8,2
1974,7,1,1974,7,10,96.0,0,8,1,25.1,0,8,2
1974,7,11,1974,7,20,4.5,0,8,1,56.6,0,8,2
1974,7,21,1974,7,31,64.5,0,8,1,64.4,0,8,2
1975,6,1,1975,6,10,38.0,0,8,1,76.0,0,8,2
1975,6,11,1975,6,20,8.0,0,8,1,83.5,0,8,2
1975,6,21,1975,6,30,41.0,0,8,1,55.2,0,8,2
1975,7,1,1975,7,10,65.0,0,8,1,38.7,0,8,2
1975,7,11,1975,7,20,64.5,0,8,1,50.8,0,8,2
1975,7,21,1975,7,31,12.5,0,8,1,98.7,0,8,2
1976,6,1,1976,6,10,49.0,0,8,1,36.0,0,8,2
1976,6,11,1976,6,20,32.5,0,8,1,70.0,0,8,2
1976,6,21,1976,6,30,32.5,0,8,1,53.5,0,8,2
1976,7,1,1976,7,10,8.5,0,8,1,92.9,0,8,2
1976,7,11,1976,7,20,107.5,0,8,1,56.9,0,8,2
1976,7,21,1976,7,31,3.5,0,8,1,94.7,0,8,2
1977,6,1,1977,6,10,21.0,0,8,1,64.3,0,8,2
1977,6,11,1977,6,20,42.0,0,8,1,58.7,0,8,2
1977,6,21,1977,6,30,3.5,0,8,1,86.7,0,8,2
1977,7,1,1977,7,10,61.0,0,8,1,54.2,0,8,2
1977,7,11,1977,7,20,43.5,0,8,1,69.9,0,8,2
1977,7,21,1977,7,31,0.0,0,8,1,113.2,0,8,2
1978,6,1,1978,6,10,22.5,0,8,1,84.7,0,8,2
1978,6,11,1978,6,20,59.0,0,8,1,49.9,0,8,2
1978,6,21,1978,6,30,183.5,0,8,1,45.2,0,8,2
1978,7,1,1978,7,10,43.5,0,8,1,50.3,0,8,2
1978,7,11,1978,7,20,9.5,0,8,1,94.8,0,8,2
1978,7,21,1978,7,31,0,1,8,1,110.4,0,8,2
1979,6,1,1979,6,10,22.0,0,8,1,75.0,0,8,2
1979,6,11,1979,6,20,89.0,0,8,1,40.5,0,8,2
1979,6,21,1979,6,30,121.5,0,8,1,23.1,0,8,2
1979,7,1,1979,7,10,58.0,0,8,1,62.4,0,8,2
1979,7,11,1979,7,20,49.5,0,8,1,70.8,0,8,2
1979,7,21,1979,7,31,67.0,0,8,1,27.8,0,8,2
1980,6,1,1980,6,10,43.0,0,8,1,73.4,0,8,2
1980,6,11,1980,6,20,92.0,0,8,1,74.3,0,8,2
1980,6,21,1980,6,30,35.0,0,8,1,70.5,0,8,2
1980,7,1,1980,7,10,30.0,0,8,1,50.9,0,8,2
1980,7,11,1980,7,20,195.5,0,8,1,30.2,0,8,2
1980,7,21,1980,7,31,135.0,0,8,1,60.7,0,8,2
1981,6,1,1981,6,10,9.5,0,8,1,68.6,0,8,2
1981,6,11,1981,6,20,46.0,0,8,1,30.0,0,8,2
1981,6,21,1981,6,30,94.0,0,8,1,49.4,0,8,2
1981,7,1,1981,7,10,58.5,0,8,1,59.2,0,8,2
1981,7,11,1981,7,20,67.0,0,8,1,58.5,0,8,2
1981,7,21,1981,7,31,27.5,0,8,1,120.9,0,8,2
1982,6,1,1982,6,10,54.5,0,8,1,71.9,0,8,2
1982,6,11,1982,6,20,8.0,0,8,1,107.5,0,8,2
1982,6,21,1982,6,30,56.5,0,8,1,61.2,0,8,2
1982,7,1,1982,7,10,2.5,0,8,1,107.3,0,8,2
1982,7,11,1982,7,20,39.5,0,8,1,86.8,0,8,2
1982,7,21,1982,7,31,161.0,0,8,1,77.4,0,8,2
1983,6,1,1983,6,10,3.5,0,8,1,77.0,0,8,2
1983,6,11,1983,6,20,35.0,0,8,1,62.8,0,8,2
1983,6,21,1983,6,30,28.5,0,8,1,58.8,0,8,2
1983,7,1,1983,7,10,71.0,0,8,1,31.0,0,8,2
1983,7,11,1983,7,20,23.5,0,8,1,69.7,0,8,2
1983,7,21,1983,7,31,169.0,0,8,1,39.5,0,8,2
1984,6,1,1984,6,10,13.5,0,8,1,89.9,0,8,2
1984,6,11,1984,6,20,38.5,0,8,1,78.7,0,8,2
1984,6,21,1984,6,30,16.5,0,8,1,60.3,0,8,2
1984,7,1,1984,7,10,136.5,0,8,1,39.5,0,8,2
1984,7,11,1984,7,20,139.5,0,8,1,54.6,0,8,2
1984,7,21,1984,7,31,4.5,0,8,1,108.5,0,8,2
1985,6,1,1985,6,10,10.0,0,8,1,82.5,0,8,2
1985,6,11,1985,6,20,12.5,0,8,1,77.7,0,8,2
1985,6,21,1985,6,30,29.0,0,8,1,50.0,0,8,2
1985,7,1,1985,7,10,138.5,0,8,1,42.1,0,8,2
1985,7,11,1985,7,20,57.0,0,8,1,35.9,0,8,2
1985,7,21,1985,7,31,12.0,0,8,1,107.6,0,8,2
1986,6,1,1986,6,10,8.5,0,8,1,78.8,0,8,3
1986,6,11,1986,6,20,60.0,0,8,1,66.4,0,8,3
1986,6,21,1986,6,30,60.0,0,8,1,48.8,0,8,3
1986,7,1,1986,7,10,31.5,0,8,1,31.9,0,8,3
1986,7,11,1986,7,20,67.5,0,8,1,27.2,0,8,3
1986,7,21,1986,7,31,30.5,0,8,1,92.6,0,8,3
1987,6,1,1987,6,10,12.5,0,8,1,79.1,0,8,3
1987,6,11,1987,6,20,17.0,0,8,1,101.1,0,8,3
1987,6,21,1987,6,30,16.5,0,8,1,76.9,0,8,3
1987,7,1,1987,7,10,45.0,0,8,1,65.6,0,8,3
1987,7,11,1987,7,20,99.0,0,8,1,48.4,0,8,3
1987,7,21,1987,7,31,147.5,0,8,1,22.3,0,8,3
1988,6,1,1988,6,10,48.5,0,8,1,29.4,0,8,3
1988,6,11,1988,6,20,12.5,0,8,1,63.2,0,8,3
1988,6,21,1988,6,30,4.0,0,8,1,65.6,0,8,3
1988,7,1,1988,7,10,35.5,0,8,1,27.6,0,8,3
1988,7,11,1988,7,20,33.5,0,8,1,35.2,0,8,3
1988,7,21,1988,7,31,25.0,0,8,1,96.7,0,8,3
1989,6,1,1989,6,10,3.5,0,8,1,72.5,0,8,3
1989,6,11,1989,6,20,28.0,0,8,1,61.2,0,8,3
1989,6,21,1989,6,30,36.0,0,8,1,38.9,0,8,3
1989,7,1,1989,7,10,27.5,0,8,1,59.2,0,8,3
1989,7,11,1989,7,20,22.5,0,8,1,54.1,0,8,3
1989,7,21,1989,7,31,0.0,0,8,1,128.3,0,8,3
1990,6,1,1990,6,10,25.5,0,8,1,75.3,0,8,3
1990,6,11,1990,6,20,108.5,0,8,1,50.6,0,8,3
1990,6,21,1990,6,30,221.0,0,8,1,45.8,0,8,3
1990,7,1,1990,7,10,156.0,0,8,1,54.1,0,8,3
