ダウンロードした時刻：2021/05/09 11:47:25

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s)
,,,,,,,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,,平年値(mm),平年値(mm),平年値(mm),,,,,平年値(mm),平年値(mm),平年値(mm),,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(m/s),平年値(m/s)
,,,,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2020,1,1,2020,1,10,4.4,8,1,2.3,8,7.1,8,1,5.0,8,1.7,8,1,-0.3,8,54.0,0,8,1,65.6,0,8,25.0,0,8,1,,,0,7.0,0,8,1,,,0,14.8,0,8,1,11.1,0,8,5.6,8,1,6.0,8
2020,1,11,2020,1,20,3.9,8,1,1.5,8,6.8,8,1,4.1,8,1.1,8,1,-1.2,8,38.5,0,8,1,48.8,0,8,15.5,0,8,1,,,0,5.0,0,8,1,,,0,21.2,0,8,1,13.2,0,8,3.5,8,1,5.6,8
2020,1,21,2020,1,31,4.4,8,1,1.2,8,6.9,8,1,3.8,8,2.0,8,1,-1.4,8,55.0,0,8,1,53.7,0,8,26.5,0,8,1,,,0,5.0,0,8,1,,,0,14.6,0,8,1,15.2,0,8,4.8,8,1,5.9,8
2020,2,1,2020,2,10,1.7,8,1,1.4,8,4.5,8,1,4.0,8,-1.1,8,1,-1.4,8,70.0,0,8,1,41.7,0,8,28.5,0,8,1,,,0,7.0,0,8,1,,,0,20.7,0,8,1,15.6,0,8,5.8,8,1,5.4,8
2020,2,11,2020,2,20,5.1,8,1,1.8,8,8.5,8,1,4.6,8,1.1,8,1,-1.1,8,75.5,0,8,1,42.2,0,8,23.0,0,8,1,,,0,6.5,0,8,1,,,0,23.3,0,8,1,19.8,0,8,4.5,8,1,5.5,8
2020,2,21,2020,2,29,5.2,8,1,2.6,8,8.2,8,1,5.9,8,1.9,8,1,-0.6,8,43.5,0,8,1,30.2,0,8,10.5,0,8,1,,,0,5.5,0,8,1,,,0,25.4,0,8,1,23.9,0,8,4.7,8,1,5.4,8
2020,3,1,2020,3,10,7.4,8,1,3.2,8,10.9,8,1,6.5,8,3.5,8,1,-0.1,8,39.0,0,8,1,34.4,0,8,15.0,0,8,1,,,0,6.5,0,8,1,,,0,44.1,0,5,1,28.3,0,8,5.0,8,1,5.0,8
