ダウンロードした時刻：2021/07/13 21:09:12

集計開始,集計終了,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),日照率(％),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s)
,,,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,,平年値(時間),平年値(時間),平年値(時間),,,,,平年値(％),平年値(％),平年値(％),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(m/s),平年値(m/s),,,風向,風向,,平年値(m/s),平年値(m/s),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,,平年値(時間),平年値(時間),平年値(時間),,,,,平年値(％),平年値(％),平年値(％),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(m/s),平年値(m/s),,,風向,風向,,平年値(m/s),平年値(m/s),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,,平年値(時間),平年値(時間),平年値(時間),,,,,平年値(％),平年値(％),平年値(％),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(m/s),平年値(m/s),,,風向,風向,,平年値(m/s),平年値(m/s)
,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報
2020/1/1,2020/1/10,4.4,8,1,2.6,8,7.1,8,1,5.2,8,1.7,8,1,0.0,8,54.0,0,8,1,69.2,0,8,14.8,0,8,1,10.4,0,8,16,0,8,1,,,0,2,0,8,1,24,0,8,5.6,8,1,5.9,8,13.6,8,西北西,8,1,,0,2.2,8,1,0.4,8,6.2,8,1,3.7,8,-0.6,8,1,-2.4,8,22.0,0,8,1,31.9,0,8,24.3,0,8,1,22.1,0,8,25,0,8,1,,,0,13,0,8,1,34,0,8,1.7,8,1,1.6,8,7.8,8,南,8,1,,0,3.6,8,1,2.4,8,7.0,8,1,6.0,8,0.5,8,1,-0.8,8,22.0,0,8,1,11.7,0,8,48.6,0,8,1,45.5,0,8,51,0,8,1,,,0,3,0,8,1,5,0,8,3.3,8,1,3.6,8,9.7,8,西北西,8,1,,0
2020/1/11,2020/1/20,3.9,8,1,1.8,8,6.8,8,1,4.3,8,1.1,8,1,-0.9,8,38.5,0,8,1,49.6,0,8,21.2,0,8,1,12.2,0,8,22,0,8,1,,,0,0,1,8,1,27,0,8,3.5,8,1,5.3,8,12.3,8,西,8,1,,0,2.3,8,1,-0.3,8,6.3,8,1,3.1,8,-0.5,8,1,-3.3,8,11.5,0,8,1,25.6,0,8,21.2,0,8,1,28.7,0,8,22,0,8,1,,,0,3,0,8,1,29,0,8,1.5,8,1,1.5,8,5.4,8,南南西,8,1,,0,3.9,8,1,1.8,8,7.8,8,1,5.4,8,0.6,8,1,-1.5,8,6.5,0,8,1,11.7,0,8,35.1,0,8,1,48.0,0,8,36,0,8,1,,,0,0,1,8,1,5,0,8,3.0,8,1,3.5,8,7.8,8,北,8,1,,0
2020/1/21,2020/1/31,4.4,8,1,1.5,8,6.9,8,1,4.1,8,2.0,8,1,-1.0,8,55.0,0,8,1,59.0,0,8,14.6,0,8,1,14.2,0,8,13,0,8,1,,,0,3,0,8,1,34,0,8,4.8,8,1,5.5,8,13.5,8,東南東,8,1,,0,2.4,8,1,-0.4,8,6.1,8,1,3.1,8,-0.5,8,1,-3.4,8,48.0,0,8,1,30.3,0,8,30.2,0,8,1,28.9,0,8,27,0,8,1,,,0,6,0,8,1,39,0,8,1.8,8,1,1.6,8,6.5,8,南南西,8,1,,0,4.5,8,1,1.7,8,7.7,8,1,5.4,8,1.3,8,1,-1.6,8,98.0,0,8,1,18.9,0,8,50.3,0,8,1,55.6,0,8,46,0,8,1,,,0,0,1,8,1,11,0,8,3.2,8,1,3.6,8,9.7,8,北西,8,1,,0
2020/2/1,2020/2/10,1.7,8,1,1.6,8,4.5,8,1,4.3,8,-1.1,8,1,-1.1,8,70.0,0,8,1,44.8,0,8,20.7,0,8,1,15.1,0,8,20,0,8,1,,,0,29,0,8,1,27,0,8,5.8,8,1,5.4,8,13.2,8,北北西,8,1,,0,0.2,8,1,-0.2,8,4.6,8,1,3.4,8,-3.4,8,1,-3.5,8,19.5,0,8,1,22.7,0,8,43.1,0,8,1,30.6,0,8,42,0,8,1,,,0,17,0,8,1,34,0,8,2.2,8,1,1.7,8,6.7,8,南西,8,1,,0,2.2,8,1,1.9,8,6.5,8,1,5.7,8,-1.3,8,1,-1.6,8,2.5,0,8,1,9.0,0,8,55.2,0,8,1,52.4,0,8,53,0,8,1,,,0,6,0,8,1,9,0,8,3.4,8,1,3.7,8,12.5,8,北,8,1,,0
2020/2/11,2020/2/20,5.1,8,1,2.0,8,8.5,8,1,4.9,8,1.1,8,1,-0.8,8,75.5,0,8,1,43.6,0,8,23.3,0,8,1,18.3,0,8,22,0,8,1,,,0,2,0,8,1,23,0,8,4.5,8,1,5.4,8,12.5,8,南西,8,1,,0,3.7,8,1,0.3,8,8.1,8,1,4.3,8,-0.1,8,1,-3.0,8,22.5,0,8,1,24.8,0,8,33.9,0,8,1,34.3,0,8,32,0,8,1,,,0,2,0,8,1,26,0,8,1.6,8,1,1.7,8,6.6,8,南南西,8,1,,0,5.8,8,1,2.4,8,10.2,8,1,6.4,8,2.3,8,1,-1.1,8,8.0,0,8,1,16.1,0,8,45.9,0,8,1,55.4,0,8,43,0,8,1,,,0,0,1,8,1,6,0,8,2.6,8,1,3.7,8,9.8,8,西,8,1,,0
2020/2/21,2020/2/29,5.2,8,1,3.0,8,8.2,8,1,6.5,8,1.9,8,1,-0.4,8,43.5,0,8,1,30.0,0,8,25.4,0,8,1,26.7,0,8,25,0,8,1,,,0,2,0,8,1,13,0,8,4.7,8,1,5.0,8,14.4,8,西北西,8,1,,0,3.6,8,1,1.3,8,8.4,8,1,5.8,8,-0.3,8,1,-2.6,8,23.0,0,8,1,15.6,0,8,24.8,0,8,1,34.9,0,8,25,0,8,1,,,0,3,0,8,1,18,0,8,1.8,8,1,1.7,8,6.5,8,西北西,8,1,,0,5.2,8,1,3.2,8,9.3,8,1,7.5,8,1.9,8,1,-0.6,8,9.0,0,8,1,8.8,0,8,39.2,0,8,1,46.9,0,8,39,0,8,1,,,0,0,1,8,1,3,0,8,3.1,8,1,3.7,8,10.2,8,西北西,8,1,,0
2020/3/1,2020/3/10,7.4,8,1,3.8,8,10.9,8,1,7.3,8,3.5,8,1,0.5,8,39.0,0,8,1,35.5,0,8,44.1,0,5,1,28.4,0,8,39,0,5,1,,,0,0,1,8,1,10,0,8,5.0,8,1,5.0,8,14.8,8,西,8,1,,0,5.6,8,1,2.5,8,10.3,8,1,7.0,8,1.5,8,1,-1.3,8,23.5,0,8,1,26.3,0,8,38.8,0,8,1,39.8,0,8,34,0,8,1,,,0,4,0,8,1,17,0,8,1.6,8,1,1.9,8,7.1,8,西北西,8,1,,0,6.7,8,1,4.1,8,10.1,8,1,8.3,8,3.9,8,1,0.4,8,35.5,0,8,1,29.2,0,8,41.3,0,8,1,52.7,0,8,36,0,8,1,,,0,0,1,8,1,6,0,8,3.3,8,1,3.8,8,14.1,8,北西,8,1,,0
