ダウンロードした時刻：2021/10/31 16:10:20

,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の最低(℃),日最高気温の最低(℃),日最高気温の最低(℃),日最高気温の最低(℃),日最高気温の最低(℃),日最低気温の最高(℃),日最低気温の最高(℃),日最低気温の最高(℃),日最低気温の最高(℃),日最低気温の最高(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日)
,,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(日),平年値(日)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2020/1,147.5,0,8,1,177.7,0,8,4.2,8,1,1.9,8,7.0,8,1,4.5,8,1.6,8,1,-0.6,8,4.3,8,1,,0,5.2,8,1,,0,0,8,1,0.0,8
2020/2,189.0,0,8,1,118.4,0,8,4.0,8,1,2.2,8,7.0,8,1,5.2,8,0.6,8,1,-0.8,8,0.2,8,1,,0,5.8,8,1,,0,0,8,1,0.0,8
2020/3,138.0,0,8,1,111.1,0,8,7.2,8,1,5.1,8,11.2,8,1,8.9,8,3.2,8,1,1.4,8,6.1,8,1,,0,8.9,8,1,,0,0,8,1,0.0,8
2020/4,109.5,0,8,1,103.6,0,8,9.3,8,1,10.2,8,13.6,8,1,14.8,8,5.2,8,1,5.8,8,8.4,8,1,,0,9.9,8,1,,0,0,8,1,0.4,8
2020/5,64.5,0,8,1,122.6,0,8,16.3,8,1,15.7,8,20.8,8,1,20.3,8,12.1,8,1,11.6,8,13.3,8,1,,0,15.4,8,1,,0,3,8,1,4.3,8
2020/6,101.0,0,8,1,125.3,0,8,21.5,8,1,20.0,8,25.6,8,1,24.1,8,17.8,8,1,16.5,8,21.4,8,1,,0,21.7,8,1,,0,15,8,1,11.5,8
2020/7,432.0,0,8,1,218.7,0,8,23.1,8,1,23.8,8,26.6,8,1,27.6,8,20.5,8,1,20.7,8,22.3,8,1,,0,23.3,8,1,,0,26,8,1,24.2,8
2020/8,230.0,0,8,1,205.6,0,8,26.7,8,1,25.5,8,30.6,8,1,29.7,8,23.4,8,1,22.0,8,23.8,8,1,,0,26.7,8,1,,0,30,8,1,29.0,8
2020/9,445.5,0,8,1,176.2,0,8,23.5,8,1,21.6,8,27.9,8,1,25.8,8,19.8,8,1,17.8,8,19.8,8,1,,0,27.3,8,1,,0,20,8,1,16.9,8
2020/10,112.0,0,8,1,188.6,0,8,15.7,8,1,15.6,8,19.3,8,1,19.8,8,12.2,8,1,11.6,8,13.5,8,1,,0,19.2,8,1,,0,1,8,1,1.4,8
2020/11,212.5,0,8,1,222.0,0,8,10.6,8,1,9.7,8,14.3,8,1,13.6,8,6.8,8,1,5.9,8,8.4,8,1,,0,12.6,8,1,,0,0,8,1,0.0,8
2020/12,209.5,0,8,1,217.0,0,8,4.0,8,1,4.5,8,6.6,8,1,7.6,8,1.4,8,1,1.6,8,-0.3,8,1,,0,6.2,8,1,,0,0,8,1,0.0,8
