ダウンロードした時刻：2022/02/27 08:44:50

,,,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,,平年値(℃),平年値(℃),,,,,平年値(cm),平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm)
,,,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報
1993,1,1,1.7,8,1,0.7,8,4,0,8,1,14,,8,0,0,8,1,,,1
1993,1,2,1.3,8,1,0.6,8,0,0,8,1,15,,8,0,1,8,1,,,1
1993,1,3,6.7,8,1,0.6,8,0,1,8,1,15,,8,0,1,8,1,,,1
1993,1,4,0.8,8,1,0.5,8,0,1,8,1,16,,8,0,0,8,1,,,1
1993,1,5,0.1,8,1,0.4,8,1,0,8,1,16,,8,1,0,8,1,,,1
1993,1,6,1.6,8,1,0.3,8,0,1,8,1,16,,8,0,0,8,1,,,1
1993,1,7,2.0,8,1,0.2,8,0,1,8,1,17,,8,0,1,8,1,,,1
1993,1,8,2.6,8,1,0.2,8,0,1,8,1,17,,8,0,0,8,1,,,1
1993,1,9,1.3,8,1,0.1,8,0,1,8,1,18,,8,0,0,8,1,,,1
1993,1,10,2.5,8,1,0.0,8,0,1,8,1,18,,8,0,1,8,1,,,1
1993,1,11,1.3,8,1,0.0,8,0,1,8,1,19,,8,0,0,8,1,,,1
1993,1,12,2.1,8,1,-0.1,8,0,1,8,1,19,,8,0,0,8,1,,,1
1993,1,13,2.0,8,1,-0.2,8,0,1,8,1,20,,8,0,0,8,1,,,1
1993,1,14,0.8,8,1,-0.2,8,2,0,8,1,20,,8,2,0,8,1,,,1
1993,1,15,0.5,8,1,-0.2,8,8,0,8,1,20,,8,7,0,8,1,,,1
1993,1,16,0.6,8,1,-0.2,8,10,0,8,1,21,,8,8,0,8,1,,,1
1993,1,17,1.5,8,1,-0.3,8,6,0,8,1,21,,8,0,0,8,1,,,1
1993,1,18,1.2,8,1,-0.3,8,6,0,8,1,22,,8,0,0,8,1,,,1
1993,1,19,1.0,8,1,-0.3,8,5,0,8,1,22,,8,1,0,8,1,,,1
1993,1,20,0.1,8,1,-0.3,8,8,0,8,1,23,,8,3,0,8,1,,,1
1993,1,21,-0.8,8,1,-0.3,8,20,0,8,1,23,,8,14,0,8,1,,,1
1993,1,22,-0.4,8,1,-0.3,8,19,0,8,1,23,,8,2,0,8,1,,,1
1993,1,23,-0.5,8,1,-0.3,8,12,0,8,1,24,,8,0,0,8,1,,,1
1993,1,24,-0.7,8,1,-0.3,8,11,0,8,1,24,,8,0,1,8,1,,,1
1993,1,25,-0.1,8,1,-0.3,8,9,0,8,1,25,,8,0,0,8,1,,,1
1993,1,26,1.8,8,1,-0.4,8,9,0,8,1,25,,8,0,0,8,1,,,1
1993,1,27,2.9,8,1,-0.4,8,9,0,8,1,26,,8,0,1,8,1,,,1
1993,1,28,0.0,8,1,-0.4,8,9,0,8,1,27,,8,3,0,8,1,,,1
1993,1,29,-0.5,8,1,-0.4,8,34,0,8,1,27,,8,30,0,8,1,,,1
1993,1,30,0.8,8,1,-0.4,8,27,0,8,1,28,,8,0,0,8,1,,,1
1993,1,31,1.1,8,1,-0.4,8,22,0,8,1,28,,8,2,0,8,1,,,1
1993,2,1,0.1,8,1,-0.4,8,16,0,8,1,29,,8,1,0,8,1,,,1
1993,2,2,-0.1,8,1,-0.3,8,23,0,8,1,29,,8,8,0,8,1,,,1
1993,2,3,2.6,8,1,-0.3,8,24,0,8,1,29,,8,1,0,8,1,,,1
1993,2,4,1.3,8,1,-0.3,8,14,0,8,1,29,,8,0,0,8,1,,,1
1993,2,5,3.0,8,1,-0.2,8,14,0,8,1,30,,8,0,1,8,1,,,1
1993,2,6,12.9,8,1,-0.2,8,11,0,8,1,30,,8,0,1,8,1,,,1
1993,2,7,10.3,8,1,-0.1,8,0,1,8,1,29,,8,0,1,8,1,,,1
1993,2,8,-1.6,8,1,-0.1,8,9,0,8,1,29,,8,10,0,8,1,,,1
1993,2,9,-0.4,8,1,0.0,8,7,0,8,1,29,,8,1,0,8,1,,,1
1993,2,10,0.6,8,1,0.0,8,4,0,8,1,29,,8,0,0,8,1,,,1
1993,2,11,3.8,8,1,0.1,8,0,0,8,1,28,,8,0,0,8,1,,,1
1993,2,12,0.6,8,1,0.2,8,0,0,8,1,28,,8,0,0,8,1,,,1
1993,2,13,0.3,8,1,0.2,8,7,0,8,1,27,,8,7,0,8,1,,,1
1993,2,14,-1.5,8,1,0.3,8,11,0,8,1,27,,8,12,0,8,1,,,1
1993,2,15,1.3,8,1,0.3,8,9,0,8,1,26,,8,0,0,8,1,,,1
1993,2,16,2.9,8,1,0.4,8,0,0,8,1,26,,8,0,1,8,1,,,1
1993,2,17,0.6,8,1,0.5,8,16,0,8,1,25,,8,16,0,8,1,,,1
1993,2,18,2.2,8,1,0.5,8,11,0,8,1,25,,8,0,1,8,1,,,1
1993,2,19,0.5,8,1,0.6,8,6,0,8,1,24,,8,1,0,8,1,,,1
1993,2,20,0.0,8,1,0.7,8,9,0,8,1,23,,8,5,0,8,1,,,1
1993,2,21,0.2,8,1,0.8,8,5,0,8,1,23,,8,2,0,8,1,,,1
1993,2,22,2.8,8,1,0.9,8,6,0,8,1,22,,8,2,0,8,1,,,1
1993,2,23,2.2,8,1,1.0,8,2,0,8,1,21,,8,2,0,8,1,,,1
1993,2,24,0.9,8,1,1.2,8,10,0,8,1,20,,8,8,0,8,1,,,1
1993,2,25,0.3,8,1,1.3,8,4,0,8,1,19,,8,0,0,8,1,,,1
1993,2,26,1.4,8,1,1.4,8,1,0,8,1,18,,8,1,0,8,1,,,1
1994,1,1,-0.1,8,1,0.7,8,9,0,8,1,14,,8,2,0,8,1,,,1
1994,1,2,3.3,8,1,0.6,8,8,0,8,1,15,,8,0,0,8,1,,,1
1994,1,3,4.3,8,1,0.6,8,6,0,8,1,15,,8,0,1,8,1,,,1
1994,1,4,2.3,8,1,0.5,8,1,0,8,1,16,,8,0,0,8,1,,,1
1994,1,5,-2.1,8,1,0.4,8,10,0,8,1,16,,8,10,0,8,1,,,1
1994,1,6,-1.7,8,1,0.3,8,14,0,8,1,16,,8,11,0,8,1,,,1
1994,1,7,-1.7,8,1,0.2,8,14,0,8,1,17,,8,7,0,8,1,,,1
1994,1,8,-1.9,8,1,0.2,8,11,0,8,1,17,,8,0,0,8,1,,,1
1994,1,9,1.5,8,1,0.1,8,9,0,8,1,18,,8,0,0,8,1,,,1
1994,1,10,1.7,8,1,0.0,8,6,0,8,1,18,,8,0,1,8,1,,,1
1994,1,11,0.1,8,1,0.0,8,5,0,8,1,19,,8,0,1,8,1,,,1
1994,1,12,1.2,8,1,-0.1,8,7,0,8,1,19,,8,2,0,8,1,,,1
1994,1,13,-0.3,8,1,-0.2,8,4,0,8,1,20,,8,0,0,8,1,,,1
1994,1,14,0.9,8,1,-0.2,8,4,0,8,1,20,,8,0,0,8,1,,,1
1994,1,15,-0.5,8,1,-0.2,8,4,0,8,1,20,,8,0,0,8,1,,,1
1994,1,16,3.1,8,1,-0.2,8,3,0,8,1,21,,8,0,0,8,1,,,1
1994,1,17,3.1,8,1,-0.3,8,0,1,8,1,21,,8,0,1,8,1,,,1
1994,1,18,0.0,8,1,-0.3,8,1,0,8,1,22,,8,1,0,8,1,,,1
1994,1,19,-3.1,8,1,-0.3,8,4,0,8,1,22,,8,4,0,8,1,,,1
1994,1,20,-1.9,8,1,-0.3,8,3,0,8,1,23,,8,0,0,8,1,,,1
