ダウンロードした時刻：2022/02/27 08:44:15

,,,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,,平年値(℃),平年値(℃),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
1993,1,1,2.3,8,1,1.5,8,0,8,1,17,8,0,8,1,5,8
1993,1,2,2.4,8,1,1.4,8,0,8,1,18,8,0,8,1,5,8
1993,1,3,5.0,8,1,1.3,8,0,8,1,18,8,0,8,1,5,8
1993,1,4,0.4,8,1,1.2,8,2,8,1,20,8,3,8,1,5,8
1993,1,5,0.6,8,1,1.2,8,11,8,1,21,8,18,8,1,5,8
1993,1,6,2.3,8,1,1.1,8,18,8,1,22,8,19,8,1,6,8
1993,1,7,3.1,8,1,1.0,8,4,8,1,23,8,0,8,1,6,8
1993,1,8,3.0,8,1,0.9,8,0,8,1,24,8,0,8,1,6,8
1993,1,9,2.1,8,1,0.8,8,0,8,1,25,8,0,8,1,6,8
1993,1,10,2.5,8,1,0.7,8,0,8,1,27,8,0,8,1,6,8
1993,1,11,1.7,8,1,0.7,8,0,8,1,28,8,0,8,1,6,8
1993,1,12,2.4,8,1,0.6,8,0,8,1,29,8,0,8,1,6,8
1993,1,13,1.4,8,1,0.6,8,0,8,1,30,8,0,8,1,6,8
1993,1,14,1.2,8,1,0.5,8,0,8,1,31,8,0,8,1,6,8
1993,1,15,1.6,8,1,0.5,8,0,8,1,33,8,0,8,1,6,8
1993,1,16,2.6,8,1,0.4,8,0,8,1,34,8,0,8,1,7,8
1993,1,17,3.3,8,1,0.4,8,0,8,1,35,8,0,8,1,7,8
1993,1,18,3.1,8,1,0.4,8,0,8,1,36,8,0,8,1,7,8
1993,1,19,1.4,8,1,0.4,8,0,8,1,37,8,0,8,1,7,8
1993,1,20,0.3,8,1,0.4,8,12,8,1,38,8,16,8,1,7,8
1993,1,21,0.8,8,1,0.4,8,20,8,1,39,8,24,8,1,7,8
1993,1,22,-0.5,8,1,0.4,8,20,8,1,41,8,11,8,1,7,8
1993,1,23,0.2,8,1,0.3,8,29,8,1,42,8,32,8,1,8,8
1993,1,24,1.5,8,1,0.3,8,17,8,1,43,8,5,8,1,8,8
1993,1,25,3.4,8,1,0.3,8,13,8,1,44,8,2,8,1,8,8
1993,1,26,3.3,8,1,0.3,8,3,8,1,45,8,1,8,1,8,8
1993,1,27,2.6,8,1,0.3,8,0,8,1,46,8,0,8,1,8,8
1993,1,28,0.4,8,1,0.2,8,1,8,1,47,8,2,8,1,8,8
1993,1,29,1.1,8,1,0.2,8,5,8,1,48,8,8,8,1,8,8
1993,1,30,1.4,8,1,0.2,8,19,8,1,48,8,22,8,1,8,8
1993,1,31,1.6,8,1,0.2,8,17,8,1,49,8,19,8,1,8,8
1993,2,1,0.0,8,1,0.2,8,20,8,1,50,8,19,8,1,8,8
1993,2,2,0.8,8,1,0.2,8,24,8,1,51,8,20,8,1,8,8
1993,2,3,2.2,8,1,0.2,8,22,8,1,52,8,7,8,1,8,8
1993,2,4,1.7,8,1,0.2,8,17,8,1,52,8,2,8,1,7,8
1993,2,5,3.1,8,1,0.2,8,15,8,1,53,8,4,8,1,7,8
1993,2,6,6.1,8,1,0.3,8,12,8,1,53,8,8,8,1,7,8
1993,2,7,8.2,8,1,0.3,8,4,8,1,53,8,1,8,1,7,8
1993,2,8,-0.7,8,1,0.3,8,2,8,1,54,8,5,8,1,7,8
1993,2,9,-0.5,8,1,0.4,8,7,8,1,54,8,19,8,1,7,8
1993,2,10,0.9,8,1,0.4,8,5,8,1,54,8,8,8,1,7,8
1993,2,11,2.9,8,1,0.4,8,4,8,1,54,8,1,8,1,7,8
1993,2,12,0.8,8,1,0.5,8,16,8,1,53,8,16,8,1,6,8
1993,2,13,0.6,8,1,0.5,8,16,8,1,53,8,13,8,1,6,8
1993,2,14,0.1,8,1,0.6,8,14,8,1,53,8,11,8,1,6,8
1993,2,15,2.1,8,1,0.7,8,17,8,1,52,8,12,8,1,6,8
1993,2,16,2.2,8,1,0.7,8,9,8,1,52,8,2,8,1,6,8
1993,2,17,3.2,8,1,0.8,8,4,8,1,51,8,0,8,1,6,8
1993,2,18,3.7,8,1,0.9,8,1,8,1,50,8,1,8,1,6,8
1993,2,19,0.8,8,1,1.0,8,0,8,1,49,8,0,8,1,5,8
1993,2,20,0.3,8,1,1.1,8,0,8,1,49,8,0,8,1,5,8
1993,2,21,2.1,8,1,1.2,8,0,8,1,48,8,0,8,1,5,8
1993,2,22,4.8,8,1,1.3,8,0,8,1,47,8,0,8,1,5,8
1993,2,23,2.5,8,1,1.4,8,1,8,1,45,8,1,8,1,5,8
1993,2,24,1.4,8,1,1.5,8,1,4,1,44,8,1,5,1,4,8
1993,2,25,0.9,8,1,1.6,8,7,4,1,43,8,15,5,1,4,8
1993,2,26,2.1,8,1,1.7,8,4,4,1,41,8,5,5,1,4,8
1994,1,1,0.7,8,1,1.5,8,0,8,1,17,8,0,8,1,5,8
1994,1,2,3.4,8,1,1.4,8,0,8,1,18,8,0,8,1,5,8
1994,1,3,4.8,8,1,1.3,8,0,8,1,18,8,0,8,1,5,8
1994,1,4,2.4,8,1,1.2,8,0,8,1,20,8,0,8,1,5,8
1994,1,5,-1.9,8,1,1.2,8,0,8,1,21,8,0,8,1,5,8
1994,1,6,-0.1,8,1,1.1,8,5,8,1,22,8,6,8,1,6,8
1994,1,7,-1.0,8,1,1.0,8,0,8,1,23,8,0,8,1,6,8
1994,1,8,-0.2,8,1,0.9,8,5,8,1,24,8,6,8,1,6,8
1994,1,9,3.0,8,1,0.8,8,3,8,1,25,8,2,8,1,6,8
1994,1,10,2.8,8,1,0.7,8,0,8,1,27,8,0,8,1,6,8
1994,1,11,2.0,8,1,0.7,8,0,8,1,28,8,0,8,1,6,8
1994,1,12,0.5,8,1,0.6,8,0,8,1,29,8,0,8,1,6,8
1994,1,13,0.9,8,1,0.6,8,0,8,1,30,8,0,8,1,6,8
1994,1,14,1.7,8,1,0.5,8,0,8,1,31,8,0,8,1,6,8
1994,1,15,-0.2,8,1,0.5,8,0,8,1,33,8,0,8,1,6,8
1994,1,16,2.4,8,1,0.4,8,0,8,1,34,8,0,8,1,7,8
1994,1,17,3.2,8,1,0.4,8,0,8,1,35,8,0,8,1,7,8
1994,1,18,0.1,8,1,0.4,8,3,8,1,36,8,3,8,1,7,8
1994,1,19,-2.7,8,1,0.4,8,12,8,1,37,8,26,8,1,7,8
1994,1,20,-1.2,8,1,0.4,8,23,8,1,38,8,30,8,1,7,8
1994,1,21,-1.3,8,1,0.4,8,28,8,1,39,8,12,8,1,7,8
1994,1,22,0.0,8,1,0.4,8,26,8,1,41,8,28,8,1,7,8
1994,1,23,-1.5,8,1,0.3,8,53,8,1,42,8,43,8,1,8,8
1994,1,24,-2.0,8,1,0.3,8,52,8,1,43,8,5,8,1,8,8
1994,1,25,-0.2,8,1,0.3,8,56,8,1,44,8,24,8,1,8,8
1994,1,26,1.7,8,1,0.3,8,42,8,1,45,8,7,8,1,8,8
1994,1,27,-0.8,8,1,0.3,8,38,8,1,46,8,17,8,1,8,8
1994,1,28,-2.1,8,1,0.2,8,41,8,1,47,8,25,8,1,8,8
1994,1,29,-1.5,8,1,0.2,8,42,8,1,48,8,19,8,1,8,8
1994,1,30,-3.6,8,1,0.2,8,46,8,1,48,8,17,8,1,8,8
1994,1,31,-1.9,8,1,0.2,8,56,8,1,49,8,16,8,1,8,8
1994,2,1,0.3,8,1,0.2,8,49,8,1,50,8,13,8,1,8,8
1994,2,2,-1.6,8,1,0.2,8,43,8,1,51,8,8,8,1,8,8
1994,2,3,-2.9,8,1,0.2,8,47,8,1,52,8,9,8,1,8,8
1994,2,4,-1.6,8,1,0.2,8,54,8,1,52,8,15,8,1,7,8
1994,2,5,1.5,8,1,0.2,8,54,8,1,53,8,11,8,1,7,8
1994,2,6,2.1,8,1,0.3,8,46,8,1,53,8,2,8,1,7,8
1994,2,7,2.1,8,1,0.3,8,43,8,1,53,8,3,8,1,7,8
1994,2,8,2.5,8,1,0.3,8,42,8,1,54,8,2,8,1,7,8
1994,2,9,3.6,8,1,0.4,8,39,8,1,54,8,5,8,1,7,8
1994,2,10,1.8,8,1,0.4,8,35,8,1,54,8,4,8,1,7,8
1994,2,11,-1.1,8,1,0.4,8,40,8,1,54,8,18,8,1,7,8
1994,2,12,-1.5,8,1,0.5,8,42,8,1,53,8,14,8,1,6,8
1994,2,13,-3.5,8,1,0.5,8,44,8,1,53,8,10,8,1,6,8
1994,2,14,-1.2,8,1,0.6,8,54,8,1,53,8,23,8,1,6,8
1994,2,15,2.0,8,1,0.7,8,52,8,1,52,8,10,8,1,6,8
1994,2,16,2.0,8,1,0.7,8,41,8,1,52,8,5,8,1,6,8
