ダウンロードした時刻：2022/02/27 08:44:44

,,,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,,平年値(℃),平年値(℃),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
1993,1,1,0.6,8,1,-0.2,8,26,8,1,54,8,4,8,1,10,8
1993,1,2,-1.5,8,1,-0.3,8,25,8,1,56,8,4,8,1,10,8
1993,1,3,2.6,8,1,-0.4,8,25,8,1,58,8,5,8,1,10,8
1993,1,4,-0.8,8,1,-0.4,8,26,8,1,60,8,13,8,1,10,8
1993,1,5,-1.5,8,1,-0.5,8,35,8,1,63,8,23,8,1,10,8
1993,1,6,0.7,8,1,-0.6,8,34,8,1,65,8,5,8,1,10,8
1993,1,7,0.5,8,1,-0.7,8,29,8,1,67,8,3,8,1,10,8
1993,1,8,1.8,8,1,-0.8,8,24,8,1,69,8,5,8,1,10,8
1993,1,9,1.3,8,1,-0.8,8,22,8,1,71,8,4,8,1,10,8
1993,1,10,0.6,8,1,-0.9,8,21,8,1,73,8,5,8,1,10,8
1993,1,11,0.8,8,1,-1.0,8,19,8,1,75,8,3,8,1,10,8
1993,1,12,1.1,8,1,-1.1,8,20,8,1,77,8,7,8,1,10,8
1993,1,13,1.1,8,1,-1.1,8,19,8,1,79,8,6,8,1,10,8
1993,1,14,-0.1,8,1,-1.2,8,24,8,1,81,8,7,8,1,10,8
1993,1,15,0.4,8,1,-1.2,8,24,8,1,83,8,5,8,1,10,8
1993,1,16,1.3,8,1,-1.2,8,24,8,1,84,8,7,8,1,10,8
1993,1,17,1.1,8,1,-1.2,8,21,8,1,86,8,5,8,1,10,8
1993,1,18,1.3,8,1,-1.2,8,23,8,1,88,8,8,8,1,10,8
1993,1,19,-0.4,8,1,-1.2,8,25,8,1,89,8,11,8,1,10,8
1993,1,20,-1.1,8,1,-1.2,8,56,8,1,91,8,37,8,1,10,8
1993,1,21,-0.7,8,1,-1.2,8,63,8,1,92,8,19,8,1,10,8
1993,1,22,-1.3,8,1,-1.2,8,71,8,1,94,8,19,8,1,10,8
1993,1,23,-2.8,8,1,-1.3,8,67,8,1,96,8,3,8,1,10,8
1993,1,24,-4.4,8,1,-1.3,8,57,8,1,97,8,1,8,1,10,8
1993,1,25,-0.8,8,1,-1.3,8,56,8,1,99,8,5,8,1,10,8
1993,1,26,1.5,8,1,-1.3,8,44,8,1,100,8,3,8,1,11,8
1993,1,27,1.1,8,1,-1.3,8,37,8,1,102,8,3,8,1,11,8
1993,1,28,-0.4,8,1,-1.3,8,40,8,1,104,8,10,8,1,11,8
1993,1,29,-0.2,8,1,-1.3,8,43,8,1,105,8,15,8,1,11,8
1993,1,30,-0.1,8,1,-1.3,8,52,8,1,107,8,21,8,1,11,8
1993,1,31,0.3,8,1,-1.4,8,64,8,1,108,8,28,8,1,11,8
1993,2,1,-1.0,8,1,-1.3,8,75,8,1,109,8,21,8,1,10,8
1993,2,2,-0.8,8,1,-1.3,8,69,8,1,111,8,16,8,1,10,8
1993,2,3,1.4,8,1,-1.3,8,63,8,1,112,8,3,8,1,10,8
1993,2,4,0.2,8,1,-1.3,8,62,8,1,113,8,15,8,1,10,8
1993,2,5,2.2,8,1,-1.3,8,59,8,1,114,8,4,8,1,10,8
1993,2,6,7.6,8,1,-1.2,8,63,8,1,114,8,15,8,1,10,8
1993,2,7,6.3,8,1,-1.2,8,43,8,1,115,8,2,8,1,9,8
1993,2,8,-1.8,8,1,-1.1,8,58,8,1,115,8,29,8,1,9,8
1993,2,9,-1.7,8,1,-1.1,8,67,8,1,116,8,15,8,1,9,8
1993,2,10,-0.5,8,1,-1.0,8,59,8,1,116,8,2,8,1,9,8
1993,2,11,2.3,8,1,-1.0,8,53,8,1,116,8,5,8,1,9,8
1993,2,12,-0.5,8,1,-0.9,8,50,8,1,116,8,13,8,1,9,8
1993,2,13,-1.2,8,1,-0.9,8,70,8,1,116,8,29,8,1,8,8
1993,2,14,-1.7,8,1,-0.8,8,72,8,1,116,8,11,8,1,8,8
1993,2,15,0.7,8,1,-0.8,8,66,8,1,116,8,8,8,1,8,8
1993,2,16,2.1,8,1,-0.7,8,62,8,1,116,8,5,8,1,8,8
1993,2,17,1.2,8,1,-0.7,8,59,8,1,115,8,7,8,1,8,8
1993,2,18,1.5,8,1,-0.6,8,57,8,1,115,8,4,8,1,8,8
1993,2,19,-0.8,8,1,-0.5,8,62,8,1,114,8,19,8,1,8,8
1993,2,20,-1.0,8,1,-0.5,8,63,8,1,114,8,6,8,1,7,8
1993,2,21,0.6,8,1,-0.4,8,59,8,1,113,8,7,8,1,7,8
1993,2,22,2.3,8,1,-0.3,8,57,8,1,112,8,5,8,1,7,8
1993,2,23,1.3,8,1,-0.2,8,60,8,1,111,8,15,8,1,7,8
1993,2,24,-0.1,8,1,-0.1,8,70,8,1,110,8,20,8,1,7,8
1993,2,25,-0.6,8,1,0.0,8,80,4,1,109,8,12,5,1,7,8
1993,2,26,-0.1,8,1,0.2,8,81,8,1,108,8,14,8,1,6,8
1994,1,1,-0.8,8,1,-0.2,8,28,8,1,54,8,7,8,1,10,8
1994,1,2,1.4,8,1,-0.3,8,26,8,1,56,8,5,8,1,10,8
1994,1,3,2.0,8,1,-0.4,8,24,8,1,58,8,4,8,1,10,8
1994,1,4,0.8,8,1,-0.4,8,37,8,1,60,8,22,8,1,10,8
1994,1,5,-3.6,8,1,-0.5,8,45,8,1,63,8,10,8,1,10,8
1994,1,6,-2.4,8,1,-0.6,8,48,8,1,65,8,15,8,1,10,8
1994,1,7,-2.4,8,1,-0.7,8,46,8,1,67,8,13,8,1,10,8
1994,1,8,-1.6,8,1,-0.8,8,46,8,1,69,8,7,8,1,10,8
1994,1,9,0.8,8,1,-0.8,8,40,8,1,71,8,8,8,1,10,8
1994,1,10,0.7,8,1,-0.9,8,39,8,1,73,8,6,8,1,10,8
1994,1,11,-2.4,8,1,-1.0,8,36,8,1,75,8,5,8,1,10,8
1994,1,12,0.0,8,1,-1.1,8,35,8,1,77,8,3,8,1,10,8
1994,1,13,-1.7,8,1,-1.1,8,35,8,1,79,8,7,8,1,10,8
1994,1,14,-0.7,8,1,-1.2,8,37,8,1,81,8,10,8,1,10,8
1994,1,15,-1.8,8,1,-1.2,8,42,8,1,83,8,16,8,1,10,8
1994,1,16,-1.0,8,1,-1.2,8,40,8,1,84,8,8,8,1,10,8
1994,1,17,0.1,8,1,-1.2,8,37,8,1,86,8,10,8,1,10,8
1994,1,18,-1.1,8,1,-1.2,8,46,8,1,88,8,11,8,1,10,8
1994,1,19,-3.9,8,1,-1.2,8,61,8,1,89,8,21,8,1,10,8
1994,1,20,-2.5,8,1,-1.2,8,96,8,1,91,8,39,8,1,10,8
1994,1,21,-3.1,8,1,-1.2,8,97,8,1,92,8,7,8,1,10,8
1994,1,22,-2.2,8,1,-1.2,8,91,8,1,94,8,14,8,1,10,8
1994,1,23,-2.2,8,1,-1.3,8,104,8,1,96,8,20,8,1,10,8
1994,1,24,-3.5,8,1,-1.3,8,112,8,1,97,8,26,8,1,10,8
1994,1,25,-1.4,8,1,-1.3,8,110,8,1,99,8,9,8,1,10,8
1994,1,26,0.6,8,1,-1.3,8,99,8,1,100,8,3,8,1,11,8
1994,1,27,-1.6,8,1,-1.3,8,95,8,1,102,8,9,8,1,11,8
1994,1,28,-3.1,8,1,-1.3,8,93,8,1,104,8,7,8,1,11,8
1994,1,29,-2.9,8,1,-1.3,8,90,8,1,105,8,11,8,1,11,8
1994,1,30,-5.4,8,1,-1.3,8,103,8,1,107,8,20,8,1,11,8
1994,1,31,-5.4,8,1,-1.4,8,108,8,1,108,8,15,8,1,11,8
1994,2,1,-2.4,8,1,-1.3,8,103,8,1,109,8,6,8,1,10,8
1994,2,2,-3.1,8,1,-1.3,8,113,8,1,111,8,20,8,1,10,8
1994,2,3,-3.9,8,1,-1.3,8,121,8,1,112,8,18,8,1,10,8
1994,2,4,-2.8,8,1,-1.3,8,126,8,1,113,8,11,8,1,10,8
1994,2,5,0.1,8,1,-1.3,8,120,8,1,114,8,1,8,1,10,8
1994,2,6,0.3,8,1,-1.2,8,113,8,1,114,8,5,8,1,10,8
1994,2,7,-0.4,8,1,-1.2,8,107,8,1,115,8,1,8,1,9,8
1994,2,8,2.4,8,1,-1.1,8,101,8,1,115,8,0,8,1,9,8
1994,2,9,2.8,8,1,-1.1,8,96,8,1,116,8,2,8,1,9,8
1994,2,10,0.6,8,1,-1.0,8,91,8,1,116,8,6,8,1,9,8
1994,2,11,-2.0,8,1,-1.0,8,107,8,1,116,8,21,8,1,9,8
1994,2,12,-2.6,8,1,-0.9,8,105,8,1,116,8,8,8,1,9,8
