ダウンロードした時刻：2022/07/22 08:23:24

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,,平年値(時間),平年値(時間),平年値(時間)
,,,,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報
2022,4,1,2022,4,10,8.9,8,1,8.4,8,14.6,8,1,12.8,8,3.0,8,1,4.1,8,4.5,0,8,1,35.1,0,8,80.3,0,8,1,52.2,0,8
2022,4,11,2022,4,20,11.4,8,1,10.2,8,17.0,8,1,14.7,8,5.9,8,1,5.7,8,22.5,0,8,1,31.8,0,8,76.9,0,8,1,57.1,0,8
2022,4,21,2022,4,30,13.6,8,1,12.1,8,19.0,8,1,16.8,8,7.8,8,1,7.6,8,61.5,0,8,1,36.6,0,8,59.8,0,8,1,59.7,0,8
2022,5,1,2022,5,10,13.6,8,1,14.2,8,18.9,8,1,18.9,8,8.6,8,1,9.9,8,28.5,0,8,1,45.9,0,8,100.2,0,8,1,60.8,0,8
2022,5,11,2022,5,20,17.2,8,1,15.4,8,22.6,8,1,19.8,8,11.7,8,1,11.4,8,7.0,0,8,1,38.6,0,8,76.4,0,8,1,59.0,0,8
2022,5,21,2022,5,31,19.2,8,1,17.5,8,23.5,8,1,22.0,8,15.4,8,1,13.3,8,46.0,0,8,1,38.1,0,8,79.3,0,8,1,74.8,0,8
2022,6,1,2022,6,10,16.3,8,1,19.0,8,19.4,8,1,23.3,8,13.7,8,1,15.0,8,74.5,0,8,1,20.4,0,8,39.4,0,8,1,71.2,0,8
2022,6,11,2022,6,20,19.9,8,1,20.0,8,23.7,8,1,23.9,8,16.7,8,1,16.6,8,5.0,0,8,1,42.0,0,8,61.9,0,8,1,57.4,0,8
2022,6,21,2022,6,30,25.1,8,1,21.2,8,29.1,8,1,25.0,8,21.9,8,1,18.0,8,39.5,0,8,1,63.0,0,8,52.9,0,8,1,53.3,0,8
2022,7,1,2022,7,10,26.6,5,1,22.4,8,30.9,5,1,26.1,8,22.9,5,1,19.4,8,5.5,0,8,1,80.5,0,8,100.6,0,5,1,45.2,0,8
2022,7,11,2022,7,20,25.7,8,1,23.5,8,29.3,8,1,27.0,8,22.9,8,1,20.6,8,72.0,0,8,1,82.0,0,8,49.1,0,8,1,46.9,0,8
