ダウンロードした時刻：2022/08/30 07:30:31

,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田大沢,酒田大沢,酒田大沢,酒田大沢,酒田大沢,酒田大沢
年,月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm)
,,,,,,,,,,,,,,,
,,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1991,6,212.5,0,8,1,20.0,0,8,1,,0,1,,0,1
1991,7,273.5,0,8,1,17.0,0,8,1,,0,1,,0,1
1991,8,173.0,0,8,1,22.0,0,8,1,,0,1,,0,1
1992,6,72.5,0,8,1,13.0,0,8,1,,0,1,,0,1
1992,7,165.5,0,8,1,45.5,0,8,1,,0,1,,0,1
1992,8,88.0,0,8,1,13.0,0,8,1,,0,1,,0,1
1993,6,146.0,0,8,1,14.0,0,8,1,,0,1,,0,1
1993,7,305.5,0,8,1,17.5,0,8,1,,0,1,,0,1
1993,8,80.0,0,8,1,7.0,0,8,1,,0,1,,0,1
1994,6,69.0,0,8,1,5.0,0,8,1,,0,1,,0,1
1994,7,109.0,0,8,1,27.0,0,8,1,,0,1,,0,1
1994,8,30.5,0,8,1,19.0,0,8,1,,0,1,,0,1
1995,6,62.0,0,8,1,6.0,0,8,1,,0,1,,0,1
1995,7,181.5,0,8,1,10.0,0,8,1,,0,1,,0,1
1995,8,275.0,0,8,1,24.5,0,8,1,,0,1,,0,1
1996,6,266.5,0,8,1,20.5,0,8,1,,0,1,,0,1
1996,7,166.5,0,8,1,20.5,0,8,1,,0,1,,0,1
1996,8,104.5,0,8,1,21.5,0,8,1,,0,1,,0,1
1997,6,196.0,0,8,1,10.5,0,8,1,,0,1,,0,1
1997,7,261.5,0,8,1,33.0,0,8,1,,0,1,,0,1
1997,8,137.0,0,8,1,18.0,0,8,1,,0,1,,0,1
1998,6,183.5,0,8,1,18.5,0,8,1,,0,1,,0,1
1998,7,213.5,0,8,1,43.0,0,8,1,,0,1,,0,1
1998,8,340.0,0,8,1,21.5,0,8,1,,0,1,,0,1
1999,6,135.5,0,8,1,27.5,0,8,1,,0,1,,0,1
1999,7,173.0,0,8,1,23.0,0,8,1,,0,1,,0,1
1999,8,337.5,0,8,1,31.5,0,8,1,,0,1,,0,1
2000,6,76.5,0,8,1,12.5,0,8,1,,0,1,,0,1
2000,7,107.5,0,8,1,10.0,0,8,1,,0,1,,0,1
2000,8,89.0,0,8,1,26.0,0,8,1,,0,1,,0,1
2001,6,185.5,0,8,1,11.5,0,8,1,,0,1,,0,1
2001,7,124.5,0,8,1,17.0,0,8,1,,0,1,,0,1
2001,8,166.5,0,8,1,18.0,0,8,1,,0,1,,0,1
2002,6,115.5,0,8,1,20.5,0,8,1,,0,1,,0,1
2002,7,283.5,0,8,1,10.0,0,8,1,,0,1,,0,1
2002,8,286.0,0,8,1,28.0,0,8,1,,0,1,,0,1
2003,6,96.5,0,8,1,7.0,0,8,1,,0,1,,0,1
2003,7,352.5,0,8,1,22.0,0,8,1,,0,1,,0,1
2003,8,251.0,0,8,1,23.5,0,8,1,,0,1,,0,1
2004,6,169.0,0,8,1,11.0,0,8,1,,0,1,,0,1
2004,7,330.0,0,8,1,52.5,0,8,1,,0,1,,0,1
2004,8,229.0,0,8,1,18.5,0,8,1,,0,1,,0,1
2005,6,116.0,0,8,1,13.5,0,8,1,,0,1,,0,1
2005,7,264.0,0,8,1,34.5,0,8,1,,0,1,,0,1
2005,8,395.0,0,8,1,43.0,0,8,1,,0,1,,0,1
2006,6,64.0,0,8,1,12.0,0,8,1,,0,1,,0,1
2006,7,337.0,0,8,1,32.0,0,8,1,,0,1,,0,1
2006,8,128.0,0,8,1,27.5,0,8,1,,0,1,,0,1
2007,6,139.0,0,8,1,15.5,0,8,1,,0,1,,0,1
2007,7,132.0,0,8,1,12.0,0,8,1,,0,1,,0,1
2007,8,239.5,0,8,1,57.5,0,8,1,,0,1,,0,1
2008,6,27.0,0,8,1,4.5,0,8,1,,0,1,,0,1
2008,7,187.0,0,8,1,21.5,0,8,1,,0,1,,0,1
2008,8,282.0,0,8,1,34.0,0,8,1,,0,1,,0,1
2009,6,75.5,0,8,1,10.0,0,8,1,,0,1,,0,1
2009,7,267.5,0,8,1,19.0,0,8,1,,0,1,,0,1
2009,8,141.0,0,8,1,19.0,0,8,1,,0,1,,0,1
2010,6,94.0,0,8,1,12.0,0,8,1,,0,1,,0,1
2010,7,128.5,0,8,1,19.5,0,8,1,,0,1,,0,1
2010,8,53.5,0,8,1,11.5,0,8,1,,0,1,,0,1
2011,6,391.0,0,8,1,42.5,0,8,1,,0,1,,0,1
2011,7,140.0,0,8,1,40.0,0,8,1,,0,1,,0,1
2011,8,332.5,0,5,1,43.0,0,8,1,,0,1,,0,1
2012,6,50.5,0,8,1,7.5,0,8,1,,0,1,,0,1
2012,7,153.0,0,8,1,15.0,0,8,1,,0,1,,0,1
2012,8,44.0,0,8,1,14.0,0,8,1,,0,1,,0,1
2013,6,28.0,0,8,1,4.0,0,8,1,,0,1,,0,1
2013,7,785.5,0,8,1,31.0,0,8,1,,0,1,,0,1
2013,8,229.5,0,8,1,25.0,0,8,1,,0,1,,0,1
2014,6,84.5,0,8,1,12.0,0,8,1,,0,1,,0,1
2014,7,95.0,0,8,1,8.0,0,8,1,,0,1,,0,1
2014,8,197.0,0,8,1,23.5,0,8,1,,0,1,,0,1
2015,6,79.0,0,8,1,11.5,0,8,1,,0,1,,0,1
2015,7,80.5,0,8,1,9.0,0,8,1,,0,1,,0,1
2015,8,135.5,0,8,1,22.5,0,8,1,,0,1,,0,1
2016,6,143.5,0,8,1,32.5,0,8,1,,0,1,,0,1
