ダウンロードした時刻：2023/08/21 11:01:40

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023,8,1,27.6,8,1,26.0,8,31.8,8,1,30.2,8
2023,8,2,28.6,8,1,26.1,8,33.2,8,1,30.3,8
2023,8,3,29.4,8,1,26.1,8,35.1,8,1,30.3,8
2023,8,4,29.1,8,1,26.2,8,34.3,8,1,30.3,8
2023,8,5,29.9,8,1,26.2,8,34.7,8,1,30.3,8
2023,8,6,30.1,8,1,26.1,8,34.5,8,1,30.3,8
2023,8,7,30.1,8,1,26.1,8,36.2,8,1,30.3,8
2023,8,8,31.3,8,1,26.1,8,36.7,8,1,30.2,8
2023,8,9,32.4,8,1,26.0,8,38.1,8,1,30.2,8
2023,8,10,31.6,8,1,26.0,8,36.9,8,1,30.1,8
2023,8,11,31.0,8,1,25.9,8,36.9,8,1,30.1,8
2023,8,12,25.8,8,1,25.9,8,29.2,8,1,30.0,8
2023,8,13,29.6,8,1,25.8,8,35.0,8,1,30.0,8
2023,8,14,31.4,8,1,25.8,8,36.6,8,1,29.9,8
2023,8,15,31.4,8,1,25.7,8,35.8,8,1,29.9,8
2023,8,16,30.9,8,1,25.6,8,36.2,8,1,29.8,8
2023,8,17,28.9,8,1,25.6,8,32.5,8,1,29.8,8
2023,8,18,29.6,8,1,25.5,8,33.8,8,1,29.7,8
2023,8,19,29.5,8,1,25.4,8,33.0,8,1,29.6,8
2023,8,20,29.2,8,1,25.3,8,33.4,8,1,29.6,8
