ダウンロードした時刻：2023/09/12 16:49:01

,,酒田,酒田,酒田,酒田
年,月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,現象なし情報,品質情報,均質番号
1937,7,423.2,0,8,1
1937,8,388.7,0,8,1
1937,9,179.8,0,8,1
1938,7,180.2,0,8,1
1938,8,71.7,0,8,1
1938,9,343.1,0,8,1
1939,7,70.2,0,8,1
1939,8,96.3,0,8,1
1939,9,284.5,0,8,1
1940,7,361.7,0,8,1
1940,8,105.2,0,8,1
1940,9,149.6,0,8,1
1941,7,287.1,0,8,1
1941,8,65.6,0,8,1
1941,9,170.7,0,8,1
1942,7,173.0,0,8,1
1942,8,81.6,0,8,1
1942,9,250.4,0,8,1
1943,7,0.9,0,8,1
1943,8,317.5,0,8,1
1943,9,225.7,0,8,1
1944,7,362.1,0,8,1
1944,8,158.7,0,8,1
1944,9,180.9,0,8,1
1945,7,277.8,0,8,1
1945,8,88.7,0,8,1
1945,9,233.6,0,8,1
1946,7,116.7,0,8,1
1946,8,110.5,0,8,1
1946,9,190.1,0,8,1
1947,7,351.2,0,8,1
1947,8,348.2,0,8,1
1947,9,256.2,0,8,1
1948,7,200.1,0,8,1
1948,8,118.6,0,8,1
1948,9,301.6,0,8,1
1949,7,79.9,0,8,1
1949,8,187.8,0,8,1
1949,9,208.9,0,8,1
1950,7,116.9,0,8,1
1950,8,34.0,0,8,1
1950,9,178.7,0,8,1
1951,7,105.8,0,8,1
1951,8,47.1,0,8,1
1951,9,224.0,0,8,1
1952,7,260.1,0,8,1
1952,8,278.7,0,8,1
1952,9,130.1,0,8,1
1953,7,194.0,0,8,1
1953,8,257.1,0,8,1
1953,9,202.2,0,8,1
1954,7,80.7,0,8,1
1954,8,23.4,0,8,1
1954,9,199.0,0,8,1
1955,7,111.1,0,8,1
1955,8,284.9,0,8,1
1955,9,76.8,0,8,1
1956,7,174.5,0,8,1
1956,8,51.0,0,8,1
1956,9,100.7,0,8,1
1957,7,241.7,0,8,1
1957,8,265.7,0,8,1
1957,9,127.1,0,8,1
1958,7,413.4,0,8,1
1958,8,151.6,0,8,1
1958,9,231.1,0,8,1
1959,7,258.5,0,8,1
1959,8,280.6,0,8,1
1959,9,184.3,0,8,1
1960,7,151.6,0,8,1
1960,8,132.2,0,8,1
1960,9,182.5,0,8,1
1961,7,244.9,0,8,1
1961,8,196.6,0,8,1
1961,9,219.6,0,8,1
1962,7,153.0,0,8,1
1962,8,208.7,0,8,1
1962,9,238.5,0,8,1
1963,7,182.3,0,8,1
1963,8,147.1,0,8,1
1963,9,212.5,0,8,1
1964,7,288.8,0,8,1
1964,8,84.1,0,8,1
1964,9,360.1,0,8,1
1965,7,365.3,0,8,1
1965,8,85.5,0,8,1
1965,9,207.1,0,8,1
1966,7,406.0,0,8,1
1966,8,101.3,0,8,1
1966,9,160.6,0,8,1
1967,7,175.8,0,8,1
1967,8,234.1,0,8,1
1967,9,187.7,0,8,1
1968,7,162.5,0,8,1
1968,8,359.0,0,8,1
1968,9,88.0,0,8,1
1969,7,239.5,0,8,1
1969,8,356.0,0,8,1
1969,9,108.0,0,8,1
1970,7,72.0,0,8,1
1970,8,128.5,0,8,1
1970,9,243.5,0,8,1
1971,7,355.5,0,8,1
