ダウンロードした時刻：2023/09/12 07:56:26

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023,7,1,24.9,8,1,25.6,8,22.6,8,1,21.9,8,21.1,8,1,18.8,8,0,1,8,1,7.4,,8,24.4,8,1,24.1,8,20.9,8,1,20.3,8,18.8,8,1,17.6,8,0.0,8,1,5.4,8
2023,7,2,25.9,8,1,25.7,8,23.1,8,1,22.0,8,20.5,8,1,18.9,8,3.5,0,8,1,7.6,,8,24.6,8,1,24.2,8,21.0,8,1,20.5,8,18.5,8,1,17.8,8,2.0,8,1,5.5,8
2023,7,3,24.8,8,1,25.8,8,22.7,8,1,22.1,8,20.5,8,1,19.1,8,5.5,0,8,1,7.7,,8,25.2,8,1,24.3,8,21.4,8,1,20.6,8,19.3,8,1,17.9,8,0.0,8,1,5.6,8
2023,7,4,25.8,8,1,25.9,8,22.4,8,1,22.2,8,19.6,8,1,19.2,8,0.0,0,8,1,7.9,,8,25.3,8,1,24.4,8,21.2,8,1,20.7,8,18.9,8,1,18.1,8,0.0,8,1,5.7,8
2023,7,5,29.3,8,1,26.0,8,24.2,8,1,22.4,8,18.8,8,1,19.3,8,2.5,0,8,1,8.0,,8,24.8,8,1,24.6,8,22.4,8,1,20.8,8,19.4,8,1,18.2,8,3.5,8,1,5.9,8
2023,7,6,30.3,8,1,26.1,8,25.4,8,1,22.5,8,21.3,8,1,19.5,8,0.5,0,8,1,8.2,,8,26.3,8,1,24.7,8,23.1,8,1,21.0,8,20.0,8,1,18.4,8,5.0,8,1,6.0,8
2023,7,7,30.6,8,1,26.2,8,26.3,8,1,22.6,8,21.5,8,1,19.6,8,0,1,8,1,8.3,,8,26.8,8,1,24.8,8,23.9,8,1,21.1,8,22.0,8,1,18.5,8,0.0,8,1,6.1,8
2023,7,8,25.7,8,1,26.3,8,23.3,8,1,22.7,8,21.2,8,1,19.7,8,22.5,0,8,1,8.4,,8,26.9,8,1,24.9,8,23.0,8,1,21.2,8,21.6,8,1,18.6,8,11.0,8,1,6.3,8
2023,7,9,28.2,8,1,26.4,8,24.6,8,1,22.8,8,21.8,8,1,19.8,8,19.0,0,8,1,8.5,,8,24.3,8,1,25.0,8,22.8,8,1,21.3,8,21.6,8,1,18.8,8,15.0,8,1,6.3,8
2023,7,10,29.2,8,1,26.5,8,24.8,8,1,22.9,8,22.7,8,1,20.0,8,2.0,0,8,1,8.6,,8,24.9,8,1,25.1,8,23.1,8,1,21.4,8,21.4,8,1,18.9,8,0.0,8,1,6.4,8
2023,7,11,28.9,8,1,26.6,8,25.6,8,1,23.0,8,23.9,8,1,20.1,8,4.5,0,8,1,8.6,,8,24.7,8,1,25.2,8,23.7,8,1,21.6,8,22.9,8,1,19.0,8,1.5,8,1,6.4,8
2023,7,12,27.0,8,1,26.7,8,24.6,8,1,23.1,8,23.5,8,1,20.2,8,11.5,0,8,1,8.6,,8,23.9,8,1,25.4,8,22.9,8,1,21.7,8,22.1,8,1,19.2,8,27.5,8,1,6.4,8
2023,7,13,27.7,8,1,26.8,8,24.6,8,1,23.3,8,21.1,8,1,20.3,8,0,1,8,1,8.5,,8,26.9,8,1,25.5,8,22.8,8,1,21.8,8,20.6,8,1,19.3,8,0.5,8,1,6.4,8
2023,7,14,26.3,8,1,27.0,8,23.0,8,1,23.4,8,19.4,8,1,20.4,8,16.5,0,8,1,8.4,,8,25.2,8,1,25.6,8,22.4,8,1,21.9,8,20.3,8,1,19.4,8,16.0,8,1,6.2,8
2023,7,15,27.7,8,1,27.1,8,24.1,8,1,23.5,8,21.5,8,1,20.6,8,62.0,0,8,1,8.1,,8,23.7,8,1,25.8,8,22.6,8,1,22.1,8,21.3,8,1,19.6,8,59.0,8,1,6.1,8
2023,7,16,30.0,8,1,27.3,8,26.2,8,1,23.6,8,24.3,8,1,20.7,8,13.5,0,8,1,7.9,,8,26.1,8,1,26.0,8,23.8,8,1,22.2,8,23.1,8,1,19.7,8,12.0,8,1,5.9,8
2023,7,17,32.1,8,1,27.5,8,27.4,8,1,23.8,8,24.9,8,1,20.8,8,0.0,0,8,1,7.6,,8,26.4,8,1,26.1,8,24.3,8,1,22.4,8,23.4,8,1,19.8,8,0.0,8,1,5.6,8
