ダウンロードした時刻：2023/09/12 07:58:09

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年,月,日,年,月,日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃)
,,,,,,,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,,,,,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023,7,1,2023,7,10,55.5,0,8,1,80.5,0,8,23.9,8,1,22.4,8,27.5,8,1,26.1,8,20.9,8,1,19.4,8,36.5,8,1,58.9,8,22.3,8,1,21.0,8,25.4,8,1,24.6,8,20.2,8,1,18.4,8
2023,7,11,2023,7,20,143.5,0,8,1,82.0,0,8,24.8,8,1,23.5,8,28.0,8,1,27.0,8,22.6,8,1,20.6,8,145.0,8,1,58.8,8,23.1,8,1,22.1,8,25.1,8,1,25.8,8,21.8,8,1,19.6,8
2023,7,21,2023,7,31,0.0,0,8,1,56.3,0,8,27.6,8,1,25.5,8,32.2,8,1,29.6,8,23.3,8,1,22.1,8,0.0,8,1,38.5,8,26.4,8,1,24.0,8,31.0,8,1,27.9,8,23.7,8,1,21.4,8
2023,8,1,2023,8,10,0.0,0,8,1,44.1,0,8,30.0,8,1,26.2,8,35.2,8,1,30.4,8,25.8,8,1,22.7,8,0.0,8,1,31.3,8,28.5,8,1,24.9,8,32.7,8,1,29.0,8,26.1,8,1,22.1,8
2023,8,11,2023,8,20,13.0,0,8,1,70.9,0,8,29.7,8,1,25.7,8,34.2,8,1,29.9,8,26.2,8,1,22.2,8,8.5,8,1,57.8,8,28.2,8,1,24.6,8,31.8,8,1,28.6,8,25.9,8,1,21.7,8
2023,8,21,2023,8,31,0,1,8,1,90.6,0,8,30.6,8,1,24.7,8,36.0,8,1,28.9,8,26.5,8,1,21.1,8,0.0,8,1,73.5,8,29.1,8,1,23.8,8,34.2,8,1,27.8,8,26.4,8,1,20.9,8
2023,9,1,2023,9,10,81.0,0,8,1,55.0,0,8,26.8,8,1,23.8,8,30.6,8,1,28.0,8,23.4,8,1,20.1,8,41.0,8,1,45.9,8,26.0,8,1,22.9,8,29.0,8,1,26.7,8,23.3,8,1,20.0,8
