ダウンロードした時刻：2023/09/12 08:00:16

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年,月,日,年,月,日,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,,,,,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(日),平年値(日),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(日),平年値(日)
,,,,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023,7,1,2023,7,10,27.5,8,1,26.1,8,20.9,8,1,19.4,8,0,8,1,,0,25.4,8,1,24.6,8,20.2,8,1,18.4,8,0,8,1,,0
2023,7,11,2023,7,20,28.0,8,1,27.0,8,22.6,8,1,20.6,8,0,8,1,,0,25.1,8,1,25.8,8,21.8,8,1,19.6,8,0,8,1,,0
2023,7,21,2023,7,31,32.2,8,1,29.6,8,23.3,8,1,22.1,8,0,8,1,,0,31.0,8,1,27.9,8,23.7,8,1,21.4,8,0,8,1,,0
2023,8,1,2023,8,10,35.2,8,1,30.4,8,25.8,8,1,22.7,8,5,8,1,,0,32.7,8,1,29.0,8,26.1,8,1,22.1,8,0,8,1,,0
2023,8,11,2023,8,20,34.2,8,1,29.9,8,26.2,8,1,22.2,8,5,8,1,,0,31.8,8,1,28.6,8,25.9,8,1,21.7,8,0,8,1,,0
2023,8,21,2023,8,31,36.0,8,1,28.9,8,26.5,8,1,21.1,8,8,8,1,,0,34.2,8,1,27.8,8,26.4,8,1,20.9,8,4,8,1,,0
2023,9,1,2023,9,10,30.6,8,1,28.0,8,23.4,8,1,20.1,8,0,8,1,,0,29.0,8,1,26.7,8,23.3,8,1,20.0,8,0,8,1,,0
