ダウンロードした時刻：2023/09/12 08:01:47

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島
年,月,日,年,月,日,日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,,,,,,,平年値(日),平年値(日),,,,平年値(日),平年値(日)
,,,,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
1872,7,1,1872,9,30,,0,1,,1,,0,1,,1
1873,7,1,1873,9,30,,0,1,,1,,0,1,,1
1874,7,1,1874,9,30,,0,1,,1,,0,1,,1
1875,7,1,1875,9,30,,0,1,,1,,0,1,,1
1876,7,1,1876,9,30,,0,1,,1,,0,1,,1
1877,7,1,1877,9,30,,0,1,,1,,0,1,,1
1878,7,1,1878,9,30,,0,1,,1,,0,1,,1
1879,7,1,1879,9,30,,0,1,,1,,0,1,,1
1880,7,1,1880,9,30,,0,1,,1,,0,1,,1
1881,7,1,1881,9,30,,0,1,,1,,0,1,,1
1882,7,1,1882,9,30,,0,1,,1,,0,1,,1
1883,7,1,1883,9,30,,0,1,,1,,0,1,,1
1884,7,1,1884,9,30,,0,1,,1,,0,1,,1
1885,7,1,1885,9,30,,0,1,,1,,0,1,,1
1886,7,1,1886,9,30,,0,1,,1,,0,1,,1
1887,7,1,1887,9,30,,0,1,,1,,0,1,,1
1888,7,1,1888,9,30,,0,1,,1,,0,1,,1
1889,7,1,1889,9,30,,0,1,,1,,0,1,,1
1890,7,1,1890,9,30,,0,1,,1,,0,1,,1
1891,7,1,1891,9,30,,0,1,,1,,0,1,,1
1892,7,1,1892,9,30,,0,1,,1,,0,1,,1
1893,7,1,1893,9,30,,0,1,,1,,0,1,,1
1894,7,1,1894,9,30,,0,1,,1,,0,1,,1
1895,7,1,1895,9,30,,0,1,,1,,0,1,,1
1896,7,1,1896,9,30,,0,1,,1,,0,1,,1
1897,7,1,1897,9,30,,0,1,,1,,0,1,,1
1898,7,1,1898,9,30,,0,1,,1,,0,1,,1
1899,7,1,1899,9,30,,0,1,,1,,0,1,,1
