ダウンロードした時刻：2023/09/12 09:03:16

,,,飛島,飛島,飛島
年,月,日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,
,,,,品質情報,均質番号
1937,7,1,,0,1
1937,7,2,,0,1
1937,7,3,,0,1
1937,7,4,,0,1
1937,7,5,,0,1
1937,7,6,,0,1
1937,7,7,,0,1
1937,7,8,,0,1
1937,7,9,,0,1
1937,7,10,,0,1
1937,7,11,,0,1
1937,7,12,,0,1
1937,7,13,,0,1
1937,7,14,,0,1
1937,7,15,,0,1
1937,7,16,,0,1
1937,7,17,,0,1
1937,7,18,,0,1
1937,7,19,,0,1
1937,7,20,,0,1
1937,7,21,,0,1
1937,7,22,,0,1
1937,7,23,,0,1
1937,7,24,,0,1
1937,7,25,,0,1
1937,7,26,,0,1
1937,7,27,,0,1
1937,7,28,,0,1
1937,7,29,,0,1
1937,7,30,,0,1
1937,7,31,,0,1
1937,8,1,,0,1
1937,8,2,,0,1
1937,8,3,,0,1
1937,8,4,,0,1
1937,8,5,,0,1
1937,8,6,,0,1
1937,8,7,,0,1
1937,8,8,,0,1
1937,8,9,,0,1
1937,8,10,,0,1
1937,8,11,,0,1
1937,8,12,,0,1
1937,8,13,,0,1
1937,8,14,,0,1
1937,8,15,,0,1
1937,8,16,,0,1
1937,8,17,,0,1
1937,8,18,,0,1
1937,8,19,,0,1
1937,8,20,,0,1
1937,8,21,,0,1
1937,8,22,,0,1
1937,8,23,,0,1
1937,8,24,,0,1
1937,8,25,,0,1
1937,8,26,,0,1
1937,8,27,,0,1
1937,8,28,,0,1
1937,8,29,,0,1
1937,8,30,,0,1
1937,8,31,,0,1
1937,9,1,,0,1
1937,9,2,,0,1
1937,9,3,,0,1
1937,9,4,,0,1
1937,9,5,,0,1
1937,9,6,,0,1
1937,9,7,,0,1
1937,9,8,,0,1
1937,9,9,,0,1
1937,9,10,,0,1
1937,9,11,,0,1
1937,9,12,,0,1
1937,9,13,,0,1
1937,9,14,,0,1
1937,9,15,,0,1
1938,7,1,,0,1
1938,7,2,,0,1
1938,7,3,,0,1
1938,7,4,,0,1
1938,7,5,,0,1
1938,7,6,,0,1
1938,7,7,,0,1
1938,7,8,,0,1
1938,7,9,,0,1
1938,7,10,,0,1
1938,7,11,,0,1
1938,7,12,,0,1
1938,7,13,,0,1
1938,7,14,,0,1
1938,7,15,,0,1
1938,7,16,,0,1
1938,7,17,,0,1
1938,7,18,,0,1
1938,7,19,,0,1
1938,7,20,,0,1
1938,7,21,,0,1
1938,7,22,,0,1
1938,7,23,,0,1
1938,7,24,,0,1
1938,7,25,,0,1
1938,7,26,,0,1
1938,7,27,,0,1
1938,7,28,,0,1
1938,7,29,,0,1
1938,7,30,,0,1
1938,7,31,,0,1
1938,8,1,,0,1
1938,8,2,,0,1
1938,8,3,,0,1
1938,8,4,,0,1
1938,8,5,,0,1
1938,8,6,,0,1
1938,8,7,,0,1
1938,8,8,,0,1
1938,8,9,,0,1
1938,8,10,,0,1
1938,8,11,,0,1
1938,8,12,,0,1
1938,8,13,,0,1
1938,8,14,,0,1
1938,8,15,,0,1
1938,8,16,,0,1
1938,8,17,,0,1
1938,8,18,,0,1
1938,8,19,,0,1
1938,8,20,,0,1
1938,8,21,,0,1
1938,8,22,,0,1
1938,8,23,,0,1
1938,8,24,,0,1
1938,8,25,,0,1
1938,8,26,,0,1
1938,8,27,,0,1
1938,8,28,,0,1
1938,8,29,,0,1
1938,8,30,,0,1
1938,8,31,,0,1
1938,9,1,,0,1
1938,9,2,,0,1
1938,9,3,,0,1
1938,9,4,,0,1
1938,9,5,,0,1
1938,9,6,,0,1
1938,9,7,,0,1
1938,9,8,,0,1
1938,9,9,,0,1
1938,9,10,,0,1
1938,9,11,,0,1
1938,9,12,,0,1
1938,9,13,,0,1
1938,9,14,,0,1
1938,9,15,,0,1
1939,7,1,,0,1
1939,7,2,,0,1
1939,7,3,,0,1
1939,7,4,,0,1
1939,7,5,,0,1
1939,7,6,,0,1
1939,7,7,,0,1
1939,7,8,,0,1
1939,7,9,,0,1
1939,7,10,,0,1
1939,7,11,,0,1
1939,7,12,,0,1
1939,7,13,,0,1
1939,7,14,,0,1
1939,7,15,,0,1
1939,7,16,,0,1
1939,7,17,,0,1
1939,7,18,,0,1
1939,7,19,,0,1
1939,7,20,,0,1
1939,7,21,,0,1
1939,7,22,,0,1
1939,7,23,,0,1
1939,7,24,,0,1
1939,7,25,,0,1
1939,7,26,,0,1
1939,7,27,,0,1
1939,7,28,,0,1
1939,7,29,,0,1
1939,7,30,,0,1
1939,7,31,,0,1
1939,8,1,,0,1
1939,8,2,,0,1
1939,8,3,,0,1
1939,8,4,,0,1
1939,8,5,,0,1
1939,8,6,,0,1
1939,8,7,,0,1
1939,8,8,,0,1
1939,8,9,,0,1
1939,8,10,,0,1
1939,8,11,,0,1
1939,8,12,,0,1
1939,8,13,,0,1
1939,8,14,,0,1
1939,8,15,,0,1
1939,8,16,,0,1
1939,8,17,,0,1
1939,8,18,,0,1
1939,8,19,,0,1
1939,8,20,,0,1
1939,8,21,,0,1
1939,8,22,,0,1
1939,8,23,,0,1
1939,8,24,,0,1
1939,8,25,,0,1
1939,8,26,,0,1
1939,8,27,,0,1
1939,8,28,,0,1
1939,8,29,,0,1
1939,8,30,,0,1
1939,8,31,,0,1
1939,9,1,,0,1
