ダウンロードした時刻：2023/10/15 14:31:17

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,,
,,,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1994,7,1,22.9,8,1,33.5,0,8,1,0.6,0,8,1,26.2,8,1,20.7,8,1
1994,7,2,22.4,8,1,9.0,0,8,1,0,1,8,1,23.5,8,1,21.7,8,1
1994,7,3,21.1,8,1,0.0,0,8,1,0.1,0,8,1,23.8,8,1,19.1,8,1
1994,7,4,21.3,8,1,0.0,0,8,1,0.7,0,8,1,23.8,8,1,18.2,8,1
1994,7,5,23.1,8,1,0.0,0,8,1,0.7,0,8,1,27.1,8,1,21.1,8,1
1994,7,6,20.8,8,1,5.0,0,8,1,0,1,8,1,21.4,8,1,20.2,8,1
1994,7,7,21.7,8,1,0.5,0,8,1,2.5,0,8,1,25.5,8,1,18.6,8,1
1994,7,8,21.0,8,1,57.0,0,8,1,0,1,8,1,24.3,8,1,19.6,8,1
1994,7,9,22.2,8,1,0,1,8,1,8.3,0,8,1,26.2,8,1,19.4,8,1
1994,7,10,23.9,8,1,0,1,8,1,1.5,0,8,1,27.1,8,1,20.5,8,1
1994,7,11,23.0,8,1,4.0,0,8,1,0.2,0,8,1,27.1,8,1,20.3,8,1
1994,7,12,21.1,8,1,0,1,8,1,7.2,0,8,1,23.9,8,1,18.3,8,1
1994,7,13,22.9,8,1,0,1,8,1,12.9,0,8,1,27.9,8,1,16.8,8,1
1994,7,14,26.3,8,1,0,1,8,1,13.5,0,8,1,31.4,8,1,19.7,8,1
1994,7,15,26.9,8,1,0,1,8,1,12.5,0,8,1,31.0,8,1,22.4,8,1
1994,7,16,25.5,8,1,0.0,0,8,1,6.9,0,8,1,28.5,8,1,23.8,8,1
1994,7,17,24.8,8,1,0,1,8,1,8.2,0,8,1,27.8,8,1,22.6,8,1
1994,7,18,24.3,8,1,0,1,8,1,8.6,0,8,1,28.8,8,1,20.4,8,1
1994,7,19,25.9,8,1,0,1,8,1,12.9,0,8,1,30.4,8,1,20.3,8,1
1994,7,20,26.8,8,1,0,1,8,1,11.1,0,8,1,30.3,8,1,23.1,8,1
1994,7,21,28.4,8,1,0,1,8,1,13.2,0,8,1,33.1,8,1,23.9,8,1
1994,7,22,28.8,8,1,0,1,8,1,12.5,0,8,1,33.6,8,1,24.4,8,1
1994,7,23,28.6,8,1,0,1,8,1,11.9,0,8,1,34.1,8,1,24.2,8,1
1994,7,24,28.2,8,1,0,1,8,1,12.7,0,8,1,33.3,8,1,24.1,8,1
1994,7,25,28.6,8,1,0,1,8,1,13.0,0,8,1,33.4,8,1,24.2,8,1
1994,7,26,28.2,8,1,0,1,8,1,12.0,0,8,1,33.4,8,1,24.7,8,1
1994,7,27,26.6,8,1,0.0,0,8,1,8.3,0,8,1,30.5,8,1,23.8,8,1
1994,7,28,26.7,8,1,0,1,8,1,12.0,0,8,1,30.7,8,1,22.3,8,1
1994,7,29,28.5,8,1,0,1,8,1,13.2,0,8,1,33.3,8,1,23.7,8,1
1994,7,30,29.2,8,1,0.0,0,8,1,10.8,0,8,1,35.4,8,1,24.7,8,1
