ダウンロードした時刻：2023/10/15 16:21:52

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田
年,月,日,年,月,日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,,,,現象なし情報,品質情報,均質番号
1994,7,1,1994,7,10,105.0,0,8,1
1994,7,11,1994,7,20,4.0,0,8,1
1994,7,21,1994,7,31,0.0,0,8,1
1994,8,1,1994,8,10,0.0,0,8,1
1994,8,11,1994,8,20,9.0,0,8,1
1994,8,21,1994,8,31,21.5,0,8,1
1994,9,1,1994,9,10,80.5,0,8,1
1994,9,11,1994,9,20,60.0,0,8,1
1994,9,21,1994,9,30,137.5,0,8,1
1994,10,1,1994,10,10,19.5,0,8,1
1995,7,1,1995,7,10,85.5,0,8,1
1995,7,11,1995,7,20,89.5,0,8,1
1995,7,21,1995,7,31,6.5,0,8,1
1995,8,1,1995,8,10,167.5,0,8,1
1995,8,11,1995,8,20,20.0,0,8,1
1995,8,21,1995,8,31,87.5,0,8,1
1995,9,1,1995,9,10,93.0,0,8,1
1995,9,11,1995,9,20,71.5,0,8,1
1995,9,21,1995,9,30,23.0,0,8,1
1995,10,1,1995,10,10,63.0,0,8,1
1996,7,1,1996,7,10,63.5,0,8,1
1996,7,11,1996,7,20,61.5,0,8,1
1996,7,21,1996,7,31,41.5,0,8,1
1996,8,1,1996,8,10,10.0,0,8,1
1996,8,11,1996,8,20,59.5,0,8,1
1996,8,21,1996,8,31,35.0,0,8,1
1996,9,1,1996,9,10,113.0,0,8,1
1996,9,11,1996,9,20,14.5,0,8,1
1996,9,21,1996,9,30,24.5,0,8,1
1996,10,1,1996,10,10,49.5,0,8,1
1997,7,1,1997,7,10,120.5,0,8,1
1997,7,11,1997,7,20,140.5,0,8,1
1997,7,21,1997,7,31,0.5,0,8,1
1997,8,1,1997,8,10,33.0,0,8,1
1997,8,11,1997,8,20,26.5,0,8,1
1997,8,21,1997,8,31,77.5,0,8,1
