ダウンロードした時刻：2023/03/14 16:20:43

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2004,12,24,2.5,8,1,5.6,8,1,1.0,8,1
2004,12,25,2.1,8,1,4.2,8,1,0.6,8,1
2004,12,26,3.0,8,1,6.5,8,1,0.3,8,1
2004,12,27,2.4,8,1,4.5,8,1,-0.3,8,1
2004,12,28,1.3,8,1,2.4,8,1,-0.5,8,1
2004,12,29,0.3,8,1,2.2,8,1,-1.0,8,1
2004,12,30,1.0,8,1,2.9,8,1,-1.1,8,1
2004,12,31,0.8,8,1,2.9,8,1,-0.7,8,1
2005,1,1,0.4,8,1,2.1,8,1,-0.8,8,1
2005,1,2,3.0,8,1,6.7,8,1,-0.1,8,1
2005,1,3,6.0,8,1,10.1,8,1,2.1,8,1
2005,1,4,4.9,8,1,9.6,8,1,-0.4,8,1
2005,1,5,0.7,8,1,2.2,8,1,-1.6,8,1
2005,1,6,1.6,8,1,3.7,8,1,-0.4,8,1
2005,1,7,2.5,8,1,6.4,8,1,0.4,8,1
2005,1,8,0.6,8,1,2.3,8,1,-2.0,8,1
2005,1,9,-0.4,8,1,1.5,8,1,-2.0,8,1
2005,1,10,0.3,8,1,2.0,8,1,-1.5,8,1
2005,1,11,0.9,8,1,2.4,8,1,-0.7,8,1
2005,1,12,-0.5,8,1,1.1,8,1,-3.4,8,1
2005,1,13,2.9,8,1,4.0,8,1,-0.1,8,1
2005,1,14,3.2,8,1,6.1,8,1,0.3,8,1
2005,1,15,3.0,8,1,5.2,8,1,-1.0,8,1
2005,1,16,2.7,8,1,5.1,8,1,0.6,8,1
2005,1,17,3.1,8,1,5.8,8,1,0.3,8,1
2005,1,18,4.6,8,1,6.6,8,1,0.4,8,1
2005,1,19,2.7,8,1,6.0,8,1,-0.9,8,1
2005,1,20,4.6,8,1,7.3,8,1,1.6,8,1
2005,1,21,2.7,8,1,5.3,8,1,-0.7,8,1
2005,1,22,-0.2,8,1,1.8,8,1,-2.6,8,1
2005,1,23,1.7,8,1,4.4,8,1,-1.6,8,1
2005,1,24,2.0,8,1,7.6,8,1,-2.0,8,1
2005,1,25,2.5,8,1,5.2,8,1,0.5,8,1
2005,1,26,1.3,8,1,3.4,8,1,-0.5,8,1
2005,1,27,2.4,8,1,4.8,8,1,0.0,8,1
2005,1,28,2.0,8,1,5.0,8,1,-2.1,8,1
2005,1,29,4.0,8,1,11.3,8,1,-2.2,8,1
2005,1,30,-0.6,8,1,3.5,8,1,-3.5,8,1
2005,1,31,-0.7,8,1,1.9,8,1,-2.8,8,1
2005,2,1,-0.4,8,1,1.1,8,1,-2.2,8,1
2005,2,2,0.2,8,1,2.5,8,1,-1.6,8,1
2005,2,3,1.0,8,1,2.6,8,1,-1.4,8,1
2005,2,4,1.3,8,1,2.3,8,1,-0.1,8,1
2005,2,5,0.4,8,1,2.3,8,1,-1.6,8,1
2005,2,6,1.1,8,1,2.3,8,1,-0.6,8,1
2005,2,7,1.4,8,1,3.5,8,1,-2.5,8,1
2005,2,8,0.9,8,1,4.2,8,1,-3.0,8,1
2005,2,9,2.3,8,1,6.3,8,1,0.0,8,1
2005,2,10,1.3,8,1,3.8,8,1,-2.1,8,1
2005,2,11,-1.8,8,1,-0.1,8,1,-3.6,8,1
2005,2,12,-0.5,8,1,1.0,8,1,-3.2,8,1
2005,2,13,0.8,8,1,2.4,8,1,-1.1,8,1
2005,2,14,0.8,8,1,2.4,8,1,-1.4,8,1
2005,2,15,1.4,8,1,5.1,8,1,-1.2,8,1
2005,2,16,0.3,8,1,1.9,8,1,-1.9,8,1
2005,2,17,3.5,8,1,6.5,8,1,1.4,8,1
2005,2,18,2.0,8,1,4.2,8,1,0.4,8,1
2005,2,19,2.9,8,1,4.5,8,1,1.6,8,1
2005,2,20,1.8,8,1,6.3,8,1,-1.6,8,1
2005,2,21,-0.8,8,1,0.2,8,1,-1.6,8,1
2005,2,22,0.1,8,1,1.9,8,1,-2.6,8,1
2005,2,23,1.9,8,1,6.4,8,1,-2.5,8,1
2005,2,24,0.2,8,1,1.9,8,1,-1.6,8,1
2005,2,25,0.5,8,1,4.8,8,1,-2.1,8,1
2005,2,26,-0.7,8,1,1.1,8,1,-2.8,8,1
2005,2,27,-0.3,8,1,1.7,8,1,-3.5,8,1
2005,2,28,1.1,8,1,4.6,8,1,-0.5,8,1
2005,3,1,-0.5,8,1,1.5,8,1,-2.7,8,1
2005,3,2,-0.5,8,1,0.9,8,1,-2.4,8,1
2005,3,3,0.5,8,1,2.6,8,1,-1.3,8,1
2005,3,4,0.1,8,1,1.3,8,1,-1.1,8,1
2005,3,5,0.8,8,1,4.2,8,1,-4.1,8,1
2005,3,6,1.8,8,1,5.2,8,1,-2.7,8,1
2005,3,7,5.7,8,1,9.1,8,1,0.5,8,1
2005,3,8,6.3,8,1,9.6,8,1,3.7,8,1
2005,3,9,2.5,8,1,4.5,8,1,0.6,8,1
2005,3,10,4.9,8,1,10.6,8,1,-0.7,8,1
2005,3,11,8.1,8,1,11.2,8,1,6.2,8,1
2005,3,12,3.3,8,1,6.6,8,1,-0.7,8,1
2005,3,13,0.3,8,1,3.1,8,1,-1.7,8,1
2005,3,14,2.2,8,1,4.8,8,1,-0.9,8,1
2005,3,15,5.1,8,1,8.9,8,1,1.8,8,1
2005,3,16,6.2,8,1,11.3,8,1,2.1,8,1
2005,3,17,6.6,8,1,11.0,8,1,2.3,8,1
2005,3,18,6.6,8,1,8.9,8,1,2.5,8,1
