ダウンロードした時刻：2023/03/25 08:58:05

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023,3,14,5.2,8,1,8.4,8,1,1.3,8,1
2023,3,15,8.7,8,1,17.3,8,1,1.0,8,1
2023,3,16,8.9,8,1,17.5,8,1,6.1,8,1
2023,3,17,5.8,8,1,8.5,8,1,2.9,8,1
2023,3,18,4.9,8,1,8.2,8,1,2.3,8,1
2023,3,19,6.7,8,1,10.4,8,1,0.0,8,1
2023,3,20,7.4,8,1,13.3,8,1,1.5,8,1
2023,3,21,11.5,8,1,19.2,8,1,4.2,8,1
2023,3,22,13.7,8,1,20.4,8,1,5.9,8,1
2023,3,23,16.5,8,1,22.7,8,1,11.1,8,1
2023,3,24,10.5,8,1,14.6,8,1,6.0,8,1
