nendo,st_date
1991,1991-01-16
1992,1992-01-05
1993,1993-01-08
1994,1994-01-03
1995,1995-01-01
1996,1996-01-01
1997,1997-01-01
1998,1998-01-09
1999,1999-01-05
2000,2000-01-06
2001,2001-01-01
2002,2001-12-30
2003,2002-12-24
2004,2004-01-11
2005,2005-01-15
2006,2005-12-31
2007,2007-01-06
2008,2008-01-03
2009,2009-01-03
2010,2010-01-06
2011,2011-01-08
2012,2012-01-04
2013,2013-01-01
2014,2014-01-02
2015,2015-01-01
2016,2016-01-11
2017,2017-01-03
2018,2017-12-29
2019,2019-01-07
2020,2020-01-06
2021,2021-01-05
2022,2022-01-10
2023,2023-01-07
