ダウンロードした時刻：2021/03/15 21:45:20

,,,,酒田,酒田,酒田
年,月,日,時,気温(℃),気温(℃),気温(℃)
,,,,,品質情報,均質番号
2003,10,1,1,16.5,8,1
2003,10,1,2,16.0,8,1
2003,10,1,3,12.2,8,1
2003,10,1,4,11.9,8,1
2003,10,1,5,11.8,8,1
2003,10,1,6,12.4,8,1
2003,10,1,7,12.9,8,1
2003,10,1,8,14.4,8,1
2003,10,1,9,17.0,8,1
2003,10,1,10,19.3,8,1
2003,10,1,11,19.7,8,1
2003,10,1,12,19.4,8,1
2003,10,1,13,19.3,8,1
2003,10,1,14,19.3,8,1
2003,10,1,15,19.3,8,1
2003,10,1,16,18.6,8,1
2003,10,1,17,18.1,8,1
2003,10,1,18,17.1,8,1
2003,10,1,19,16.1,8,1
2003,10,1,20,15.7,8,1
2003,10,1,21,15.4,8,1
2003,10,1,22,15.2,8,1
2003,10,1,23,15.1,8,1
2003,10,1,24,15.4,8,1
2003,10,2,1,14.8,8,1
2003,10,2,2,14.4,8,1
2003,10,2,3,15.4,8,1
2003,10,2,4,16.1,8,1
2003,10,2,5,15.1,8,1
2003,10,2,6,14.7,8,1
2003,10,2,7,14.7,8,1
2003,10,2,8,15.7,8,1
2003,10,2,9,16.4,8,1
2003,10,2,10,20.2,8,1
2003,10,2,11,22.3,8,1
2003,10,2,12,19.3,8,1
2003,10,2,13,19.8,8,1
2003,10,2,14,20.0,8,1
2003,10,2,15,19.4,8,1
2003,10,2,16,19.1,8,1
2003,10,2,17,18.5,8,1
2003,10,2,18,17.9,8,1
2003,10,2,19,17.8,8,1
2003,10,2,20,17.2,8,1
2003,10,2,21,17.2,8,1
2003,10,2,22,16.7,8,1
2003,10,2,23,17.0,8,1
2003,10,2,24,15.4,8,1
2003,10,3,1,16.0,8,1
2003,10,3,2,15.7,8,1
2003,10,3,3,16.8,8,1
2003,10,3,4,16.4,8,1
2003,10,3,5,16.9,8,1
2003,10,3,6,17.1,8,1
2003,10,3,7,17.3,8,1
2003,10,3,8,18.1,8,1
2003,10,3,9,17.9,8,1
2003,10,3,10,16.7,8,1
2003,10,3,11,18.8,8,1
2003,10,3,12,18.2,8,1
2003,10,3,13,18.6,8,1
2003,10,3,14,17.9,8,1
2003,10,3,15,18.0,8,1
2003,10,3,16,17.5,8,1
2003,10,3,17,17.3,8,1
2003,10,3,18,17.0,8,1
2003,10,3,19,16.7,8,1
2003,10,3,20,16.5,8,1
2003,10,3,21,16.1,8,1
2003,10,3,22,15.8,8,1
2003,10,3,23,15.6,8,1
2003,10,3,24,15.6,8,1
2003,10,4,1,15.4,8,1
2003,10,4,2,14.9,8,1
2003,10,4,3,11.6,8,1
2003,10,4,4,10.8,8,1
2003,10,4,5,10.6,8,1
2003,10,4,6,10.3,8,1
2003,10,4,7,10.7,8,1
2003,10,4,8,14.0,8,1
2003,10,4,9,16.5,8,1
2003,10,4,10,15.8,8,1
2003,10,4,11,16.3,8,1
2003,10,4,12,18.4,8,1
2003,10,4,13,18.6,8,1
2003,10,4,14,18.4,8,1
2003,10,4,15,17.3,8,1
2003,10,4,16,16.9,8,1
2003,10,4,17,15.1,8,1
2003,10,4,18,13.8,8,1
2003,10,4,19,14.2,8,1
2003,10,4,20,12.8,8,1
2003,10,4,21,12.3,8,1
2003,10,4,22,13.6,8,1
2003,10,4,23,14.8,8,1
2003,10,4,24,12.5,8,1
2003,10,5,1,11.5,8,1
2003,10,5,2,11.2,8,1
2003,10,5,3,10.9,8,1
2003,10,5,4,10.6,8,1
2003,10,5,5,10.4,8,1
2003,10,5,6,10.0,8,1
2003,10,5,7,11.4,8,1
2003,10,5,8,13.5,8,1
2003,10,5,9,15.8,8,1
2003,10,5,10,18.4,8,1
2003,10,5,11,18.4,8,1
2003,10,5,12,18.1,8,1
2003,10,5,13,18.5,8,1
2003,10,5,14,18.1,8,1
2003,10,5,15,18.2,8,1
2003,10,5,16,17.3,8,1
2003,10,5,17,16.4,8,1
2003,10,5,18,16.1,8,1
2003,10,5,19,15.8,8,1
2003,10,5,20,12.7,8,1
2003,10,5,21,12.4,8,1
2003,10,5,22,11.8,8,1
2003,10,5,23,11.8,8,1
2003,10,5,24,11.3,8,1
2003,10,6,1,11.1,8,1
2003,10,6,2,11.2,8,1
2003,10,6,3,11.1,8,1
2003,10,6,4,11.2,8,1
2003,10,6,5,10.9,8,1
2003,10,6,6,11.0,8,1
2003,10,6,7,11.9,8,1
2003,10,6,8,13.8,8,1
2003,10,6,9,12.6,8,1
2003,10,6,10,13.0,8,1
2003,10,6,11,16.8,8,1
2003,10,6,12,17.4,8,1
2003,10,6,13,17.8,8,1
2003,10,6,14,18.5,8,1
2003,10,6,15,18.0,8,1
2003,10,6,16,17.3,8,1
2003,10,6,17,16.7,8,1
2003,10,6,18,15.7,8,1
2003,10,6,19,14.4,8,1
2003,10,6,20,11.5,8,1
2003,10,6,21,10.8,8,1
2003,10,6,22,9.6,8,1
2003,10,6,23,9.3,8,1
2003,10,6,24,8.2,8,1
2003,10,7,1,8.0,8,1
2003,10,7,2,7.5,8,1
2003,10,7,3,7.1,8,1
2003,10,7,4,7.2,8,1
2003,10,7,5,7.5,8,1
2003,10,7,6,7.3,8,1
2003,10,7,7,8.6,8,1
2003,10,7,8,11.5,8,1
2003,10,7,9,14.9,8,1
2003,10,7,10,16.9,8,1
2003,10,7,11,19.0,8,1
2003,10,7,12,19.7,8,1
2003,10,7,13,20.1,8,1
2003,10,7,14,19.7,8,1
2003,10,7,15,19.4,8,1
2003,10,7,16,18.8,8,1
2003,10,7,17,17.6,8,1
2003,10,7,18,16.1,8,1
2003,10,7,19,13.8,8,1
2003,10,7,20,13.4,8,1
2003,10,7,21,13.3,8,1
2003,10,7,22,11.8,8,1
2003,10,7,23,11.3,8,1
2003,10,7,24,11.0,8,1
2003,10,8,1,11.1,8,1
2003,10,8,2,10.2,8,1
2003,10,8,3,9.9,8,1
2003,10,8,4,9.6,8,1
2003,10,8,5,9.8,8,1
2003,10,8,6,9.7,8,1
2003,10,8,7,11.7,8,1
2003,10,8,8,14.5,8,1
2003,10,8,9,16.9,8,1
2003,10,8,10,18.8,8,1
2003,10,8,11,19.4,8,1
2003,10,8,12,20.0,8,1
2003,10,8,13,20.9,8,1
2003,10,8,14,21.2,8,1
2003,10,8,15,20.8,8,1
2003,10,8,16,19.7,8,1
2003,10,8,17,18.2,8,1
2003,10,8,18,16.3,8,1
2003,10,8,19,15.2,8,1
2003,10,8,20,14.3,8,1
2003,10,8,21,13.7,8,1
2003,10,8,22,13.9,8,1
2003,10,8,23,13.8,8,1
2003,10,8,24,13.1,8,1
2003,10,9,1,12.4,8,1
2003,10,9,2,11.3,8,1
2003,10,9,3,10.2,8,1
2003,10,9,4,10.5,8,1
2003,10,9,5,11.2,8,1
2003,10,9,6,11.5,8,1
2003,10,9,7,13.3,8,1
2003,10,9,8,16.0,8,1
2003,10,9,9,17.5,8,1
2003,10,9,10,18.6,8,1
2003,10,9,11,19.6,8,1
2003,10,9,12,20.3,8,1
2003,10,9,13,20.5,8,1
2003,10,9,14,20.5,8,1
2003,10,9,15,20.0,8,1
2003,10,9,16,18.8,8,1
2003,10,9,17,17.1,8,1
2003,10,9,18,16.0,8,1
2003,10,9,19,15.3,8,1
2003,10,9,20,14.9,8,1
2003,10,9,21,14.4,8,1
2003,10,9,22,13.8,8,1
2003,10,9,23,13.7,8,1
2003,10,9,24,13.6,8,1
2003,10,10,1,13.3,8,1
2003,10,10,2,13.1,8,1
2003,10,10,3,12.6,8,1
2003,10,10,4,12.1,8,1
2003,10,10,5,11.1,8,1
2003,10,10,6,11.1,8,1
2003,10,10,7,12.9,8,1
2003,10,10,8,16.0,8,1
2003,10,10,9,18.1,8,1
2003,10,10,10,19.4,8,1
2003,10,10,11,20.9,8,1
2003,10,10,12,21.5,8,1
2003,10,10,13,22.0,8,1
2003,10,10,14,23.2,8,1
2003,10,10,15,22.7,8,1
2003,10,10,16,21.6,8,1
2003,10,10,17,20.1,8,1
2003,10,10,18,18.5,8,1
2003,10,10,19,17.5,8,1
2003,10,10,20,15.7,8,1
2003,10,10,21,15.2,8,1
2003,10,10,22,14.5,8,1
2003,10,10,23,14.2,8,1
2003,10,10,24,13.8,8,1
2003,10,11,1,13.0,8,1
2003,10,11,2,13.0,8,1
2003,10,11,3,13.0,8,1
2003,10,11,4,12.5,8,1
2003,10,11,5,12.3,8,1
2003,10,11,6,11.5,8,1
2003,10,11,7,13.4,8,1
2003,10,11,8,15.7,8,1
2003,10,11,9,17.9,8,1
2003,10,11,10,20.2,8,1
