ダウンロードした時刻：2024/02/23 16:14:36

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,,,,,,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2024,2,1,9.6,8,1,-2.1,8,1,2.5,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1
2024,2,2,3.2,8,1,-1.0,8,1,1.3,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,3,3.4,8,1,0.6,8,1,2.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,4,6.7,8,1,3.3,8,1,4.6,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1
2024,2,5,4.0,8,1,1.0,8,1,2.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,6,4.9,8,1,-0.1,8,1,2.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,7,5.7,8,1,-0.7,8,1,2.6,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1
2024,2,8,6.4,8,1,1.1,8,1,4.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,9,5.9,8,1,-0.8,8,1,3.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2024,2,10,7.9,8,1,-2.0,8,1,3.0,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,11,5.1,8,1,-1.3,8,1,3.1,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1
2024,2,12,6.8,8,1,-2.9,8,1,2.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,13,11.8,8,1,0.8,8,1,7.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2024,2,14,14.5,8,1,9.5,8,1,12.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,15,14.3,8,1,4.1,8,1,10.4,8,1,24.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,16,4.5,8,1,1.2,8,1,2.4,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1
2024,2,17,8.4,8,1,-0.9,8,1,3.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2024,2,18,17.7,8,1,0.5,8,1,9.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2024,2,19,20.1,8,1,8.0,8,1,13.4,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1
2024,2,20,14.0,8,1,2.3,8,1,6.5,8,1,11.0,0,8,1,0,1,8,1,0,1,8,1
2024,2,21,3.3,8,1,-0.5,8,1,1.1,8,1,12.0,0,8,1,9,0,8,1,9,0,8,1
2024,2,22,2.6,8,1,-0.6,8,1,0.6,8,1,0.5,0,8,1,0,1,8,1,9,0,8,1
