ダウンロードした時刻：2026/01/18 19:35:14

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,,,,平年値(mm),平年値(mm),平年値(mm)
,,,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報
2025,1,1,6.5,0,8,1,6.7,,8
2025,1,2,0.0,0,8,1,6.7,,8
2025,1,3,0.5,0,8,1,6.6,,8
2025,1,4,0.5,0,8,1,6.6,,8
2025,1,5,8.0,0,8,1,6.5,,8
2025,1,6,1.0,0,8,1,6.3,,8
2025,1,7,2.5,0,8,1,6.2,,8
2025,1,8,1.5,0,8,1,6.0,,8
2025,1,9,30.0,0,8,1,5.9,,8
2025,1,10,14.0,0,8,1,5.8,,8
2025,1,11,6.0,0,8,1,5.6,,8
2025,1,12,3.0,0,8,1,5.5,,8
2025,1,13,5.5,0,8,1,5.4,,8
2025,1,14,20.5,0,8,1,5.3,,8
2025,1,15,1.0,0,8,1,5.3,,8
2025,1,16,5.5,0,8,1,5.2,,8
2025,1,17,3.5,0,8,1,5.2,,8
2025,1,18,2.0,0,8,1,5.2,,8
2025,1,19,0,1,8,1,5.2,,8
2025,1,20,2.5,0,8,1,5.2,,8
2025,1,21,0.0,0,8,1,5.2,,8
2025,1,22,7.0,0,8,1,5.2,,8
2025,1,23,5.5,0,8,1,5.2,,8
2025,1,24,1.5,0,8,1,5.2,,8
2025,1,25,9.0,0,8,1,5.2,,8
2025,1,26,0.0,0,8,1,5.1,,8
2025,1,27,0,1,8,1,5.1,,8
2025,1,28,26.0,0,8,1,5.1,,8
2025,1,29,11.0,0,8,1,5.0,,8
2025,1,30,0.0,0,8,1,5.0,,8
2025,1,31,2.0,0,8,1,4.9,,8
2025,2,1,0.0,0,8,1,4.9,,8
2025,2,2,0,1,8,1,4.8,,8
2025,2,3,7.5,0,8,1,4.7,,8
2025,2,4,0.5,0,8,1,4.7,,8
2025,2,5,1.0,0,8,1,4.6,,8
2025,2,6,6.0,0,8,1,4.6,,8
2025,2,7,3.0,0,8,1,4.6,,8
2025,2,8,15.0,0,8,1,4.5,,8
2025,2,9,10.0,0,8,1,4.5,,8
2025,2,10,0.0,0,8,1,4.5,,8
2025,2,11,0.0,0,8,1,4.5,,8
2025,2,12,0.5,0,8,1,4.5,,8
2025,2,13,8.5,0,8,1,4.4,,8
2025,2,14,1.0,0,8,1,4.4,,8
2025,2,15,0,1,8,1,4.4,,8
2025,2,16,3.0,0,8,1,4.3,,8
2025,2,17,15.0,0,8,1,4.3,,8
2025,2,18,0.5,0,8,1,4.2,,8
2025,2,19,6.0,0,8,1,4.2,,8
2025,2,20,3.5,0,8,1,4.1,,8
2025,2,21,2.0,0,8,1,4.0,,8
2025,2,22,1.5,0,8,1,3.9,,8
2025,2,23,1.5,0,8,1,3.8,,8
2025,2,24,3.5,0,8,1,3.7,,8
2025,2,25,0.0,0,8,1,3.6,,8
2025,2,26,9.5,0,8,1,3.5,,8
2025,2,27,0.0,0,8,1,3.4,,8
2025,2,28,0.0,0,8,1,3.4,,8
2025,3,1,0.0,0,8,1,3.3,,8
2025,3,2,0,1,8,1,3.3,,8
2025,3,3,0.0,0,8,1,3.4,,8
2025,3,4,0.0,0,8,1,3.4,,8
2025,3,5,10.0,0,8,1,3.5,,8
2025,3,6,4.5,0,8,1,3.5,,8
2025,3,7,0.0,0,8,1,3.6,,8
2025,3,8,0.0,0,8,1,3.7,,8
2025,3,9,0.0,0,8,1,3.7,,8
2025,3,10,0.5,0,8,1,3.7,,8
2025,3,11,0,1,8,1,3.8,,8
2025,3,12,0.0,0,8,1,3.8,,8
2025,3,13,0.5,0,8,1,3.8,,8
2025,3,14,0.0,0,8,1,3.8,,8
