"","start_y","start_m","st_date","日最大風速15m/s以上日数","日最大風速15m/s以上日数_品質","日最大風速15m/s以上日数_均質","日最大風速15m/s以上日数_平年値","日最大風速15m/s以上日数_平年値_品質","平均風速","平均風速_品質","平均風速_均質","平均風速_平年値","平均風速_平年値_品質","平均気温","平均気温_品質","平均気温_均質","平均気温_平年値","平均気温_平年値_品質","最高気温","最高気温_品質","最高気温_均質","最高気温_平年値","最高気温_平年値_品質","日最高気温","日最高気温_品質","日最高気温_均質","日最高気温_平年値","日最高気温_平年値_品質","日最低気温","日最低気温_品質","日最低気温_均質","日最低気温_平年値","日最低気温_平年値_品質","日平均気温0℃未満日数","日平均気温0℃未満日数_品質","日平均気温0℃未満日数_均質","日平均気温0℃未満日数_平年値","日平均気温0℃未満日数_平年値_品質","日最高気温35℃以上日数","日最高気温35℃以上日数_品質","日最高気温35℃以上日数_均質","日最高気温35℃以上日数_平年値","日最高気温35℃以上日数_平年値_品質","日最高気温0℃未満日数","日最高気温0℃未満日数_品質","日最高気温0℃未満日数_均質","日最高気温0℃未満日数_平年値","日最高気温0℃未満日数_平年値_品質","日最低気温0℃未満日数","日最低気温0℃未満日数_品質","日最低気温0℃未満日数_均質","日最低気温0℃未満日数_平年値","日最低気温0℃未満日数_平年値_品質","降水量","降水量_現象なし","降水量_品質","降水量_均質","降水量_平年値","降水量_平年値_現象なし","降水量_平年値_品質","日照時間","日照時間_現象なし","日照時間_品質","日照時間_均質","日照時間_平年値","日照時間_平年値_現象なし","日照時間_平年値_品質","日平均気温25℃以上日数","日平均気温25℃以上日数_品質","日平均気温25℃以上日数_均質","日平均気温25℃以上日数_平年値","日平均気温25℃以上日数_平年値_品質","日最低気温25℃以上日数","日最低気温25℃以上日数_品質","日最低気温25℃以上日数_均質","日最低気温25℃以上日数_平年値","日最低気温25℃以上日数_平年値_品質","place"
"1","2024","1","2024/1","0","8","1","1.0","8","5.2","8","1","5.6","8","4.1","8","1","1.9","8","11.5","8","1",NA,"0","6.9","8","1","4.5","8","1.3","8","1","-0.6","8","0","8","1","5.9","8","0","8","1","0.0","8","0","8","1","1.2","8","8","8","1","18.0","8","243.5","0","8","1","177.7","0","8","54.0","0","8","1","36.8","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"2","2024","2","2024/2","0","8","1","1.1","8","4.4","8","1","5.3","8","4.3","8","1","2.2","8","20.1","8","1",NA,"0","7.6","8","1","5.2","8","0.9","8","1","-0.8","8","0","8","1","4.7","8","0","8","1","0.0","8","0","8","1","0.8","8","13","8","1","17.7","8","95.5","0","8","1","118.4","0","8","72.9","0","8","1","60.1","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"3","2024","3","2024/3","0","8","1","0.6","8","4.8","8","1","4.8","8","5.1","8","1","5.1","8","15.6","8","1",NA,"0","8.5","8","1","8.9","8","1.5","8","1","1.4","8","0","8","1","0.7","8","0","8","1","0.0","8","0","8","1","0.0","8","8","8","1","8.9","8","136.5","0","8","1","111.1","0","8","109.5","0","8","1","115.1","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"4","2024","4","2024/4","0","8","1","0.4","8","3.4","8","1","4.3","8","13.1","8","1","10.2","8","29.9","8","1",NA,"0","18.0","8","1","14.8","8","8.1","8","1","5.8","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.5","8","63.0","0","8","1","103.6","0","8","226.3","0","8","1","169.0","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"5","2024","5","2024/5","2","8","1","0.1","8","3.4","8","1","3.8","8","16.3","8","1","15.7","8","28.0","8","1",NA,"0","21.2","8","1","20.3","8","11.4","8","1","11.6","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","125.0","0","8","1","122.6","0","8","214.7","0","8","1","194.7","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"6","2024","6","2024/6","0","8","1","0.1","8","3.1","8","1","3.4","8","21.8","8","1","20.0","8","32.5","8","1",NA,"0","25.8","8","1","24.1","8","18.0","8","1","16.5","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","195.5","0","8","1","125.3","0","8","212.5","0","8","1","181.9","0","8","1","8","1","0.5","8","0","8","1","0.0","8","酒田"
"7","2024","7","2024/7","1","8","1","0.0","8","3.9","8","1","3.2","8","25.2","8","1","23.8","8","33.9","8","1",NA,"0","28.4","8","1","27.6","8","22.6","8","1","20.7","8","0","8","1","0.0","8","0","8","1","0.5","8","0","8","1","0.0","8","0","8","1","0.0","8","561.5","0","8","1","218.7","0","8","92.6","0","8","1","159.5","0","8","19","8","1","9.7","8","5","8","1","0.8","8","酒田"
"8","2024","8","2024/8","0","8","1","0.1","8","2.8","8","1","3.4","8","27.3","8","1","25.5","8","35.9","8","1",NA,"0","31.1","8","1","29.7","8","24.2","8","1","22.0","8","0","8","1","0.0","8","2","8","1","1.3","8","0","8","1","0.0","8","0","8","1","0.0","8","73.0","0","8","1","205.6","0","8","210.0","0","8","1","199.5","0","8","31","8","1","18.5","8","9","8","1","2.9","8","酒田"
"9","2024","9","2024/9","0","8","1","0.5","8","3.1","8","1","3.6","8","23.6","8","1","21.6","8","34.0","8","1",NA,"0","27.9","8","1","25.8","8","20.1","8","1","17.8","8","0","8","1","0.0","8","0","8","1","0.2","8","0","8","1","0.0","8","0","8","1","0.0","8","343.5","0","8","1","176.2","0","8","169.6","0","8","1","156.8","0","8","9","8","1","3.9","8","1","8","1","0.5","8","酒田"
"10","2024","10","2024/10","0","8","1","0.3","8","3.4","8","1","4.0","8","17.6","8","1","15.6","8","27.7","8","1",NA,"0","22.2","8","1","19.8","8","13.1","8","1","11.6","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","113.5","0","8","1","188.6","0","8","149.0","0","8","1","136.1","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"11","2024","11","2024/11","0","8","1","0.7","8","4.2","8","1","4.6","8","10.4","8","1","9.7","8","22.6","8","1",NA,"0","14.3","8","1","13.6","8","5.9","8","1","5.9","8","0","8","1","0.1","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.7","8","232.0","0","8","1","222.0","0","8","93.8","0","8","1","84.3","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"12","2024","12","2024/12","1","8","1","1.6","8","5.8","8","1","5.4","8","4.3","8","1","4.5","8","13.7","8","1",NA,"0","7.0","8","1","7.6","8","1.5","8","1","1.6","8","0","8","1","1.0","8","0","8","1","0.0","8","0","8","1","0.1","8","6","8","1","7.1","8","221.5","0","5","1","217.0","0","8","31.5","0","8","1","41.7","0","8","0","8","1","0.0","8","0","8","1","0.0","8","酒田"
"13","2024","1","2024/1","0","8","1","0.0","8","1.9","8","1","1.6","8","2.3","8","1","-0.1","8","12.2","8","1",NA,"0","6.0","8","1","3.3","8","-1.3","8","1","-3.1","8","5","8","1","15.4","8","0","8","1","0.0","8","0","8","1","3.7","8","22","8","1","27.8","8","103.5","0","8","1","87.8","0","8","105.6","0","8","1","79.6","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"14","2024","2","2024/2","0","8","1","0.0","8","1.8","8","1","1.7","8","3.0","8","1","0.4","8","18.9","8","1",NA,"0","7.8","8","1","4.4","8","-1.1","8","1","-3.1","8","5","8","1","12.9","8","0","8","1","0.0","8","0","8","1","2.1","8","22","8","1","25.4","8","63.0","0","8","1","63.0","0","8","99.0","0","8","1","99.6","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"15","2024","3","2024/3","0","8","1","0.0","8","2.0","8","1","1.9","8","4.0","8","1","4.0","8","18.8","8","1",NA,"0","8.8","8","1","9.1","8","0.0","8","1","-0.3","8","1","8","1","2.4","8","0","8","1","0.0","8","0","8","1","0.0","8","20","8","1","17.8","8","110.0","0","8","1","72.1","0","8","121.1","0","8","1","140.4","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"16","2024","4","2024/4","0","8","1","0.0","8","2.0","8","1","2.1","8","14.2","8","1","10.2","8","28.9","8","1",NA,"0","21.3","8","1","16.4","8","8.0","8","1","4.7","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","1.9","8","63.5","0","8","1","63.9","0","8","220.5","0","8","1","175.9","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"17","2024","5","2024/5","0","8","1","0.0","8","1.9","8","1","2.0","8","17.2","8","1","16.2","8","31.4","8","1",NA,"0","24.1","8","1","22.6","8","10.6","8","1","10.7","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","82.0","0","8","1","74.5","0","8","209.9","0","8","1","196.5","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"18","2024","6","2024/6","0","8","1","0.0","8","1.8","8","1","1.8","8","22.1","8","1","20.3","8","33.6","8","1",NA,"0","28.0","8","1","25.9","8","16.9","8","1","15.7","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","36.5","0","8","1","104.8","0","8","192.5","0","8","1","165.0","0","8","5","8","1","1.0","8","0","8","1","0.0","8","山形"
"19","2024","7","2024/7","0","8","1","0.0","8","2.1","8","1","1.7","8","26.0","8","1","23.9","8","34.9","8","1",NA,"0","30.6","8","1","29.1","8","22.3","8","1","20.0","8","0","8","1","0.0","8","0","8","1","1.8","8","0","8","1","0.0","8","0","8","1","0.0","8","279.0","0","8","1","187.2","0","8","97.2","0","8","1","144.5","0","8","19","8","1","11.3","8","4","8","1","0.2","8","山形"
"20","2024","8","2024/8","0","8","1","0.0","8","1.6","8","1","1.7","8","27.5","8","1","25.0","8","37.0","8","1",NA,"0","33.0","8","1","30.5","8","23.9","8","1","20.9","8","0","8","1","0.0","8","3","8","1","3.7","8","0","8","1","0.0","8","0","8","1","0.0","8","84.0","0","8","1","153.0","0","8","159.7","0","8","1","171.8","0","8","31","8","1","16.2","8","5","8","1","0.7","8","山形"
"21","2024","9","2024/9","0","8","1","0.0","8","1.6","8","1","1.6","8","23.0","8","1","20.6","8","34.3","8","1",NA,"0","28.0","8","1","25.8","8","19.4","8","1","16.6","8","0","8","1","0.0","8","0","8","1","0.2","8","0","8","1","0.0","8","0","8","1","0.0","8","233.0","0","8","1","123.8","0","8","108.7","0","8","1","136.6","0","8","9","8","1","3.3","8","0","8","1","0.0","8","山形"
"22","2024","10","2024/10","0","8","1","0.0","8","1.5","8","1","1.5","8","16.6","8","1","14.1","8","30.8","8","1",NA,"0","22.0","8","1","19.5","8","12.3","8","1","9.8","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","0","8","1","0.0","8","77.0","0","8","1","105.1","0","8","128.4","0","8","1","132.1","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"23","2024","11","2024/11","0","8","1","0.0","8","1.6","8","1","1.6","8","8.8","8","1","7.7","8","22.6","8","1",NA,"0","13.8","8","1","12.6","8","4.5","8","1","3.6","8","0","8","1","0.1","8","0","8","1","0.0","8","0","8","1","0.0","8","2","8","1","3.3","8","80.5","0","8","1","74.4","0","8","116.0","0","8","1","102.2","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"24","2024","12","2024/12","0","8","1","0.0","8","1.8","8","1","1.6","8","2.2","8","1","2.4","8","13.8","8","1",NA,"0","5.7","8","1","6.1","8","-0.5","8","1","-0.7","8","6","8","1","5.6","8","0","8","1","0.0","8","0","8","1","1.0","8","19","8","1","19.4","8","102.5","0","8","1","97.2","0","8","67.0","0","8","1","73.8","0","8","0","8","1","0.0","8","0","8","1","0.0","8","山形"
"25","2024","1","2024/1","5","8","1","1.3","8","5.8","8","1","5.0","8","4.5","8","1","2.5","8","11.8","8","1",NA,"0","7.1","8","1","5.1","8","1.8","8","1","-0.2","8","0","8","1","3.6","8","0","8","1","0.0","8","0","8","1","0.6","8","5","8","1","16.2","8","168.0",NA,"8","1","126.8",NA,"8","45.3",NA,"8","1","33.2",NA,"8","0","8","1","0.0","8","0","8","1","0.0","8","にかほ"
"26","2024","2","2024/2","0","8","1","1.4","8","4.5","8","1","4.6","8","4.0","8","1","2.6","8","19.4","8","1",NA,"0","6.9","8","1","5.4","8","1.0","8","1","-0.3","8","0","8","1","3.8","8","0","8","1","0.0","8","0","8","1","0.6","8","14","8","1","16.6","8","105.5",NA,"8","1","87.6",NA,"8","69.5",NA,"8","1","56.4",NA,"8","0","8","1","0.0","8","0","8","1","0.0","8","にかほ"
"27","2024","3","2024/3","3","8","1","0.8","8","4.9","8","1","4.0","8","5.1","8","1","5.2","8","17.8","8","1",NA,"0","8.4","8","1","8.4","8","1.6","8","1","1.7","8","0","8","1","0.6","8","0","8","1","0.0","8","0","8","1","0.0","8","7","8","1","8.7","8","94.0",NA,"8","1","90.3",NA,"8","104.4",NA,"8","1","115.3",NA,"8","0","8","1","0.0","8","0","8","1","0.0","8","にかほ"
