ダウンロードした時刻：2025/08/05 08:04:38

,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最高気温(℃),最高気温(℃),最高気温(℃),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日),日最大風速10m/s以上日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2024,7,33.9,8,1,19,8,1,561.5,0,8,1,92.6,0,8,1,3.9,8,1,6,8,1,34.9,8,1,19,8,1,279.0,0,8,1,97.2,0,8,1,2.1,8,1,0,8,1,31.8,8,1,15,8,1,399.0,8,1,109.3,8,1,4.7,8,1,12,8,1,34.7,8,1,6,8,1,144.0,0,8,1,190.9,0,8,1,3.4,8,1,5,8,1,30.6,8,1,10,8,1,313.5,8,1,151.5,8,1,5.5,8,1,18,8,1
2024,8,35.9,8,1,31,8,1,73.0,0,8,1,210.0,0,8,1,2.8,8,1,0,8,1,37.0,8,1,31,8,1,84.0,0,8,1,159.7,0,8,1,1.6,8,1,0,8,1,33.9,8,1,30,8,1,39.0,8,1,214.3,8,1,2.2,8,1,1,8,1,34.1,8,1,14,8,1,102.5,0,8,1,133.7,0,8,1,3.1,8,1,0,8,1,32.9,5,1,27,5,1,12.0,5,1,221.6,8,1,2.3,5,1,4,5,1
2024,9,34.0,8,1,9,8,1,343.5,0,8,1,169.6,0,8,1,3.1,8,1,0,8,1,34.3,8,1,9,8,1,233.0,0,8,1,108.7,0,8,1,1.6,8,1,0,8,1,31.2,8,1,8,8,1,237.5,8,1,173.5,8,1,2.3,8,1,1,8,1,31.5,8,1,0,8,1,74.5,0,8,1,212.3,0,8,1,3.1,8,1,4,8,1,31.8,8,1,6,8,1,196.0,8,1,192.2,8,1,2.3,8,1,3,8,1
2024,10,27.7,8,1,0,8,1,113.5,0,8,1,149.0,0,8,1,3.4,8,1,2,8,1,30.8,8,1,0,8,1,77.0,0,8,1,128.4,0,8,1,1.5,8,1,0,8,1,27.4,8,1,0,8,1,118.5,8,1,151.4,8,1,2.8,8,1,4,8,1,26.3,8,1,0,8,1,160.0,0,8,1,178.4,0,8,1,3.2,8,1,8,8,1,26.1,8,1,0,8,1,103.0,8,1,159.7,8,1,2.8,8,1,8,8,1
2024,11,22.6,8,1,0,8,1,232.0,0,8,1,93.8,0,8,1,4.2,8,1,11,8,1,22.6,8,1,0,8,1,80.5,0,8,1,116.0,0,8,1,1.6,8,1,0,8,1,21.5,8,1,0,8,1,164.0,8,1,86.6,5,1,4.1,8,1,12,8,1,15.7,8,1,0,8,1,134.0,0,8,1,98.7,0,8,1,3.3,8,1,8,8,1,19.3,8,1,0,8,1,126.0,8,1,104.2,5,1,5.3,8,1,14,8,1
2024,12,13.7,8,1,0,8,1,221.5,0,5,1,31.5,0,8,1,5.8,8,1,17,8,1,13.8,8,1,0,8,1,102.5,0,8,1,67.0,0,8,1,1.8,8,1,0,8,1,14.3,8,1,0,8,1,199.5,8,1,31.1,8,1,6.6,8,1,29,8,1,8.3,8,1,0,8,1,54.5,0,8,1,91.3,0,5,1,3.1,8,1,2,8,1,14.9,8,1,0,8,1,167.0,8,1,59.6,8,1,9.1,8,1,31,8,1
2025,1,10.4,8,1,0,8,1,176.0,0,8,1,57.3,0,8,1,4.7,8,1,11,8,1,7.7,8,1,0,8,1,93.5,0,8,1,73.9,0,8,1,1.5,8,1,0,8,1,12.3,8,1,0,8,1,155.0,8,1,53.5,8,1,5.3,8,1,20,8,1,5.4,8,1,0,8,1,68.5,0,8,1,122.0,0,8,1,2.7,8,1,3,8,1,10.1,8,1,0,8,1,89.5,8,1,85.1,8,1,7.3,8,1,23,8,1
