ダウンロードした時刻：2025/08/07 18:17:27

,,,酒田,酒田,酒田,山形,山形,山形,飛島,飛島,飛島
年,月,日,最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1978,12,1,2.3,8,1,0.8,8,1,8.2,8,1
1978,12,2,2.9,8,1,-0.3,8,1,7.0,8,1
1978,12,3,4.4,8,1,1.4,8,1,4.8,8,1
1978,12,4,1.3,8,1,-0.8,8,1,5.2,8,1
1978,12,5,0.2,8,1,-1.1,8,1,0.0,8,1
1978,12,6,0.6,8,1,-2.2,8,1,1.5,8,1
1978,12,7,0.7,8,1,-1.3,8,1,4.6,8,1
1978,12,8,2.9,8,1,4.8,8,1,9.5,8,1
1978,12,9,1.6,8,1,1.5,8,1,10.6,8,1
1978,12,10,4.7,8,1,4.8,8,1,4.9,8,1
1978,12,11,2.0,8,1,-0.4,8,1,2.6,8,1
1978,12,12,1.8,8,1,-0.9,8,1,5.3,8,1
1978,12,13,2.7,8,1,-2.0,8,1,11.1,8,1
1978,12,14,0.9,8,1,-1.4,8,1,10.5,8,1
1978,12,15,3.4,8,1,1.1,8,1,5.8,8,1
1978,12,16,1.0,8,1,-2.2,8,1,6.0,8,1
1978,12,17,2.1,8,1,1.9,8,1,1.7,8,1
1978,12,18,0.0,8,1,-0.9,8,1,0.2,8,1
1978,12,19,-0.4,8,1,-2.0,8,1,0.6,8,1
1978,12,20,-3.4,8,1,-4.5,8,1,-1.4,8,1
1978,12,21,-0.2,8,1,-5.0,8,1,0.7,8,1
1978,12,22,-0.4,8,1,-1.6,8,1,4.7,8,1
1978,12,23,-0.6,8,1,-2.0,8,1,6.2,8,1
1978,12,24,0.5,8,1,-0.2,8,1,4.3,8,1
1978,12,25,0.4,8,1,0.5,8,1,5.0,8,1
1978,12,26,0.1,8,1,-2.3,8,1,7.3,8,1
1978,12,27,1.3,8,1,-1.1,8,1,8.5,8,1
1978,12,28,3.5,8,1,-0.6,8,1,2.2,8,1
1978,12,29,-2.0,8,1,-2.7,8,1,-1.9,8,1
1978,12,30,-3.2,8,1,-5.3,8,1,-2.9,8,1
1978,12,31,-0.4,8,1,-5.1,8,1,0.6,8,1
1979,1,1,2.9,8,1,-1.2,8,1,2.3,8,1
1979,1,2,3.3,8,1,-1.4,8,1,3.7,8,1
1979,1,3,1.6,8,1,-0.9,8,1,4.5,8,1
1979,1,4,2.9,8,1,-1.1,8,1,5.5,8,1
1979,1,5,3.2,8,1,1.7,8,1,3.2,8,1
1979,1,6,-0.7,8,1,-2.8,8,1,2.0,8,1
1979,1,7,0.3,8,1,-3.7,8,1,5.4,8,1
1979,1,8,2.5,8,1,-1.1,8,1,6.3,8,1
1979,1,9,0.2,8,1,2.0,8,1,3.1,8,1
1979,1,10,0.6,8,1,-0.1,8,1,-0.1,8,1
1979,1,11,-2.8,8,1,-3.5,8,1,-4.0,8,1
