ダウンロードした時刻：2025/08/04 21:50:48

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1979,6,29.0,8,1,0,8,1,32.7,8,1,0,8,1,26.7,5,1,0,5,1,27.7,8,1,0,8,1,24.6,8,1,0,8,1
1979,7,30.0,8,1,0,8,1,32.4,8,1,0,8,1,28.5,8,1,0,8,1,30.6,8,1,0,8,1,26.8,5,1,0,5,1
1979,8,32.9,8,1,0,8,1,36.8,8,1,1,8,1,35.0,8,1,1,8,1,32.0,8,1,0,8,1,30.7,5,1,0,5,1
1979,9,30.1,8,1,0,8,1,31.9,8,1,0,8,1,29.4,8,1,0,8,1,26.0,8,1,0,8,1,26.7,8,1,0,8,1
1980,6,30.7,8,1,0,8,1,32.9,8,1,0,8,1,29.9,5,1,0,5,1,31.0,8,1,0,8,1,27.7,5,1,0,5,1
1980,7,30.0,8,1,0,8,1,33.6,8,1,0,8,1,28.5,5,1,0,5,1,28.8,8,1,0,8,1,26.1,5,1,0,5,1
1980,8,31.1,8,1,0,8,1,30.7,8,1,0,8,1,29.2,8,1,0,8,1,29.2,8,1,0,8,1,27.6,8,1,0,8,1
1980,9,32.5,8,1,0,8,1,32.8,8,1,0,8,1,37.0,8,1,1,8,1,25.9,8,1,0,8,1,29.6,8,1,0,8,1
1981,6,26.6,8,1,0,8,1,28.2,8,1,0,8,1,24.8,8,1,0,8,1,27.7,8,1,0,8,1,23.0,5,1,0,5,1
1981,7,35.1,8,1,2,8,1,35.3,8,1,1,8,1,33.4,5,1,0,5,1,32.6,8,1,0,8,1,32.7,5,1,0,5,1
1981,8,32.1,8,1,0,8,1,35.4,8,1,2,8,1,31.7,5,1,0,5,1,34.0,8,1,0,8,1,30.8,8,1,0,8,1
1981,9,27.2,8,1,0,8,1,30.8,8,1,0,8,1,29.8,8,1,0,8,1,24.5,8,1,0,8,1,24.6,8,1,0,8,1
1982,6,28.5,8,1,0,8,1,29.7,8,1,0,8,1,25.3,5,1,0,5,1,27.4,8,1,0,8,1,24.4,5,1,0,5,1
1982,7,33.1,8,1,0,8,1,33.0,8,1,0,8,1,30.1,8,1,0,8,1,31.9,8,1,0,8,1,30.0,8,1,0,8,1
