ダウンロードした時刻：2025/08/04 21:52:17

,,,酒田,酒田,酒田,山形,山形,山形,にかほ,にかほ,にかほ,札幌,札幌,札幌,飛島,飛島,飛島
年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2025,6,1,17.3,8,1,20.0,8,1,17.8,8,1,22.8,8,1,17.3,8,1
2025,6,2,20.4,8,1,24.1,8,1,18.2,8,1,18.0,8,1,19.9,8,1
2025,6,3,24.5,8,1,22.5,8,1,20.2,8,1,20.7,8,1,19.0,8,1
2025,6,4,20.9,8,1,25.0,5,1,18.0,8,1,21.2,8,1,19.9,8,1
2025,6,5,21.5,8,1,24.6,8,1,18.8,8,1,19.2,8,1,20.2,8,1
2025,6,6,28.3,8,1,30.3,8,1,24.8,8,1,24.2,8,1,22.3,8,1
2025,6,7,28.5,8,1,30.9,8,1,25.3,8,1,24.9,8,1,22.7,8,1
2025,6,8,23.0,8,1,28.7,8,1,21.4,8,1,23.3,8,1,23.4,8,1
2025,6,9,26.4,8,1,31.0,8,1,25.1,8,1,29.4,8,1,24.8,8,1
2025,6,10,30.9,8,1,28.5,8,1,27.8,8,1,28.4,8,1,27.2,8,1
2025,6,11,25.2,8,1,24.7,8,1,22.3,8,1,25.7,8,1,20.4,8,1
2025,6,12,20.9,8,1,25.6,8,1,19.3,8,1,18.3,8,1,20.8,8,1
2025,6,13,23.9,8,1,28.4,8,1,22.5,8,1,25.4,8,1,22.4,8,1
2025,6,14,22.2,8,1,21.0,8,1,22.5,8,1,27.2,8,1,20.0,8,1
2025,6,15,22.7,8,1,31.3,8,1,21.9,8,1,24.0,8,1,21.5,8,1
2025,6,16,28.3,8,1,32.5,8,1,26.2,8,1,24.3,8,1,24.4,8,1
2025,6,17,27.4,8,1,33.4,8,1,24.9,8,1,28.1,8,1,23.5,8,1
2025,6,18,28.2,5,1,34.2,8,1,25.2,8,1,29.0,8,1,26.2,8,1
2025,6,19,28.3,8,1,33.7,8,1,26.4,8,1,30.3,8,1,27.4,8,1
2025,6,20,30.1,8,1,34.5,8,1,28.1,8,1,30.9,8,1,27.2,8,1
2025,6,21,32.6,8,1,33.1,8,1,29.6,8,1,25.2,8,1,28.3,8,1
2025,6,22,29.5,8,1,35.4,8,1,30.1,8,1,23.3,8,1,25.7,8,1
2025,6,23,22.6,8,1,28.7,8,1,22.1,8,1,28.2,8,1,20.2,8,1
2025,6,24,28.7,8,1,27.2,8,1,26.1,8,1,30.2,8,1,25.6,8,1
2025,6,25,31.6,8,1,33.1,8,1,29.3,8,1,33.1,8,1,28.3,8,1
2025,6,26,29.5,8,1,29.0,8,1,26.6,8,1,30.2,8,1,26.2,8,1
2025,6,27,24.3,8,1,28.5,8,1,23.0,8,1,22.8,8,1,24.3,8,1
2025,6,28,25.3,8,1,30.1,8,1,24.2,8,1,27.6,8,1,26.1,8,1
2025,6,29,27.1,8,1,31.4,8,1,25.4,8,1,30.2,8,1,26.5,8,1
2025,6,30,29.7,8,1,34.6,8,1,27.2,8,1,28.8,8,1,27.0,8,1
2025,7,1,29.1,8,1,28.5,8,1,26.6,8,1,32.3,8,1,26.9,8,1
2025,7,2,30.4,8,1,33.3,8,1,28.0,8,1,28.8,8,1,27.8,8,1
2025,7,3,32.0,8,1,34.0,8,1,28.8,8,1,30.0,8,1,28.8,8,1
2025,7,4,31.1,8,1,33.7,8,1,28.9,8,1,29.5,8,1,26.8,8,1
2025,7,5,29.6,8,1,33.0,8,1,26.6,8,1,33.0,8,1,26.8,8,1
2025,7,6,30.0,8,1,33.4,8,1,27.0,8,1,32.2,8,1,26.4,8,1
2025,7,7,29.1,8,1,34.7,8,1,27.9,8,1,32.4,8,1,28.1,8,1
2025,7,8,30.9,8,1,34.4,8,1,28.4,8,1,29.2,8,1,28.8,8,1
2025,7,9,30.4,8,1,34.2,8,1,28.1,8,1,30.3,8,1,28.0,8,1
2025,7,10,29.5,8,1,32.2,8,1,28.6,8,1,27.5,8,1,28.0,8,1
2025,7,11,29.7,8,1,25.0,8,1,28.9,8,1,25.3,8,1,27.7,8,1
2025,7,12,29.7,8,1,28.7,8,1,26.9,8,1,25.6,8,1,27.1,8,1
2025,7,13,29.1,8,1,34.1,8,1,27.3,8,1,26.5,8,1,27.6,8,1
2025,7,14,33.9,8,1,30.5,8,1,33.8,8,1,28.5,8,1,29.1,8,1
2025,7,15,32.6,8,1,31.9,8,1,35.8,8,1,30.2,8,1,28.4,8,1
2025,7,16,37.0,8,1,36.4,8,1,33.6,8,1,30.6,8,1,32.4,8,1
2025,7,17,35.8,8,1,34.5,8,1,32.6,8,1,33.9,8,1,30.1,8,1
