ダウンロードした時刻：2025/08/04 21:50:04

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1978,11,-0.6,8,1,0,8,1,-0.9,8,1,0,8,1,2.5,5,1,0,8,1,-3.0,8,1,0,8,1,6.1,4,1,0,4,1
1978,12,-3.4,8,1,0,8,1,-5.3,8,1,1,8,1,-2.4,5,1,0,8,1,-13.1,8,1,9,8,1,-2.9,8,1,0,8,1
1979,1,-6.0,8,1,2,8,1,-7.2,8,1,4,8,1,-3.9,8,1,2,8,1,-14.0,8,1,21,8,1,-4.7,8,1,4,8,1
1979,2,-2.9,8,1,0,8,1,-5.0,8,1,0,8,1,-3.5,8,1,0,8,1,-9.6,8,1,12,8,1,-3.0,8,1,0,8,1
1979,3,-4.1,8,1,0,8,1,-4.2,8,1,0,8,1,-3.2,5,1,0,8,1,-9.7,8,1,6,8,1,-0.5,5,1,0,8,1
1979,11,0.6,8,1,0,8,1,-1.2,8,1,0,8,1,2.2,5,1,0,8,1,-5.4,8,1,2,8,1,1.5,5,1,0,8,1
1979,12,-2.2,8,1,0,8,1,-4.1,8,1,0,8,1,-1.3,5,1,0,8,1,-11.0,8,1,5,8,1,-0.5,5,1,0,8,1
