ダウンロードした時刻：2025/07/26 11:25:43

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2025,6,1,14.7,8,1,17.3,8,1,13.1,8,1,1.0,0,8,1
2025,6,2,16.4,8,1,20.4,8,1,12.2,8,1,0,1,8,1
2025,6,3,19.8,8,1,24.5,8,1,15.0,8,1,0.5,0,8,1
2025,6,4,18.0,8,1,20.9,8,1,16.4,8,1,9.5,0,8,1
2025,6,5,18.3,8,1,21.5,8,1,14.8,8,1,0,1,8,1
2025,6,6,20.3,8,1,28.3,8,1,12.9,8,1,0,1,8,1
2025,6,7,21.7,8,1,28.5,8,1,16.8,8,1,0,1,8,1
2025,6,8,19.8,8,1,23.0,8,1,16.5,8,1,0,1,8,1
2025,6,9,22.5,8,1,26.4,8,1,15.6,8,1,0,1,8,1
2025,6,10,24.0,8,1,30.9,8,1,19.5,8,1,0.0,0,8,1
2025,6,11,21.5,8,1,25.2,8,1,18.6,8,1,1.5,0,8,1
2025,6,12,19.0,8,1,20.9,8,1,17.6,8,1,0,1,8,1
2025,6,13,20.3,8,1,23.9,8,1,14.6,8,1,0,1,8,1
2025,6,14,20.5,8,1,22.2,8,1,19.2,8,1,11.0,0,8,1
2025,6,15,20.6,8,1,22.7,8,1,19.6,8,1,6.5,0,8,1
2025,6,16,23.1,8,1,28.3,8,1,19.4,8,1,5.5,0,8,1
2025,6,17,23.6,8,1,27.4,8,1,20.9,8,1,0.5,0,8,1
2025,6,18,24.3,8,1,28.2,5,1,19.5,5,1,0,1,5,1
2025,6,19,24.6,8,1,28.3,8,1,20.9,8,1,0,1,8,1
2025,6,20,25.6,8,1,30.1,8,1,21.4,8,1,0,1,8,1
2025,6,21,27.9,8,1,32.6,8,1,23.5,8,1,0,1,8,1
2025,6,22,25.4,8,1,29.5,8,1,22.4,8,1,4.0,0,8,1
2025,6,23,21.2,8,1,22.6,8,1,20.2,8,1,41.5,0,8,1
2025,6,24,24.0,8,1,28.7,8,1,20.7,8,1,5.5,0,8,1
2025,6,25,26.4,8,1,31.6,8,1,23.4,8,1,0.5,0,8,1
2025,6,26,24.1,8,1,29.5,8,1,20.8,8,1,7.5,0,8,1
2025,6,27,22.4,8,1,24.3,8,1,21.0,8,1,2.0,0,8,1
2025,6,28,22.9,8,1,25.3,8,1,21.3,8,1,0.0,0,8,1
2025,6,29,23.9,8,1,27.1,8,1,21.8,8,1,0,1,8,1
2025,6,30,25.3,8,1,29.7,8,1,21.2,8,1,0,1,8,1
2025,7,1,25.1,8,1,29.1,8,1,21.5,8,1,0.5,0,8,1
2025,7,2,26.4,8,1,30.4,8,1,23.1,8,1,0,1,8,1
2025,7,3,27.5,8,1,32.0,8,1,23.4,8,1,0,1,8,1
2025,7,4,27.1,8,1,31.1,8,1,24.6,8,1,0.0,0,8,1
2025,7,5,26.5,8,1,29.6,8,1,25.0,8,1,0.0,0,8,1
2025,7,6,26.4,8,1,30.0,8,1,24.4,8,1,0,1,8,1
2025,7,7,26.5,8,1,29.1,8,1,24.7,8,1,0,1,8,1
2025,7,8,27.0,8,1,30.9,8,1,24.4,8,1,0,1,8,1
2025,7,9,26.2,8,1,30.4,8,1,23.2,8,1,0,1,8,1
2025,7,10,25.7,8,1,29.5,8,1,21.9,8,1,0,1,8,1
2025,7,11,24.5,8,1,29.7,8,1,21.0,8,1,0,1,8,1
2025,7,12,23.7,8,1,29.7,8,1,20.0,8,1,0,1,8,1
2025,7,13,24.8,8,1,29.1,8,1,19.2,8,1,0,1,8,1
2025,7,14,28.5,8,1,33.9,8,1,23.4,8,1,0,1,8,1
2025,7,15,29.3,8,1,32.6,8,1,26.4,8,1,0.0,0,8,1
2025,7,16,30.1,8,1,37.0,8,1,23.8,8,1,2.5,0,8,1
2025,7,17,30.4,8,1,35.8,8,1,26.9,8,1,0,1,8,1
2025,7,18,29.0,8,1,33.2,8,1,25.6,8,1,0,1,8,1
2025,7,19,28.7,8,1,34.2,8,1,23.7,8,1,0,1,8,1
2025,7,20,28.3,8,1,33.0,8,1,23.9,8,1,0,1,8,1
2025,7,21,28.9,8,1,35.1,8,1,23.8,8,1,0,1,8,1
2025,7,22,29.3,8,1,33.2,8,1,24.9,8,1,0,1,8,1
2025,7,23,28.6,8,1,33.4,8,1,24.9,8,1,0,1,8,1
2025,7,24,28.5,8,1,33.4,8,1,24.3,8,1,0,1,8,1
2025,7,25,28.4,8,1,32.6,8,1,24.8,8,1,0,1,8,1
