”N,1ŒŽ,2ŒŽ,3ŒŽ,4ŒŽ,5ŒŽ,6ŒŽ,7ŒŽ,8ŒŽ,9ŒŽ,10ŒŽ,11ŒŽ,12ŒŽ,”NŠÔ
1951,,,,,,,1,,,1,,,2
1952,,,,,,1,1,1,,,,,3
1953,,,,,,1,,,1,,,,2
1954,,,,,,,,1,4,,,,5
1955,,,,,,,1,,1,2,,,4
1956,,,,1,,,,1,1,,,,3
1957,,,,,,,,,1,,,,1
1958,,,,,,,1,1,2,,,,4
1959,,,,,,,,2,1,1,,,4
1960,,,,,,,,3,1,,,,4
1961,,,,,,,1,,1,1,,,3
1962,,,,,,,1,4,,,,,5
1963,,,,,,1,,1,,,,,2
1964,,,,,,,,1,1,,,,2
1965,,,,,1,,,2,2,,,,5
1966,,,,,,,,2,3,,,,5
1967,,,,,,,,2,,1,,,3
1968,,,,,,,1,1,1,,,,3
1969,,,,,,,,2,,,,,2
1970,,,,,,,1,2,,,,,3
1971,,,,,,,1,2,1,,,,4
1972,,,,,,,2,,1,,,,3
1973,,,,,,,1,,,,,,1
1974,,,,,,,,1,2,,,,3
1975,,,,,,,,2,,,,,2
1976,,,,,,,1,,1,,,,2
1977,,,,,,,,1,,,,,1
1978,,,,,,1,,2,1,,,,4
1979,,,,,,,,,2,1,,,3
1980,,,,,,,,,1,,,,1
1981,,,,,,1,1,1,,,,,3
1982,,,,,,,,2,2,,,,4
1983,,,,,,,,1,1,,,,2
1984,,,,,,,,,,,,,0
1985,,,,,,,1,2,,,,,3
1986,,,,,,,,,,,,,0
1987,,,,,,,,,,1,,,1
1988,,,,,,,,2,,,,,2
1989,,,,,,1,1,2,1,,,,5
1990,,,,,,,,2,2,1,1,,6
1991,,,,,,,,1,2,,,,3
1992,,,,,,,,3,,,,,3
1993,,,,,,,3,1,2,,,,6
1994,,,,,,,1,1,1,,,,3
1995,,,,,,,,,1,,,,1
1996,,,,,,,1,1,,,,,2
1997,,,,,,2,1,,1,,,,4
1998,,,,,,,,,3,1,,,4
1999,,,,,,,,,2,,,,2
2000,,,,,,,,,,,,,0
2001,,,,,,,,1,1,,,,2
2002,,,,,,,2,,,1,,,3
2003,,,,,1,,,1,,,,,2
2004,,,,,,2,1,3,2,2,,,10
2005,,,,,,,1,1,1,,,,3
2006,,,,,,,,1,1,,,,2
2007,,,,,,,1,1,1,,,,3
2008,,,,,,,,,,,,,0
2009,,,,,,,,,,1,,,1
2010,,,,,,,,1,1,,,,2
2011,,,,,,,1,,2,,,,3
2012,,,,,,1,,,1,,,,2
2013,,,,,,,,,2,,,,2
2014,,,,,,,1,1,,2,,,4
2015,,,,,,,2,1,1,,,,4
2016,,,,,,,,4,2,,,,6
2017,,,,,,,1,1,1,1,,,4
2018,,,,,,,1,2,2,,,,5
2019,,,,,,,1,2,1,1,,,5
2020,,,,,,,,,,,,,0
2021,,,,,,,1,1,1,,,,3
2022,,,,,,,1,1,1,,,,3
2023,,,,,,,,1,,,,,1
2024,,,,,,,,2,,,,,2
