ダウンロードした時刻：2025/02/19 15:41:37

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,,,,,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2020,12,1,6.6,8,1,7.4,8,1,5.7,8,1,0,1,8,1,0,1,8,1
2020,12,2,6.6,8,1,8.8,8,1,3.6,8,1,0,1,8,1,0,1,8,1
2020,12,3,5.4,8,1,7.2,8,1,3.1,8,1,0,1,8,1,0,1,8,1
2020,12,4,6.0,8,1,7.7,8,1,3.6,8,1,0,1,8,1,0,1,8,1
2020,12,5,5.4,8,1,9.5,8,1,1.9,8,1,0,1,8,1,0,1,8,1
2020,12,6,6.6,8,1,9.8,8,1,2.8,8,1,0,1,8,1,0,1,8,1
2020,12,7,8.8,8,1,12.1,8,1,6.2,8,1,0,1,8,1,0,1,8,1
2020,12,8,6.3,8,1,7.8,8,1,4.2,8,1,0,1,8,1,0,1,8,1
2020,12,9,6.6,8,1,9.9,8,1,1.0,8,1,0,1,8,1,0,1,8,1
2020,12,10,5.4,8,1,8.8,8,1,1.3,8,1,0,1,8,1,0,1,8,1
2020,12,11,7.2,8,1,10.6,8,1,4.2,8,1,0,1,8,1,0,1,8,1
2020,12,12,7.4,8,1,10.0,8,1,3.6,8,1,0,1,8,1,0,1,8,1
2020,12,13,2.9,8,1,4.3,8,1,0.9,8,1,0,1,8,1,0,1,8,1
2020,12,14,1.4,8,1,3.4,8,1,0.4,8,1,2,0,8,1,5,0,8,1
2020,12,15,0.3,8,1,1.7,8,1,-1.9,8,1,2,0,8,1,1,0,8,1
2020,12,16,0.0,8,1,2.1,8,1,-1.7,8,1,4,0,8,1,3,0,8,1
2020,12,17,1.4,8,1,3.1,8,1,-1.0,8,1,6,0,8,1,3,0,8,1
2020,12,18,2.4,8,1,5.0,8,1,0.5,8,1,5,0,8,1,3,0,8,1
2020,12,19,0.3,8,1,3.1,8,1,-2.2,8,1,5,0,8,1,1,0,8,1
2020,12,20,0.4,8,1,2.2,8,1,-1.8,8,1,6,0,8,1,2,0,8,1
2020,12,21,2.9,8,1,5.9,8,1,-0.2,8,1,6,0,8,1,1,0,8,1
2020,12,22,3.6,8,1,6.9,8,1,1.6,8,1,4,0,8,1,0,1,8,1
2020,12,23,4.1,8,1,9.4,8,1,1.9,8,1,2,0,8,1,0,1,8,1
2020,12,24,7.3,8,1,11.1,8,1,3.7,8,1,0,1,8,1,0,1,8,1
2020,12,25,3.9,8,1,6.4,8,1,1.1,8,1,0,1,8,1,0,1,8,1
2020,12,26,3.3,8,1,5.5,8,1,1.3,8,1,0,1,8,1,0,1,8,1
2020,12,27,3.1,8,1,5.2,8,1,1.4,8,1,0,1,8,1,0,1,8,1
2020,12,28,4.0,8,1,5.4,8,1,2.2,8,1,0,1,8,1,0,1,8,1
2020,12,29,4.8,8,1,7.7,8,1,2.6,8,1,0,1,8,1,0,1,8,1
