ダウンロードした時刻：2025/07/30 16:40:21

,,酒田,酒田,酒田,にかほ,にかほ,にかほ,飛島,飛島,飛島,札幌,札幌,札幌,山形,山形,山形
年,月,日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1979,5,0,8,1,0,5,1,0,8,1,0,8,1,0,8,1
1979,6,0,8,1,0,5,1,0,8,1,0,8,1,0,8,1
1979,7,0,8,1,0,8,1,0,5,1,0,8,1,0,8,1
1979,8,0,8,1,1,8,1,0,5,1,0,8,1,1,8,1
1979,9,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1980,5,0,8,1,0,5,1,0,5,1,0,8,1,0,8,1
1980,6,0,8,1,0,5,1,0,5,1,0,8,1,0,8,1
1980,7,0,8,1,0,5,1,0,5,1,0,8,1,0,8,1
1980,8,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1980,9,0,8,1,1,8,1,0,8,1,0,8,1,0,8,1
1981,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1981,6,0,8,1,0,8,1,0,5,1,0,8,1,0,8,1
1981,7,2,8,1,0,5,1,0,5,1,0,8,1,1,8,1
1981,8,0,8,1,0,5,1,0,8,1,0,8,1,2,8,1
1981,9,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1982,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1982,6,0,8,1,0,5,1,0,5,1,0,8,1,0,8,1
1982,7,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
