ダウンロードした時刻：2022/01/10 12:15:22

,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,山形,山形,山形,山形,山形
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2021/1,1.2,8,1,1.9,8,2.3,8,1,2.1,8,-1.0,8,1,-0.1,8
2021/2,3.1,8,1,2.2,8,3.7,8,1,2.3,8,1.2,8,1,0.4,8
2021/3,7.4,8,1,5.1,8,7.5,8,1,4.9,8,6.5,8,1,4.0,8
2021/4,10.5,8,1,10.2,8,10.3,8,1,9.4,8,10.6,8,1,10.2,8
2021/5,16.2,8,1,15.7,8,14.7,8,1,14.1,8,16.5,8,1,16.2,8
2021/6,21.2,8,1,20.0,8,19.7,8,1,18.4,8,21.6,8,1,20.3,8
2021/7,26.0,8,1,23.8,8,25.0,8,1,22.4,8,25.3,8,1,23.9,8
2021/8,25.9,8,1,25.5,8,25.3,5,1,24.4,8,25.4,8,1,25.0,8
2021/9,21.4,8,1,21.6,8,21.2,5,1,21.0,8,20.0,8,1,20.6,8
2021/10,16.0,8,1,15.6,8,17.2,4,1,15.6,8,14.6,8,1,14.1,8
2021/11,11.1,8,1,9.7,8,11.8,8,1,10.0,8,8.9,8,1,7.7,8
2021/12,4.2,8,1,4.5,8,5.2,8,1,4.8,8,2.4,8,1,2.4,8
