ダウンロードした時刻：2022/01/10 12:25:09

,酒田,酒田,酒田,飛島,飛島,飛島,山形,山形,山形
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1961/1,0.2,8,1,,0,1,-1.9,8,1
1961/2,0.9,8,1,,0,1,-1.2,8,1
1961/3,3.9,8,1,,0,1,2.5,8,1
1961/4,10.4,8,1,,0,1,10.5,8,1
1961/5,15.7,8,1,,0,1,16.6,8,1
1961/6,19.0,8,1,,0,1,19.5,8,1
1961/7,24.5,8,1,,0,1,25.3,8,1
1961/8,24.8,8,1,,0,1,24.0,8,1
1961/9,22.5,8,1,,0,1,21.8,8,1
1961/10,15.6,8,1,,0,1,14.1,8,1
1961/11,9.7,8,1,,0,1,7.8,8,1
1961/12,4.2,8,1,,0,1,2.1,8,1
1962/1,2.0,8,1,,0,1,-0.2,8,1
1962/2,1.7,8,1,,0,1,0.0,8,1
1962/3,3.7,8,1,,0,1,2.6,8,1
1962/4,10.1,8,1,,0,1,9.7,8,1
1962/5,15.2,8,1,,0,1,15.8,8,1
1962/6,18.3,8,1,,0,1,18.4,8,1
1962/7,23.9,8,1,,0,1,23.8,8,1
1962/8,25.0,8,1,,0,1,25.2,8,1
1962/9,21.1,8,1,,0,1,20.4,8,1
1962/10,13.2,8,1,,0,1,11.6,8,1
1962/11,8.6,8,1,,0,1,6.9,8,1
1962/12,4.9,8,1,,0,1,2.8,8,1
1963/1,0.9,8,1,,0,1,-1.2,8,1
1963/2,1.4,8,1,,0,1,-0.5,8,1
1963/3,3.7,8,1,,0,1,2.6,8,1
1963/4,10.2,8,1,,0,1,10.5,8,1
1963/5,15.0,8,1,,0,1,15.8,8,1
1963/6,19.0,8,1,,0,1,19.4,8,1
1963/7,23.1,8,1,,0,1,23.4,8,1
1963/8,24.6,8,1,,0,1,24.2,8,1
1963/9,18.9,8,1,,0,1,17.9,8,1
1963/10,13.9,8,1,,0,1,12.4,8,1
1963/11,9.2,8,1,,0,1,7.5,8,1
1963/12,5.1,8,1,,0,1,3.3,8,1
1964/1,2.1,8,1,,0,1,0.5,8,1
1964/2,0.5,8,1,,0,1,-0.8,8,1
1964/3,4.2,8,1,,0,1,3.0,8,1
1964/4,10.4,8,1,,0,1,11.6,8,1
1964/5,15.6,8,1,,0,1,16.2,8,1
1964/6,18.4,8,1,,0,1,19.1,8,1
1964/7,22.4,8,1,,0,1,23.7,8,1
1964/8,25.8,8,1,,0,1,25.8,8,1
1964/9,19.1,8,1,,0,1,18.2,8,1
1964/10,13.7,8,1,,0,1,11.9,8,1
1964/11,8.6,8,1,,0,1,6.9,8,1
1964/12,4.1,8,1,,0,1,1.9,8,1
1965/1,1.9,8,1,,0,1,0.2,8,1
1965/2,0.5,8,1,,0,1,-0.7,8,1
1965/3,2.7,8,1,,0,1,1.5,8,1
1965/4,7.3,8,1,,0,1,6.6,8,1
1965/5,14.4,8,1,,0,1,14.8,8,1
1965/6,18.9,8,1,,0,1,19.4,8,1
1965/7,20.8,8,1,,0,1,21.5,8,1
1965/8,24.8,8,1,,0,1,24.6,8,1
