年,月,酒田,飛島,山形
1979,1,2.5,3.1,0.8
1979,2,3.5,3.8,2.2
1979,3,4.1,4.8,3.4
1979,4,8.4,8.3,8.6
1979,5,14.1,13.3,14.5
1979,6,20.9,19.3,21.7
1979,7,22.3,21.8,22.5
1979,8,24.1,24.2,24.5
1979,9,20.0,20.9,19.5
1979,10,15.8,17.1,14.7
1979,11,10.2,11.2,8.5
1979,12,5.9,6.7,3.7
1980,1,1.4,2.3,-0.9
1980,2,-0.1,0.3,-1.8
1980,3,3.1,3.9,1.7
1980,4,8.6,8.4,8.1
1980,5,15.2,14.1,16.1
1980,6,20.1,19.0,21.1
1980,7,21.3,20.9,21.1
1980,8,22.0,22.6,21.3
1980,9,19.4,20.4,19.1
1980,10,13.8,15.1,12.7
1980,11,9.4,11.2,7.6
1980,12,3.8,4.7,1.7
1981,1,0.2,0.5,-2.0
1981,2,1.2,2.1,-0.7
1981,3,4.0,4.5,2.1
1981,4,9.2,9.3,9.2
1981,5,13.2,12.5,13.6
1981,6,17.7,16.9,17.7
1981,7,24.5,23.4,24.6
1981,8,23.5,23.5,23.6
1981,9,18.3,19.4,17.4
1981,10,13.9,15.0,12.1
1981,11,6.7,7.2,5.0
1981,12,4.3,5.3,2.1
1982,1,1.0,1.9,-0.9
1982,2,0.4,1.1,-1.1
1982,3,4.6,5.2,3.4
1982,4,10.0,9.8,9.5
1982,5,15.6,14.4,16.6
1982,6,18.4,17.7,18.6
1982,7,22.2,22.0,21.3
1982,8,24.5,24.0,24.4
1982,9,19.5,20.2,18.7
1982,10,14.8,16.3,12.9
1982,11,9.6,10.9,7.6
1982,12,5.5,6.1,3.7
1983,1,2.3,2.6,0.3
1983,2,0.4,1.0,-1.3
1983,3,3.9,4.9,2.7
1983,4,12.2,11.7,12.5
1983,5,15.4,14.3,16.1
1983,6,17.9,17.0,17.9
1983,7,21.4,21.0,21.2
1983,8,25.3,25.0,24.9
1983,9,21.2,21.7,20.2
1983,10,13.5,13.7,12.0
1983,11,7.9,9.3,6.0
1983,12,2.6,3.1,0.8
1984,1,-0.5,0.0,-2.4
1984,2,-1.1,-1.1,-2.9
1984,3,1.2,1.8,-0.5
1984,4,7.9,7.8,6.9
1984,5,14.0,12.7,13.9
1984,6,21.1,19.3,20.6
1984,7,24.7,23.4,24.4
1984,8,26.1,25.6,26.3
1984,9,19.9,20.2,18.9
1984,10,13.7,14.1,12.0
1984,11,7.8,8.9,5.8
1984,12,3.3,3.4,1.4
1985,1,-1.0,-1.3,-3.5
1985,2,1.8,1.8,0.2
1985,3,3.9,3.7,2.4
1985,4,10.9,9.9,10.2
1985,5,15.6,14.0,16.1
1985,6,19.1,17.7,18.4
1985,7,23.1,21.8,23.8
1985,8,27.9,27.1,27.4
1985,9,20.3,20.7,19.2
1985,10,14.5,14.7,12.7
1985,11,9.1,9.7,7.4
1985,12,2.5,2.9,1.1
1986,1,0.0,0.0,-2.0
1986,2,-0.3,-0.4,-2.3
1986,3,3.9,4.1,2.5
1986,4,10.1,9.1,9.6
1986,5,14.5,12.8,14.8
1986,6,18.6,17.3,18.7
1986,7,21.0,19.9,21.2
1986,8,25.1,24.1,24.7
1986,9,21.2,21.1,20.3
1986,10,13.2,14.0,11.6
1986,11,7.8,8.3,5.7
1986,12,5.0,4.9,3.2
1987,1,1.1,0.9,-0.9
1987,2,1.9,1.6,0.4
1987,3,4.3,4.1,3.2
1987,4,9.4,8.9,9.7
1987,5,15.4,13.9,16.2
1987,6,20.1,18.3,20.3
1987,7,23.5,22.0,23.8
1987,8,24.6,23.8,23.9
1987,9,21.3,21.1,19.8
1987,10,15.5,15.9,13.8
1987,11,8.8,9.5,6.8
1987,12,4.6,5.3,3.0
1988,1,2.5,2.7,0.7
1988,2,-0.3,-0.3,-2.4
1988,3,3.7,4.1,2.6
1988,4,9.4,9.1,9.3
1988,5,14.0,12.8,14.5
1988,6,19.4,17.8,19.8
1988,7,21.1,20.6,20.5
1988,8,26.3,25.6,25.1
1988,9,20.8,21.1,19.5
1988,10,14.0,14.5,12.4
1988,11,6.9,7.8,5.0
1988,12,4.2,4.6,2.3
1989,1,3.0,3.6,1.4
1989,2,3.1,3.1,1.5
1989,3,6.0,5.8,4.9
1989,4,10.4,9.6,10.4
1989,5,15.1,13.8,15.5
1989,6,18.6,17.5,18.7
1989,7,23.9,22.7,23.2
1989,8,25.8,25.0,24.8
1989,9,20.9,20.6,20.2
1989,10,14.4,15.2,12.6
1989,11,10.8,11.5,8.9
1989,12,5.0,5.4,3.1
1990,1,0.4,1.1,-1.3
1990,2,4.0,4.5,2.5
1990,3,6.1,6.3,5.0
1990,4,11.0,10.5,10.7
1990,5,15.5,14.2,16.1
1990,6,20.6,19.2,21.2
1990,7,23.5,22.4,23.5
1990,8,26.2,25.3,26.1
1990,9,22.1,21.9,21.5
1990,10,16.4,16.8,14.6
1990,11,11.5,12.3,9.7
1990,12,7.0,7.2,5.3
