ダウンロードした時刻：2019/03/24 10:46:20

,,,酒田,酒田,酒田,酒田
年,月,日,最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃)
,,,,,,
,,,,品質情報,,品質情報
2010,2,1,5.5,8,2.5,8
2010,2,2,2.1,8,-0.3,8
2010,2,3,-1.7,8,-2.9,8
2010,2,4,-1.7,8,-3.0,8
2010,2,5,-1.4,8,-3.3,8
2010,2,6,-0.8,8,-3.2,8
2010,2,7,4.0,8,2.0,8
2010,2,8,7.2,8,3.6,8
2010,2,9,8.2,8,5.4,8
2010,2,10,4.4,8,1.8,8
2010,2,11,3.0,8,0.8,8
2010,2,12,0.8,8,-0.6,8
2010,2,13,-0.5,8,-1.3,8
2010,2,14,3.6,8,1.2,8
2010,2,15,4.8,8,2.0,8
2010,2,16,2.9,8,0.2,8
2010,2,17,1.7,8,-0.7,8
2010,2,18,7.7,8,1.9,8
2010,2,19,4.8,8,2.0,8
2010,2,20,3.3,8,0.5,8
2010,2,21,2.4,8,0.5,8
2010,2,22,9.9,8,4.1,8
2010,2,23,10.0,8,6.4,8
2010,2,24,15.3,8,6.9,8
2010,2,25,20.1,8,11.1,8
2010,2,26,10.7,8,8.6,8
2010,2,27,8.4,8,5.0,8
2010,2,28,5.6,8,2.9,8
2010,3,1,6.7,8,2.4,8
2010,3,2,3.9,8,2.0,8
2010,3,3,5.9,8,2.8,8
2010,3,4,10.1,8,4.8,8
2010,3,5,10.5,8,7.9,8
2010,3,6,8.1,8,6.5,8
2010,3,7,4.3,8,2.8,8
2010,3,8,3.8,8,1.6,8
2010,3,9,3.3,8,0.8,8
2010,3,10,5.7,8,2.3,8
2010,3,11,5.8,8,4.1,8
2010,3,12,12.5,8,6.6,8
2010,3,13,14.4,8,6.0,8
2010,3,14,6.4,8,3.9,8
2010,3,15,16.3,8,8.3,8
2010,3,16,12.2,8,7.1,8
2010,3,17,4.4,8,2.0,8
2010,3,18,4.0,8,1.4,8
2010,3,19,7.7,8,3.4,8
2010,3,20,15.8,8,9.6,8
2010,3,21,14.6,8,6.6,8
2010,3,22,8.0,8,4.8,8
2010,3,23,8.5,8,5.9,8
2010,3,24,8.3,8,5.9,8
2010,3,25,5.5,8,3.2,8
2010,3,26,5.7,8,3.1,8
2010,3,27,4.4,8,1.5,8
2010,3,28,4.9,8,1.7,8
2010,3,29,4.6,8,1.1,8
2010,3,30,5.7,8,1.8,8
2010,3,31,11.4,8,5.7,8
2010,4,1,12.4,8,9.4,8
2010,4,2,9.0,8,6.5,8
2010,4,3,9.7,8,6.2,8
2010,4,4,14.5,8,7.4,8
2010,4,5,16.0,8,10.2,8
2010,4,6,15.5,8,10.4,8
2010,4,7,9.7,8,6.8,8
2010,4,8,8.8,8,5.3,8
2010,4,9,16.8,8,9.6,8
2010,4,10,20.7,8,13.1,8
2010,4,11,12.0,8,9.1,8
2010,4,12,9.0,8,6.8,8
2010,4,13,18.5,8,11.3,8
2010,4,14,7.7,8,5.9,8
2010,4,15,8.8,8,5.4,8
2010,4,16,10.8,8,5.7,8
2010,4,17,6.4,8,4.1,8
2010,4,18,10.4,8,7.0,8
2010,4,19,16.5,8,9.4,8
2010,4,20,19.0,8,13.4,8
2010,4,21,12.5,8,8.5,8
2010,4,22,8.1,8,6.6,8
2010,4,23,8.6,8,7.1,8
2010,4,24,10.5,8,7.3,8
2010,4,25,13.9,8,9.7,8
2010,4,26,12.9,8,9.3,8
2010,4,27,15.6,8,10.9,8
2010,4,28,17.5,8,13.6,8
2010,4,29,16.2,8,11.7,8
2010,4,30,14.8,8,10.7,8
2011,2,1,3.0,8,1.3,8
2011,2,2,5.6,8,1.6,8
2011,2,3,4.6,8,0.9,8
2011,2,4,7.1,8,2.4,8
2011,2,5,5.0,8,2.2,8
2011,2,6,5.8,8,1.4,8
2011,2,7,6.4,8,2.9,8
2011,2,8,3.0,8,0.9,8
2011,2,9,2.8,8,0.8,8
2011,2,10,2.4,8,0.0,8
2011,2,11,3.8,8,1.0,8
2011,2,12,3.5,8,0.5,8
2011,2,13,3.1,8,0.5,8
2011,2,14,2.1,8,0.2,8
2011,2,15,4.2,8,2.3,8
2011,2,16,6.8,8,2.8,8
2011,2,17,7.0,8,2.8,8
2011,2,18,5.2,8,2.9,8
2011,2,19,5.2,8,1.6,8
2011,2,20,4.6,8,0.6,8
2011,2,21,5.0,8,0.1,8
2011,2,22,8.0,8,1.3,8
2011,2,23,11.0,8,5.4,8
2011,2,24,14.6,8,7.3,8
2011,2,25,9.1,8,4.5,8
2011,2,26,2.0,8,0.3,8
2011,2,27,6.0,8,1.6,8
2011,2,28,5.5,8,2.9,8
2011,3,1,4.4,8,3.0,8
2011,3,2,4.1,8,1.8,8
2011,3,3,0.2,8,-1.5,8
2011,3,4,1.0,8,-0.8,8
2011,3,5,5.0,8,2.8,8
2011,3,6,8.3,8,4.5,8
2011,3,7,5.6,8,3.6,8
2011,3,8,5.2,8,2.2,8
2011,3,9,3.7,8,0.8,8
2011,3,10,2.5,8,0.0,8
2011,3,11,2.8,8,0.5,8
2011,3,12,6.5,8,3.0,8
2011,3,13,12.1,8,5.9,8
2011,3,14,14.5,8,6.6,8
2011,3,15,5.6,8,2.7,8
2011,3,16,3.1,8,0.7,8
2011,3,17,1.5,8,-0.4,8
2011,3,18,3.9,8,1.3,8
2011,3,19,10.5,8,5.5,8
2011,3,20,12.6,8,6.6,8
2011,3,21,8.0,8,5.2,8
2011,3,22,9.2,8,3.1,8
2011,3,23,4.6,8,1.6,8
2011,3,24,5.6,8,1.7,8
2011,3,25,4.8,8,2.4,8
2011,3,26,5.3,8,2.6,8
