ダウンロードした時刻：2019/03/24 10:45:19

,,,酒田,酒田,酒田,酒田
年,月,日,最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃)
,,,,,,
,,,,品質情報,,品質情報
1953,2,1,,1,,1
1953,2,2,,1,,1
1953,2,3,,1,,1
1953,2,4,,1,,1
1953,2,5,,1,,1
1953,2,6,,1,,1
1953,2,7,,1,,1
1953,2,8,,1,,1
1953,2,9,,1,,1
1953,2,10,,1,,1
1953,2,11,,1,,1
1953,2,12,,1,,1
1953,2,13,,1,,1
1953,2,14,,1,,1
1953,2,15,,1,,1
1953,2,16,,1,,1
1953,2,17,,1,,1
1953,2,18,,1,,1
1953,2,19,,1,,1
1953,2,20,,1,,1
1953,2,21,,1,,1
1953,2,22,,1,,1
1953,2,23,,1,,1
1953,2,24,,1,,1
1953,2,25,,1,,1
1953,2,26,,1,,1
1953,2,27,,1,,1
1953,2,28,,1,,1
1953,3,1,,1,,1
1953,3,2,,1,,1
1953,3,3,,1,,1
1953,3,4,,1,,1
1953,3,5,,1,,1
1953,3,6,,1,,1
1953,3,7,,1,,1
1953,3,8,,1,,1
1953,3,9,,1,,1
1953,3,10,,1,,1
1953,3,11,,1,,1
1953,3,12,,1,,1
1953,3,13,,1,,1
1953,3,14,,1,,1
1953,3,15,,1,,1
1953,3,16,,1,,1
1953,3,17,,1,,1
1953,3,18,,1,,1
1953,3,19,,1,,1
1953,3,20,,1,,1
1953,3,21,,1,,1
1953,3,22,,1,,1
1953,3,23,,1,,1
1953,3,24,,1,,1
1953,3,25,,1,,1
1953,3,26,,1,,1
1953,3,27,,1,,1
1953,3,28,,1,,1
1953,3,29,,1,,1
1953,3,30,,1,,1
1953,3,31,,1,,1
1953,4,1,,1,,1
1953,4,2,,1,,1
1953,4,3,,1,,1
1953,4,4,,1,,1
1953,4,5,,1,,1
1953,4,6,,1,,1
1953,4,7,,1,,1
1953,4,8,,1,,1
1953,4,9,,1,,1
1953,4,10,,1,,1
1953,4,11,,1,,1
1953,4,12,,1,,1
1953,4,13,,1,,1
1953,4,14,,1,,1
1953,4,15,,1,,1
1953,4,16,,1,,1
1953,4,17,,1,,1
1953,4,18,,1,,1
1953,4,19,,1,,1
1953,4,20,,1,,1
1953,4,21,,1,,1
1953,4,22,,1,,1
1953,4,23,,1,,1
1953,4,24,,1,,1
1953,4,25,,1,,1
1953,4,26,,1,,1
1953,4,27,,1,,1
1953,4,28,,1,,1
1953,4,29,,1,,1
1953,4,30,,1,,1
1954,2,1,,1,,1
1954,2,2,,1,,1
1954,2,3,,1,,1
1954,2,4,,1,,1
1954,2,5,,1,,1
1954,2,6,,1,,1
1954,2,7,,1,,1
1954,2,8,,1,,1
1954,2,9,,1,,1
1954,2,10,,1,,1
1954,2,11,,1,,1
1954,2,12,,1,,1
1954,2,13,,1,,1
1954,2,14,,1,,1
1954,2,15,,1,,1
1954,2,16,,1,,1
1954,2,17,,1,,1
1954,2,18,,1,,1
1954,2,19,,1,,1
1954,2,20,,1,,1
1954,2,21,,1,,1
1954,2,22,,1,,1
1954,2,23,,1,,1
1954,2,24,,1,,1
1954,2,25,,1,,1
1954,2,26,,1,,1
1954,2,27,,1,,1
1954,2,28,,1,,1
1954,3,1,,1,,1
1954,3,2,,1,,1
1954,3,3,,1,,1
1954,3,4,,1,,1
1954,3,5,,1,,1
1954,3,6,,1,,1
1954,3,7,,1,,1
1954,3,8,,1,,1
1954,3,9,,1,,1
1954,3,10,,1,,1
1954,3,11,,1,,1
1954,3,12,,1,,1
1954,3,13,,1,,1
1954,3,14,,1,,1
1954,3,15,,1,,1
1954,3,16,,1,,1
1954,3,17,,1,,1
1954,3,18,,1,,1
1954,3,19,,1,,1
1954,3,20,,1,,1
1954,3,21,,1,,1
1954,3,22,,1,,1
1954,3,23,,1,,1
1954,3,24,,1,,1
1954,3,25,,1,,1
1954,3,26,,1,,1
1954,3,27,,1,,1
1954,3,28,,1,,1
1954,3,29,,1,,1
1954,3,30,,1,,1
1954,3,31,,1,,1
1954,4,1,,1,,1
1954,4,2,,1,,1
1954,4,3,,1,,1
1954,4,4,,1,,1
1954,4,5,,1,,1
1954,4,6,,1,,1
1954,4,7,,1,,1
1954,4,8,,1,,1
1954,4,9,,1,,1
1954,4,10,,1,,1
1954,4,11,,1,,1
1954,4,12,,1,,1
1954,4,13,,1,,1
1954,4,14,,1,,1
1954,4,15,,1,,1
1954,4,16,,1,,1
1954,4,17,,1,,1
1954,4,18,,1,,1
1954,4,19,,1,,1
1954,4,20,,1,,1
1954,4,21,,1,,1
1954,4,22,,1,,1
1954,4,23,,1,,1
1954,4,24,,1,,1
1954,4,25,,1,,1
1954,4,26,,1,,1
1954,4,27,,1,,1
1954,4,28,,1,,1
1954,4,29,,1,,1
1954,4,30,,1,,1
1955,2,1,,1,,1
1955,2,2,,1,,1
1955,2,3,,1,,1
1955,2,4,,1,,1
1955,2,5,,1,,1
1955,2,6,,1,,1
1955,2,7,,1,,1
1955,2,8,,1,,1
1955,2,9,,1,,1
1955,2,10,,1,,1
1955,2,11,,1,,1
1955,2,12,,1,,1
1955,2,13,,1,,1
1955,2,14,,1,,1
1955,2,15,,1,,1
1955,2,16,,1,,1
1955,2,17,,1,,1
1955,2,18,,1,,1
1955,2,19,,1,,1
1955,2,20,,1,,1
1955,2,21,,1,,1
1955,2,22,,1,,1
1955,2,23,,1,,1
1955,2,24,,1,,1
1955,2,25,,1,,1
1955,2,26,,1,,1
1955,2,27,,1,,1
1955,2,28,,1,,1
1955,3,1,,1,,1
1955,3,2,,1,,1
1955,3,3,,1,,1
1955,3,4,,1,,1
