ダウンロードした時刻：2019/08/11 13:10:38

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,日照時間(時間),日照時間(時間),平均気温(℃),最高気温(℃),降水量の合計(mm),降水量の合計(mm),最低気温(℃)
,,,,,,,,,
,,,,現象なし情報,,,,現象なし情報,
1979,7,1,,,21.9,24.1,6.0,0,20.8
1979,7,2,,,21.6,26.0,24.5,0,19.0
1979,7,3,,,16.7,19.0,8.5,0,15.0
1979,7,4,,,18.8,21.9,9.0,0,16.2
1979,7,5,,,20.1,23.1,3.5,0,18.4
1979,7,6,,,21.4,25.1,6.5,0,17.2
1979,7,7,,,23.6,29.8,0,1,16.3
1979,7,8,,,23.1,29.3,0,1,18.4
1979,7,9,,,22.6,27.0,0,1,18.1
1979,7,10,,,23.7,29.0,0,1,17.3
1979,7,11,,,21.8,23.7,17.0,0,20.7
1979,7,12,,,22.0,24.2,29.0,0,21.0
1979,7,13,,,22.1,25.5,0,1,19.2
1979,7,14,,,19.6,21.1,3.0,0,18.4
1979,7,15,,,18.9,21.6,0.5,0,15.9
1979,7,16,,,19.7,24.5,0,1,13.9
1979,7,17,,,19.2,24.0,0,1,13.7
1979,7,18,,,20.5,24.6,0,1,15.4
1979,7,19,,,22.0,26.5,0,1,17.9
1979,7,20,,,23.0,29.7,0,1,14.9
1979,7,21,,,23.9,28.4,0.0,0,20.0
1979,7,22,,,23.3,25.3,5.0,0,21.6
1979,7,23,,,26.0,30.0,0.0,0,22.0
1979,7,24,,,25.1,28.1,11.5,0,23.7
1979,7,25,,,23.8,25.9,0.5,0,21.5
1979,7,26,,,23.7,27.4,0,1,21.0
1979,7,27,,,24.2,28.1,3.0,0,19.9
1979,7,28,,,23.4,25.1,35.5,0,22.2
1979,7,29,,,23.4,25.0,11.5,0,21.1
1979,7,30,,,26.2,29.6,0.0,0,23.4
1979,7,31,,,25.1,27.2,0.0,0,22.5
1979,8,1,,,26.6,30.8,0,1,21.9
1979,8,2,,,24.6,29.0,37.5,0,20.3
1979,8,3,,,23.2,26.9,0,1,19.7
1979,8,4,,,22.4,26.0,29.5,0,18.3
1979,8,5,,,24.1,26.0,18.0,0,21.3
1979,8,6,,,25.2,30.4,46.5,0,21.5
1979,8,7,,,23.2,26.0,10.0,0,20.3
1979,8,8,,,22.5,26.0,6.5,0,19.0
1979,8,9,,,22.7,27.4,0,1,17.1
1979,8,10,,,23.4,28.1,0,1,18.8
1980,7,1,,,19.3,24.6,0,1,15.0
1980,7,2,,,19.1,23.5,0.0,0,15.5
1980,7,3,,,19.5,22.8,4.5,0,16.2
1980,7,4,,,19.7,22.2,0.0,0,17.4
1980,7,5,,,20.5,24.5,0.0,0,17.3
1980,7,6,,,21.4,23.4,1.5,0,18.9
1980,7,7,,,21.2,23.0,23.0,0,20.2
1980,7,8,,,21.7,24.0,1.0,0,19.9
1980,7,9,,,22.1,25.9,0.0,0,18.6
1980,7,10,,,22.7,26.1,0.0,0,19.1
1980,7,11,,,22.1,25.8,17.5,0,19.0
1980,7,12,,,19.9,21.1,19.0,0,18.6
1980,7,13,,,21.1,25.7,0,1,16.7
1980,7,14,,,21.3,26.0,38.0,0,17.9
1980,7,15,,,20.9,22.0,88.0,0,19.6
1980,7,16,,,18.6,20.2,19.5,0,16.9
1980,7,17,,,18.9,22.3,0.5,0,16.1
1980,7,18,,,19.3,22.1,1.0,0,16.0
1980,7,19,,,19.5,23.1,12.0,0,17.3
1980,7,20,,,21.0,24.9,0,1,15.3
1980,7,21,,,24.7,29.6,0.5,0,18.6
1980,7,22,,,25.4,30.0,2.5,0,22.4
