ダウンロードした時刻：2018/11/08 10:19:06

,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年月,平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2009/1,2.7,8,1,5.4,8,1,-0.1,8,1,246.0,0,8,1,3.2,8,1,6.0,8,1,0.8,8,1,153.5,8,1
2009/2,2.7,8,1,6.1,8,1,-0.3,8,1,155.5,0,8,1,3.0,8,1,6.4,8,1,0.0,8,1,98.0,8,1
2009/3,4.9,8,1,9.0,8,1,1.2,8,1,130.5,0,8,1,4.6,8,1,8.5,8,1,1.6,8,1,88.5,8,1
2009/4,10.2,8,1,14.7,8,1,5.9,8,1,96.5,0,8,1,9.6,8,1,13.7,5,1,6.3,5,1,86.5,8,1
2009/5,16.4,8,1,20.8,8,1,12.4,8,1,49.0,0,8,1,14.6,8,1,18.8,8,1,11.5,8,1,56.5,8,1
2009/6,20.4,8,1,25.1,8,1,16.4,8,1,75.5,0,8,1,18.4,8,1,23.0,8,1,15.1,8,1,70.0,8,1
2009/7,23.1,8,1,26.9,8,1,20.4,8,1,267.5,0,8,1,21.3,8,1,24.4,8,1,19.1,8,1,266.5,8,1
2009/8,24.1,8,1,28.0,8,1,20.9,8,1,141.0,0,8,1,22.7,8,1,26.7,8,1,20.2,8,1,132.5,8,1
2009/9,20.2,5,1,24.4,5,1,16.2,8,1,91.5,0,8,1,19.5,8,1,23.6,8,1,16.6,8,1,53.5,8,1
2009/10,15.3,8,1,20.0,8,1,11.1,8,1,176.5,0,8,1,15.4,8,1,19.0,8,1,12.4,8,1,176.5,8,1
2009/11,10.4,8,1,14.3,8,1,6.7,8,1,211.0,0,8,1,10.3,8,1,13.4,8,1,7.7,8,1,155.0,8,1
2009/12,4.7,8,1,7.6,8,1,1.6,8,1,195.0,0,8,1,4.9,8,1,7.4,8,1,2.6,8,1,136.0,8,1
2010/1,2.5,8,1,5.3,8,1,-0.2,8,1,228.5,0,8,1,2.5,8,1,5.2,8,1,0.1,8,1,168.0,8,1
2010/2,1.9,8,1,5.0,8,1,-1.3,8,1,79.0,0,8,1,1.9,8,1,4.9,8,1,-0.7,8,1,61.5,8,1
2010/3,4.1,8,1,7.9,8,1,0.7,8,1,146.0,0,8,1,3.9,8,1,8.0,8,1,1.0,8,1,138.0,8,1
2010/4,8.6,8,1,12.8,8,1,4.6,8,1,116.0,0,8,1,7.9,8,1,11.7,8,1,4.8,8,1,97.5,8,1
2010/5,14.7,8,1,18.6,8,1,10.9,8,1,126.0,0,8,1,12.9,8,1,16.7,8,1,10.2,8,1,123.0,8,1
2010/6,20.8,8,1,24.5,8,1,17.4,8,1,94.0,0,8,1,19.3,8,1,23.5,8,1,16.4,8,1,90.5,8,1
2010/7,25.5,8,1,29.4,8,1,22.5,8,1,128.5,0,8,1,24.0,8,1,27.7,8,1,21.7,8,1,156.0,8,1
2010/8,27.9,8,1,31.8,8,1,24.5,8,1,53.5,0,8,1,26.4,8,1,30.3,8,1,23.8,8,1,72.5,8,1
2010/9,22.2,8,1,26.1,8,1,18.8,8,1,360.0,0,8,1,21.7,8,1,25.0,8,1,19.4,8,1,284.0,8,1
2010/10,16.2,8,1,20.5,8,1,12.5,8,1,166.0,0,8,1,16.4,8,1,19.3,8,1,13.8,8,1,87.0,8,1
2010/11,10.1,8,1,14.0,8,1,6.6,8,1,177.0,0,8,1,10.4,8,1,13.4,8,1,7.9,8,1,187.5,8,1
2010/12,5.4,8,1,8.7,8,1,2.2,8,1,313.0,0,8,1,5.7,8,1,8.3,8,1,3.0,8,1,260.5,8,1
2011/1,0.1,8,1,2.4,8,1,-2.2,8,1,209.0,0,8,1,0.6,5,1,2.8,5,1,-1.2,5,1,25.0,5,1
2011/2,1.9,8,1,5.4,8,1,-1.8,8,1,74.5,0,8,1,3.2,8,1,6.2,8,1,0.6,8,1,15.0,8,1
2011/3,2.8,8,1,6.3,8,1,-0.6,8,1,103.0,0,8,1,3.1,8,1,6.6,8,1,0.5,8,1,10.0,8,1
2011/4,9.1,8,1,13.8,8,1,4.4,8,1,116.5,0,8,1,8.5,8,1,12.3,8,1,5.1,8,1,139.0,8,1
2011/5,15.0,8,1,19.5,8,1,10.8,8,1,216.5,0,8,1,12.9,8,1,16.7,8,1,10.1,8,1,186.5,8,1
2011/6,20.0,8,1,24.3,8,1,16.6,8,1,391.0,0,8,1,18.0,8,1,21.9,8,1,15.2,8,1,155.0,8,1
2011/7,25.3,8,1,29.7,8,1,21.9,8,1,140.0,0,8,1,23.6,8,1,27.6,8,1,21.1,8,1,84.0,8,1
2011/8,25.9,5,1,30.0,5,1,22.6,5,1,332.5,0,5,1,24.8,8,1,28.4,8,1,22.5,8,1,119.0,8,1
2011/9,22.4,8,1,26.7,8,1,18.9,8,1,341.5,0,8,1,21.4,8,1,24.5,8,1,18.9,8,1,263.0,8,1
2011/10,15.9,8,1,20.1,8,1,11.7,8,1,108.0,0,8,1,15.6,5,1,18.8,5,1,12.8,5,1,86.0,5,1
2011/11,10.8,8,1,14.7,8,1,7.0,8,1,133.0,0,8,1,11.1,8,1,14.1,8,1,8.3,8,1,106.0,8,1
2011/12,3.3,8,1,5.9,8,1,0.8,8,1,196.5,0,8,1,3.3,8,1,5.6,8,1,1.3,8,1,37.5,8,1
2012/1,0.4,8,1,2.4,8,1,-1.7,8,1,112.5,0,8,1,0.5,8,1,2.6,8,1,-1.2,8,1,32.0,8,1
2012/2,0.1,8,1,2.9,8,1,-2.6,8,1,115.5,0,5,1,0.4,8,1,3.2,8,1,-1.8,8,1,30.5,8,1
2012/3,4.3,8,1,7.7,8,1,1.0,8,1,190.5,0,8,1,4.4,8,1,7.4,8,1,1.5,8,1,103.5,8,1
2012/4,10.1,8,1,14.8,8,1,5.9,8,1,118.5,0,8,1,9.2,8,1,13.5,8,1,5.8,8,1,66.5,8,1
2012/5,15.4,8,1,19.3,8,1,11.9,8,1,133.0,0,8,1,14.0,8,1,18.1,8,1,11.3,8,1,97.0,8,1
2012/6,19.8,8,1,23.9,8,1,16.2,8,1,50.5,0,8,1,18.5,8,1,23.3,8,1,15.2,8,1,30.5,8,1
2012/7,24.2,8,1,27.7,8,1,21.1,8,1,153.0,0,8,1,22.9,8,1,26.6,8,1,20.4,8,1,136.5,8,1
2012/8,27.3,8,1,31.7,8,1,23.6,8,1,44.0,0,8,1,26.2,8,1,30.7,8,1,23.1,8,1,74.0,8,1
2012/9,24.6,8,1,29.2,8,1,21.0,8,1,173.0,0,8,1,24.0,8,1,27.9,8,1,21.2,8,1,145.5,8,1
2012/10,16.5,8,1,20.4,8,1,12.7,8,1,226.5,0,8,1,16.4,8,1,19.9,8,1,13.4,8,1,149.0,8,1
2012/11,9.5,8,1,12.7,8,1,6.3,8,1,431.0,0,8,1,9.8,8,1,12.7,8,1,7.3,8,1,232.5,8,1
2012/12,3.0,8,1,6.0,8,1,0.4,8,1,240.5,0,8,1,3.2,8,1,5.9,8,1,0.8,8,1,163.5,8,1
2013/1,0.7,8,1,3.1,8,1,-1.8,8,1,162.0,0,8,1,0.7,8,1,3.2,8,1,-1.2,8,1,110.5,8,1
2013/2,0.4,8,1,3.5,8,1,-2.4,8,1,122.5,0,8,1,0.7,8,1,3.6,8,1,-1.7,8,1,71.0,8,1
2013/3,4.6,8,1,9.1,8,1,0.6,8,1,116.5,0,8,1,4.5,8,1,8.5,8,1,1.2,8,1,91.0,8,1
2013/4,9.3,8,1,13.4,8,1,5.3,8,1,158.0,0,8,1,8.2,8,1,12.4,8,1,4.9,8,1,113.0,8,1
2013/5,15.1,8,1,19.7,5,1,11.1,8,1,65.0,0,5,1,13.5,8,1,17.7,8,1,10.4,8,1,43.5,8,1
2013/6,21.6,8,1,26.0,8,1,17.6,8,1,28.0,0,8,1,20.2,8,1,25.5,8,1,16.6,8,1,20.0,8,1
2013/7,23.8,8,1,27.0,8,1,21.3,8,1,785.5,0,8,1,22.3,5,1,25.4,5,1,20.4,5,1,496.0,5,1
2013/8,26.0,8,1,30.2,8,1,22.5,8,1,229.5,0,8,1,25.1,4,1,28.9,4,1,22.4,4,1,123.0,4,1
2013/9,21.9,8,1,26.4,8,1,17.9,8,1,146.0,0,8,1,21.1,8,1,25.0,8,1,18.1,8,1,221.0,8,1
2013/10,17.1,8,1,20.9,8,1,13.6,8,1,228.0,0,8,1,16.7,8,1,19.8,8,1,14.1,8,1,189.0,8,1
2013/11,9.1,8,1,13.1,8,1,5.4,8,1,415.0,0,8,1,9.9,8,1,13.1,8,1,7.0,8,1,224.5,8,1
2013/12,4.9,8,1,7.6,8,1,2.0,8,1,271.0,0,8,1,5.3,8,1,7.8,8,1,2.9,8,1,223.0,8,1
2014/1,1.8,8,1,4.8,8,1,-1.1,8,1,185.0,0,8,1,2.1,8,1,5.0,8,1,-0.6,8,1,106.5,8,1
2014/2,1.5,8,1,3.9,8,1,-1.3,8,1,79.0,0,8,1,1.4,8,1,4.1,8,1,-0.8,8,1,59.5,8,1
2014/3,5.2,8,1,8.4,8,1,1.9,8,1,149.0,0,8,1,4.7,8,1,7.9,8,1,2.0,8,1,169.0,8,1
2014/4,10.1,8,1,14.9,8,1,5.0,8,1,34.0,0,8,1,9.5,8,1,14.0,8,1,6.0,8,1,23.5,8,1
2014/5,16.1,8,1,20.8,8,1,12.0,8,1,106.0,0,8,1,14.2,8,1,18.3,8,1,11.4,8,1,85.0,8,1
2014/6,21.8,8,1,26.1,8,1,18.4,8,1,84.5,0,8,1,19.6,8,1,24.0,8,1,16.6,8,1,62.0,8,1
2014/7,24.4,8,1,28.4,8,1,21.1,8,1,95.0,0,8,1,23.1,8,1,27.2,8,1,20.3,8,1,177.5,8,1
2014/8,25.1,8,1,29.0,8,1,22.2,8,1,197.0,0,8,1,24.0,8,1,27.5,8,1,21.8,8,1,154.5,8,1
2014/9,20.6,8,1,25.2,8,1,16.7,8,1,161.0,0,8,1,20.0,8,1,24.1,8,1,17.1,8,1,131.0,8,1
2014/10,14.8,8,1,19.4,8,1,10.5,8,1,238.5,0,8,1,14.9,5,1,18.2,5,1,11.8,5,1,213.5,5,1
2014/11,10.0,8,1,14.2,8,1,5.9,8,1,153.5,0,8,1,10.5,8,1,13.5,8,1,7.9,8,1,136.5,8,1
