ダウンロードした時刻：2018/11/14 09:17:03

集計開始,集計終了,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年月日,年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,,,,,,,,,,,,,,
,,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1968/1/1,1968/1/10,69.5,0,8,1,11.7,0,8,1,8.8,8,1,-4.1,8,1,2.5,8,1
1968/1/11,1968/1/20,29.5,0,8,1,6.8,0,8,1,9.0,8,1,-3.9,8,1,1.1,8,1
1968/1/21,1968/1/31,35.5,0,8,1,16.6,0,8,1,4.4,8,1,-6.8,8,1,0.1,8,1
1968/2/1,1968/2/10,27.0,0,8,1,15.4,0,8,1,5.6,8,1,-5.4,8,1,-0.2,8,1
1968/2/11,1968/2/20,40.5,0,8,1,26.9,0,8,1,5.4,8,1,-5.9,8,1,0.2,8,1
1968/2/21,1968/2/29,51.0,0,8,1,30.2,0,8,1,8.0,8,1,-5.9,8,1,0.8,8,1
1968/3/1,1968/3/10,50.5,0,8,1,33.8,0,8,1,11.2,8,1,-2.9,8,1,2.8,8,1
1968/3/11,1968/3/20,34.5,0,8,1,48.5,0,8,1,16.8,8,1,-1.1,8,1,5.0,8,1
1968/3/21,1968/3/31,24.0,0,8,1,65.1,0,8,1,17.4,8,1,-0.7,8,1,7.2,8,1
1968/4/1,1968/4/10,34.5,0,8,1,64.4,0,8,1,16.1,8,1,0.4,8,1,8.5,8,1
1968/4/11,1968/4/20,23.5,0,8,1,44.5,0,8,1,17.5,8,1,0.7,8,1,9.3,8,1
1968/4/21,1968/4/30,10.0,0,8,1,59.2,0,8,1,19.8,8,1,3.8,8,1,12.2,8,1
1968/5/1,1968/5/10,93.5,0,8,1,72.8,0,8,1,24.2,8,1,4.4,8,1,13.2,8,1
1968/5/11,1968/5/20,49.0,0,8,1,68.6,0,8,1,25.3,8,1,6.2,8,1,14.6,8,1
1968/5/21,1968/5/31,51.0,0,8,1,55.0,0,8,1,22.5,8,1,9.0,8,1,14.8,8,1
1968/6/1,1968/6/10,40.0,0,8,1,90.3,0,8,1,25.8,8,1,10.2,8,1,18.5,8,1
1968/6/11,1968/6/20,46.5,0,8,1,68.9,0,8,1,28.0,8,1,15.1,8,1,19.3,8,1
1968/6/21,1968/6/30,0.0,0,8,1,98.0,0,8,1,28.1,8,1,12.6,8,1,20.8,8,1
1968/7/1,1968/7/10,13.5,0,8,1,78.3,0,8,1,27.5,8,1,11.6,8,1,20.7,8,1
1968/7/11,1968/7/20,126.5,0,8,1,67.1,0,8,1,29.2,8,1,17.5,8,1,23.2,8,1
1968/7/21,1968/7/31,22.5,0,8,1,109.9,0,8,1,33.3,8,1,20.9,8,1,26.7,8,1
1968/8/1,1968/8/10,39.0,0,8,1,74.3,0,8,1,31.7,8,1,20.6,8,1,26.2,8,1
1968/8/11,1968/8/20,185.0,0,8,1,46.4,0,8,1,31.3,8,1,19.0,8,1,24.7,8,1
