ダウンロードした時刻：2018/11/14 09:40:40

集計開始,集計終了,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年月日,年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
1988/1/1,1988/1/10,14.6,0,8,1,9.0,8,1,-2.8,8,1,2.5,8,1,-0.2,8,1,5.5,8,1,69.5,0,8,1,17.5,0,8,1
1988/1/11,1988/1/20,15.1,0,8,1,11.0,8,1,-3.0,8,1,3.1,8,1,-0.4,8,1,6.3,8,1,27.0,0,8,1,7.0,0,8,1
1988/1/21,1988/1/31,6.4,0,8,1,14.8,8,1,-2.7,8,1,2.0,8,1,-0.5,8,1,4.7,8,1,95.5,0,8,1,27.5,0,8,1
1988/2/1,1988/2/10,11.7,0,8,1,9.2,8,1,-6.2,8,1,-0.4,8,1,-3.3,8,1,2.7,8,1,62.5,0,8,1,24.5,0,8,1
1988/2/11,1988/2/20,17.0,0,8,1,3.7,8,1,-6.0,8,1,-1.0,8,1,-3.3,8,1,1.4,8,1,19.0,0,8,1,3.5,0,8,1
1988/2/21,1988/2/29,29.1,0,8,1,5.0,8,1,-5.5,8,1,0.4,8,1,-1.8,8,1,2.9,8,1,17.5,0,8,1,7.5,0,8,1
1988/3/1,1988/3/10,20.0,0,8,1,6.2,8,1,-4.9,8,1,1.3,8,1,-1.7,8,1,4.1,8,1,40.0,0,8,1,9.0,0,8,1
1988/3/11,1988/3/20,31.3,0,8,1,15.5,8,1,-4.9,8,1,4.7,8,1,0.2,8,1,9.0,8,1,26.5,0,8,1,10.5,0,8,1
1988/3/21,1988/3/31,60.3,0,8,1,11.5,8,1,-1.2,8,1,5.0,8,1,1.0,8,1,8.9,8,1,9.5,0,8,1,6.0,0,8,1
1988/4/1,1988/4/10,65.0,0,5,1,16.0,8,1,-1.7,8,1,6.1,8,1,1.3,8,1,11.0,8,1,14.0,0,8,1,8.0,0,8,1
1988/4/11,1988/4/20,59.6,0,8,1,20.6,8,1,0.6,8,1,10.4,8,1,5.4,8,1,15.9,8,1,29.5,0,8,1,10.0,0,8,1
1988/4/21,1988/4/30,55.8,0,8,1,22.6,8,1,5.1,8,1,11.7,8,1,7.5,8,1,15.6,8,1,50.5,0,8,1,14.5,0,8,1
1988/5/1,1988/5/10,58.1,0,8,1,27.2,8,1,6.4,8,1,12.1,8,1,8.5,8,1,16.2,8,1,33.0,0,8,1,10.5,0,8,1
1988/5/11,1988/5/20,65.0,0,8,1,28.3,8,1,9.8,8,1,15.4,8,1,11.6,8,1,19.5,8,1,53.0,0,8,1,26.0,0,8,1
1988/5/21,1988/5/31,58.1,0,8,1,22.8,8,1,8.7,8,1,14.4,8,1,11.2,8,1,18.1,8,1,26.5,0,8,1,14.0,0,8,1
1988/6/1,1988/6/10,29.4,0,8,1,26.4,8,1,13.5,8,1,18.3,8,1,15.4,8,1,21.9,8,1,48.5,0,8,1,18.5,0,8,1
1988/6/11,1988/6/20,63.2,0,8,1,25.9,8,1,12.2,8,1,18.4,8,1,14.7,8,1,22.5,8,1,12.5,0,8,1,5.5,0,8,1
1988/6/21,1988/6/30,65.6,0,8,1,29.8,8,1,13.7,8,1,21.7,8,1,17.8,8,1,25.6,8,1,4.0,0,8,1,2.5,0,8,1
1988/7/1,1988/7/10,27.6,0,8,1,25.7,8,1,16.4,8,1,20.8,8,1,18.2,8,1,24.1,8,1,35.5,0,8,1,15.5,0,8,1
1988/7/11,1988/7/20,35.2,0,8,1,27.2,8,1,16.6,8,1,21.6,8,1,18.7,8,1,25.3,8,1,33.5,0,8,1,12.0,0,8,1
1988/7/21,1988/7/31,96.7,0,8,1,28.6,8,1,14.9,8,1,21.0,8,1,17.5,8,1,25.4,8,1,25.0,0,8,1,13.0,0,8,1
1988/8/1,1988/8/10,90.0,0,8,1,33.5,8,1,16.7,8,1,25.4,8,1,21.4,8,1,29.8,8,1,63.5,0,8,1,63.5,0,8,1
1988/8/11,1988/8/20,81.9,0,8,1,33.8,8,1,21.6,8,1,27.1,8,1,23.6,8,1,31.6,8,1,1.0,0,8,1,1.0,0,8,1
1988/8/21,1988/8/31,49.7,0,8,1,34.1,8,1,19.9,8,1,26.3,8,1,23.3,8,1,30.8,8,1,31.5,0,8,1,21.5,0,8,1
1988/9/1,1988/9/10,46.7,0,8,1,27.4,8,1,16.7,8,1,21.9,8,1,18.9,8,1,25.7,8,1,47.0,0,8,1,34.5,0,8,1
1988/9/11,1988/9/20,57.3,0,8,1,29.8,8,1,15.4,8,1,21.8,8,1,17.8,8,1,25.9,8,1,64.5,0,8,1,32.5,0,8,1
1988/9/21,1988/9/30,38.2,0,8,1,25.7,8,1,12.3,8,1,18.7,8,1,15.4,8,1,22.1,8,1,40.0,0,8,1,26.0,0,8,1
1988/10/1,1988/10/10,61.0,0,8,1,22.5,8,1,8.6,8,1,16.8,8,1,12.7,8,1,21.1,8,1,47.5,0,8,1,27.0,0,8,1
1988/10/11,1988/10/20,39.8,0,5,1,20.4,8,1,6.7,8,1,13.5,8,1,8.9,8,1,18.1,8,1,89.5,0,8,1,36.0,0,8,1
1988/10/21,1988/10/31,44.1,0,8,1,20.5,8,1,3.4,8,1,11.8,8,1,8.0,8,1,15.6,8,1,36.0,0,8,1,10.0,0,8,1
1988/11/1,1988/11/10,41.3,0,8,1,16.8,8,1,1.2,8,1,8.7,8,1,4.7,8,1,13.3,8,1,76.0,0,8,1,21.0,0,8,1
1988/11/11,1988/11/20,16.5,0,8,1,14.9,8,1,1.2,8,1,7.0,8,1,3.5,8,1,9.9,8,1,95.0,0,8,1,47.0,0,8,1
1988/11/21,1988/11/30,29.7,0,8,1,13.3,8,1,0.1,8,1,4.9,8,1,1.7,8,1,8.6,8,1,17.5,0,5,1,6.0,0,5,1
1988/12/1,1988/12/10,18.1,0,8,1,14.1,8,1,0.4,8,1,6.3,8,1,3.3,8,1,9.9,8,1,62.5,0,8,1,21.0,0,8,1
1988/12/11,1988/12/20,11.8,0,8,1,12.7,8,1,-1.2,8,1,4.4,8,1,1.7,8,1,7.6,8,1,41.5,0,8,1,10.0,0,8,1
