ダウンロードした時刻：2018/12/08 19:47:53

,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ
年月,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2000/1,35.7,0,8,1,10.9,8,1,-5.6,8,1,3.3,8,1,0.7,8,1,6.0,8,1,224.0,0,8,1,26.5,0,8,1,38.3,8,1,11.1,8,1,-4.2,8,1,3.4,8,1,1.2,8,1,5.8,8,1,164,8,1,27,8,1,40.8,8,1,8.2,8,1,-9.0,8,1,-0.1,8,1,-2.3,8,1,2.7,8,1,280,8,1,41,8,1,32.6,8,1,15.6,8,1,-5.4,8,1,4.0,8,1,1.5,8,1,6.3,8,1,164,8,1,26,8,1
2000/2,37.1,0,8,1,8.3,8,1,-4.1,8,1,1.7,8,1,-1.0,8,1,4.2,8,1,153.0,0,8,1,15.5,0,8,1,47.3,8,1,8.1,8,1,-3.4,8,1,1.5,8,1,-0.2,8,1,4.1,8,1,83,8,1,14,8,1,42.2,5,1,5.4,5,1,-11.2,5,1,-1.0,5,1,-3.1,5,1,1.5,5,1,240,5,1,23,5,1,35.7,8,1,6.7,8,1,-5.9,8,1,1.9,8,1,-0.2,8,1,3.8,8,1,138,8,1,14,8,1
2000/3,87.1,0,8,1,15.7,8,1,-4.0,8,1,4.2,8,1,0.7,8,1,7.7,8,1,119.0,0,8,1,26.5,0,8,1,109.8,8,1,14.8,8,1,-3.6,8,1,4.2,8,1,1.5,8,1,7.2,8,1,104,8,1,20,8,1,91.2,8,1,13.0,8,1,-6.3,8,1,1.2,8,1,-2.2,8,1,5.0,8,1,249,8,1,35,8,1,77.9,8,1,18.8,8,1,-2.7,8,1,4.5,8,1,1.4,8,1,7.4,8,1,113,8,1,19,8,1
2000/4,151.3,0,8,1,20.7,8,1,-1.1,8,1,9.7,8,1,5.7,8,1,13.7,8,1,135.0,0,8,1,23.5,0,8,1,176.7,8,1,18.6,8,1,2.7,8,1,9.0,8,1,6.0,8,1,12.5,8,1,69,8,1,12,8,1,124.7,8,1,18.7,8,1,-4.7,8,1,6.1,8,1,1.6,8,1,11.1,8,1,280,8,1,57,8,1,142.2,8,1,21.1,8,1,-1.1,8,1,9.3,8,1,5.8,8,1,12.7,8,1,99,8,1,16,8,1
2000/5,174.0,0,8,1,29.6,8,1,8.5,8,1,16.2,8,1,12.5,8,1,20.8,8,1,99.0,0,8,1,19.0,0,8,1,167.2,8,1,25.9,8,1,8.3,8,1,14.5,8,1,11.7,8,1,18.6,8,1,54,8,1,12,8,1,121.7,8,1,29.0,8,1,4.1,8,1,14.4,8,1,9.5,8,1,19.9,8,1,116,8,1,21,8,1,142.4,8,1,25.7,8,1,6.8,8,1,15.3,8,1,12.1,8,1,18.5,8,1,71,8,1,16,8,1
2000/6,151.5,0,8,1,30.0,8,1,10.9,8,1,19.9,8,1,16.5,8,1,23.8,8,1,76.5,0,8,1,26.0,0,8,1,127.9,8,1,26.8,8,1,8.1,8,1,18.3,8,1,15.2,8,1,22.2,8,1,75,8,1,27,8,1,103.2,8,1,30.3,8,1,7.2,8,1,18.6,8,1,14.1,8,1,23.5,8,1,115,8,1,42,8,1,81.3,8,1,27.4,8,1,10.3,8,1,19.2,8,1,15.9,8,1,21.9,8,1,68,8,1,19,8,1
2000/7,163.5,0,8,1,36.8,8,1,16.2,8,1,24.7,8,1,21.5,8,1,28.5,8,1,107.5,0,8,1,47.5,0,8,1,147.1,8,1,33.3,8,1,17.7,8,1,23.2,8,1,20.8,8,1,26.7,8,1,99,8,1,42,8,1,103.8,8,1,34.3,8,1,13.1,8,1,23.2,8,1,19.4,8,1,27.7,8,1,187,8,1,50,8,1,106.8,8,1,31.6,8,1,16.0,8,1,23.9,8,1,20.9,8,1,26.6,8,1,133,8,1,40,8,1
2000/8,300.6,0,8,1,35.2,8,1,20.3,8,1,26.9,8,1,22.7,8,1,31.7,8,1,89.0,0,8,1,38.0,0,8,1,290.2,8,1,32.7,8,1,18.3,8,1,25.9,8,1,22.4,8,1,30.1,8,1,4,8,1,3,8,1,218.4,8,1,33.9,8,1,15.7,8,1,24.5,8,1,19.9,8,1,30.2,8,1,71,8,1,21,8,1,270.0,8,1,33.7,8,1,19.9,8,1,26.1,8,1,22.3,8,1,29.2,8,1,25,8,1,13,8,1
2000/9,142.1,0,8,1,34.5,8,1,12.5,8,1,22.4,8,1,18.7,8,1,26.5,8,1,228.0,0,8,1,52.5,0,8,1,157.7,8,1,30.3,5,1,14.9,5,1,21.9,8,1,19.2,5,1,25.3,5,1,212,8,1,69,8,1,113.5,8,1,31.6,5,1,9.9,5,1,19.9,8,1,16.3,5,1,24.6,5,1,335,8,1,56,8,1,131.0,8,1,33.1,8,1,12.8,8,1,22.1,8,1,18.5,8,1,25.3,8,1,213,8,1,36,8,1
2000/10,151.4,0,8,1,25.4,8,1,6.8,8,1,15.2,8,1,11.0,8,1,19.5,8,1,97.5,0,8,1,22.0,0,8,1,150.9,8,1,25.2,8,1,8.0,8,1,15.0,8,1,12.2,8,1,18.7,8,1,104,8,1,17,8,1,130.5,8,1,22.4,8,1,0.8,8,1,11.9,8,1,7.4,8,1,16.9,8,1,135,8,1,33,8,1,142.6,8,1,24.8,5,1,6.9,4,1,15.2,8,1,11.7,5,1,18.5,5,1,119,8,1,17,8,1
2000/11,78.6,0,8,1,22.3,8,1,-0.8,8,1,9.1,8,1,5.1,8,1,13.4,8,1,146.0,0,8,1,30.5,0,8,1,76.8,8,1,20.7,8,1,2.0,8,1,9.3,8,1,6.5,8,1,12.7,8,1,142,8,1,30,8,1,68.5,8,1,17.7,8,1,-3.1,8,1,5.6,8,1,1.5,8,1,10.4,8,1,205,8,1,30,8,1,74.6,8,1,20.7,8,1,0.6,8,1,9.3,8,1,5.3,8,1,12.9,8,1,165,8,1,27,8,1
2000/12,45.9,0,8,1,14.0,8,1,-3.8,8,1,3.8,8,1,0.6,8,1,7.4,8,1,200.0,0,8,1,26.0,0,8,1,37.1,8,1,14.2,8,1,-3.5,8,1,4.2,8,1,1.6,8,1,7.0,8,1,80,8,1,13,8,1,52.4,8,1,9.9,8,1,-7.6,8,1,0.2,8,1,-2.8,8,1,3.8,8,1,297,8,1,34,8,1,44.3,5,1,13.7,5,1,-2.5,4,1,4.6,8,1,1.5,5,1,7.9,5,1,139,8,1,22,8,1
2001/1,30.9,0,8,1,8.5,8,1,-7.7,8,1,0.3,8,1,-1.9,8,1,2.6,8,1,171.0,0,8,1,28.0,0,8,1,21.1,8,1,9.1,8,1,-4.6,8,1,0.3,8,1,-1.3,8,1,2.3,8,1,16,4,1,8,4,1,31.8,8,1,5.7,8,1,-14.6,8,1,-2.3,8,1,-4.9,8,1,0.0,8,1,300,8,1,60,8,1,21.9,8,1,9.3,5,1,-5.7,5,1,0.7,8,1,-1.5,5,1,2.8,5,1,115,8,1,28,8,1
2001/2,41.2,0,8,1,10.1,8,1,-4.5,8,1,0.9,8,1,-1.9,8,1,3.5,8,1,98.0,0,8,1,14.0,0,8,1,38.1,8,1,11.2,8,1,-4.9,8,1,0.6,8,1,-1.7,8,1,2.9,8,1,87,8,1,26,8,1,36.3,8,1,8.7,8,1,-8.6,8,1,-1.7,8,1,-4.5,8,1,1.3,8,1,136,8,1,14,8,1,26.2,8,1,10.7,8,1,-4.6,8,1,1.1,8,1,-1.4,8,1,3.1,8,1,70,8,1,19,8,1
2001/3,112.4,0,8,1,20.1,8,1,-4.4,8,1,4.4,8,1,0.4,8,1,8.6,8,1,114.0,0,8,1,11.5,0,8,1,141.7,8,1,16.9,8,1,-2.4,8,1,4.4,8,1,1.5,8,1,7.7,8,1,89,8,1,16,8,1,125.6,8,1,14.7,8,1,-9.1,8,1,1.1,8,1,-2.7,8,1,5.5,8,1,216,8,1,29,8,1,113.8,8,1,18.6,8,1,-5.1,8,1,4.7,8,1,1.3,8,1,7.8,8,1,88,5,1,17,5,1
2001/4,244.1,0,8,1,26.4,8,1,0.5,8,1,11.2,8,1,5.9,8,1,16.6,8,1,52.5,0,8,1,22.5,0,8,1,253.0,8,1,23.8,8,1,2.2,8,1,10.3,8,1,6.9,8,1,14.5,8,1,36,8,1,11,8,1,213.5,8,1,24.2,8,1,-2.6,8,1,7.7,8,1,1.2,8,1,15.0,8,1,64,8,1,13,8,1,212.4,8,1,20.6,8,1,0.4,8,1,10.3,8,1,6.0,8,1,13.9,8,1,60,8,1,21,8,1
2001/5,174.4,0,8,1,28.5,8,1,7.3,8,1,16.6,8,1,12.4,8,1,21.2,8,1,82.0,0,8,1,23.5,0,8,1,165.5,8,1,25.0,8,1,8.0,8,1,14.9,8,1,11.6,8,1,18.9,8,1,64,8,1,28,8,1,146.3,8,1,27.7,8,1,2.5,8,1,14.4,8,1,9.0,8,1,20.0,8,1,86,8,1,24,8,1,138.0,8,1,26.6,8,1,7.5,8,1,15.7,8,1,12.1,8,1,19.1,8,1,70,8,1,23,8,1
2001/6,140.5,0,8,1,30.4,8,1,11.5,8,1,19.6,8,1,16.5,8,1,22.8,8,1,185.5,0,8,1,50.0,0,8,1,133.8,8,1,26.6,8,1,10.8,8,1,18.0,8,1,15.0,8,1,21.5,8,1,285,8,1,114,8,1,74.4,8,1,26.9,8,1,7.8,8,1,18.2,8,1,14.4,8,1,22.1,8,1,289,8,1,93,8,1,79.1,8,1,26.2,8,1,12.3,8,1,18.8,8,1,16.1,8,1,21.1,8,1,187,8,1,73,8,1
2001/7,179.8,0,8,1,32.9,8,1,15.5,8,1,24.7,8,1,21.2,8,1,28.9,8,1,124.5,0,8,1,47.0,0,8,1,163.4,8,1,30.0,8,1,14.5,8,1,22.9,8,1,20.3,8,1,26.2,8,1,141,8,1,51,8,1,112.3,8,1,33.2,8,1,12.3,8,1,23.0,8,1,18.9,8,1,27.9,8,1,206,8,1,101,8,1,113.6,8,1,31.9,8,1,14.7,8,1,24.0,8,1,21.0,8,1,27.0,8,1,122,8,1,31,8,1
2001/8,214.7,0,8,1,33.6,8,1,18.3,8,1,24.8,8,1,21.2,8,1,29.4,8,1,166.5,0,8,1,56.5,0,8,1,220.3,8,1,30.7,8,1,17.6,8,1,24.0,8,1,20.9,8,1,28.0,8,1,196,8,1,107,8,1,142.9,8,1,31.1,8,1,12.4,8,1,22.4,8,1,18.6,8,1,27.0,8,1,172,8,1,75,8,1,184.7,8,1,30.7,8,1,17.3,8,1,24.4,8,1,21.0,8,1,27.5,8,1,94,8,1,18,8,1
