集計開始,集計終了,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年月日,年月日,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2015/1/1,2015/1/10,3.9,8,1,-0.9,8,1,55.5,0,8,1,13.5,0,8,1,5.6,0,8,1,3.6,8,1,-0.5,8,1,22.0,8,1,9.0,8,1,5.0,8,1
2015/1/11,2015/1/20,4.9,8,1,-0.3,8,1,26.5,0,8,1,9.5,0,8,1,5.6,0,8,1,5.3,8,1,0.7,8,1,16.0,8,1,6.5,8,1,8.9,8,1
2015/1/21,2015/1/31,5.1,8,1,0.0,8,1,69.0,0,8,1,45.5,0,8,1,18.5,0,8,1,5.5,8,1,0.4,8,1,28.5,8,1,14.0,8,1,14.1,8,1
2015/2/1,2015/2/10,4.1,8,1,-0.8,8,1,30.5,0,8,1,12.0,0,8,1,18.3,0,8,1,4.2,8,1,-0.7,8,1,15.0,8,1,5.0,8,1,13.3,8,1
2015/2/11,2015/2/20,5.9,8,1,0.2,8,1,29.0,0,8,1,13.5,0,8,1,19.7,0,8,1,6.3,8,1,0.9,8,1,31.0,8,1,9.5,8,1,25.9,8,1
2015/2/21,2015/2/28,8.6,8,1,1.6,8,1,22.0,0,8,1,7.0,0,8,1,29.7,0,8,1,8.6,8,1,2.1,8,1,21.0,8,1,7.0,8,1,33.0,8,1
2015/3/1,2015/3/10,9.0,8,1,1.8,8,1,70.0,0,8,1,24.5,0,8,1,30.4,0,8,1,8.3,8,1,2.3,8,1,64.0,8,1,16.0,8,1,27.5,8,1
2015/3/11,2015/3/20,9.7,8,1,2.6,8,1,12.0,0,8,1,10.5,0,8,1,44.6,0,8,1,9.3,8,1,3.2,8,1,6.5,8,1,6.5,8,1,48.7,8,1
2015/3/21,2015/3/31,12.0,8,1,3.1,8,1,19.0,0,8,1,6.0,0,8,1,59.6,0,8,1,11.0,8,1,4.4,8,1,4.5,8,1,2.5,8,1,58.2,8,1
2015/4/1,2015/4/10,13.5,8,1,4.7,8,1,58.5,0,8,1,18.0,0,8,1,43.6,0,8,1,11.9,8,1,4.4,8,1,34.5,8,1,11.0,8,1,48.5,8,1
2015/4/11,2015/4/20,14.8,8,1,7.4,8,1,69.5,0,8,1,29.0,0,8,1,34.2,0,8,1,13.3,8,1,8.1,8,1,67.0,8,1,39.0,8,1,30.0,8,1
2015/4/21,2015/4/30,20.3,8,1,7.7,8,1,10.5,0,8,1,10.5,0,8,1,106.4,0,8,1,17.6,8,1,9.4,8,1,3.5,8,1,3.5,8,1,97.4,8,1
2015/5/1,2015/5/10,21.5,8,1,11.0,8,1,24.0,0,8,1,24.0,0,8,1,84.7,0,8,1,20.0,8,1,10.4,8,1,15.0,8,1,15.0,8,1,79.6,8,1
2015/5/11,2015/5/20,21.6,8,1,12.5,8,1,30.5,0,8,1,14.0,0,8,1,55.3,0,8,1,18.8,8,1,11.3,8,1,17.0,8,1,6.5,8,1,54.7,8,1
2015/5/21,2015/5/31,24.7,8,1,14.1,8,1,4.0,0,8,1,4.0,0,8,1,110.5,0,8,1,22.9,8,1,13.7,8,1,1.0,8,1,1.0,8,1,108.5,8,1
2015/6/1,2015/6/10,23.3,8,1,14.3,8,1,21.5,0,8,1,11.0,0,8,1,64.8,0,8,1,21.4,8,1,13.7,8,1,11.0,8,1,4.5,8,1,62.3,8,1
2015/6/11,2015/6/20,26.7,8,1,18.2,8,1,21.0,0,8,1,20.0,0,8,1,83.9,0,8,1,24.6,8,1,16.9,8,1,13.0,8,1,13.0,8,1,76.1,8,1
2015/6/21,2015/6/30,25.4,8,1,17.7,8,1,36.5,0,8,1,30.5,0,8,1,67.1,0,8,1,23.5,8,1,16.3,8,1,40.0,8,1,30.5,8,1,54.2,8,1
2015/7/1,2015/7/10,25.2,8,1,18.0,8,1,12.5,0,8,1,12.0,0,8,1,80.3,0,8,1,23.9,8,1,16.6,8,1,5.0,8,1,5.0,8,1,75.6,8,1
2015/7/11,2015/7/20,29.9,8,1,21.3,8,1,16.0,0,8,1,9.0,0,8,1,59.8,0,8,1,27.6,8,1,20.0,8,1,15.5,8,1,7.5,8,1,46.9,8,1
2015/7/21,2015/7/31,30.2,8,1,23.4,8,1,52.0,0,8,1,39.0,0,8,1,62.5,0,8,1,29.0,8,1,22.9,8,1,44.0,8,1,34.5,8,1,62.6,8,1
2015/8/1,2015/8/10,32.0,8,1,23.6,8,1,0,1,8,1,0,1,8,1,98.3,0,8,1,31.9,8,1,23.4,8,1,0.0,8,1,0.0,8,1,88.1,8,1
2015/8/11,2015/8/20,28.7,8,1,21.5,8,1,105.5,0,8,1,52.5,0,8,1,46.4,0,8,1,27.8,8,1,21.7,8,1,42.0,8,1,29.0,8,1,48.6,8,1
2015/8/21,2015/8/31,26.9,8,1,20.2,8,1,30.0,0,8,1,16.5,0,8,1,41.6,0,8,1,25.5,8,1,19.9,8,1,56.5,8,1,23.5,8,1,40.3,8,1
2015/9/1,2015/9/10,26.1,8,1,19.4,8,1,70.5,0,8,1,25.5,0,8,1,21.6,0,8,1,24.6,8,1,18.4,8,1,56.5,8,1,19.0,8,1,22.5,8,1
2015/9/11,2015/9/20,24.3,8,1,16.2,8,1,99.5,0,8,1,29.5,0,8,1,50.6,0,8,1,23.3,8,1,16.5,8,1,43.5,8,1,13.5,8,1,49.3,8,1
2015/9/21,2015/9/30,23.4,8,1,14.9,8,1,16.5,0,8,1,11.5,0,8,1,59.9,0,8,1,22.8,8,1,15.9,8,1,15.0,8,1,6.0,8,1,51.8,8,1
2015/10/1,2015/10/10,21.4,8,1,11.6,8,1,93.5,0,8,1,26.5,0,8,1,68.1,0,8,1,20.0,8,1,13.2,8,1,80.5,4,1,43.5,4,1,58.3,5,1
