ダウンロードした時刻：2018/11/12 12:03:35

集計開始,集計終了,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年月日,年月日,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,2017/1/5,7.1,8,1,1.5,8,1,56.5,0,8,1,24.5,0,8,1,5.3,0,8,1,6.9,8,1,2.3,8,1,27.5,8,1,16.5,8,1,3.8,8,1
2017/1/6,2017/1/10,6.2,8,1,0.8,8,1,20.0,0,8,1,9.5,0,8,1,8.5,0,8,1,6.1,8,1,1.9,8,1,14.5,8,1,8.0,8,1,7.1,8,1
2017/1/11,2017/1/15,1.0,8,1,-3.2,8,1,36.5,0,8,1,19.5,0,8,1,1.0,0,8,1,0.9,8,1,-3.3,8,1,20.0,8,1,17.0,8,1,0.9,8,1
2017/1/16,2017/1/20,4.4,8,1,-1.2,8,1,20.0,0,8,1,7.0,0,8,1,14.1,0,8,1,5.5,8,1,0.8,8,1,14.0,8,1,7.0,8,1,15.3,8,1
2017/1/21,2017/1/25,3.1,8,1,-1.5,8,1,38.5,0,8,1,14.5,0,8,1,7.5,0,8,1,3.1,8,1,-1.2,8,1,19.0,8,1,7.5,8,1,5.3,8,1
2017/1/26,2017/1/31,6.7,8,1,0.1,8,1,24.5,0,8,1,18.0,0,8,1,11.4,0,8,1,7.2,8,1,0.2,8,1,20.0,8,1,15.0,8,1,8.2,8,1
2017/2/1,2017/2/5,5.7,8,1,-0.5,8,1,21.5,0,8,1,8.0,0,8,1,7.7,0,8,1,5.4,8,1,-0.3,8,1,11.0,8,1,5.5,8,1,4.2,8,1
2017/2/6,2017/2/10,5.1,8,1,0.1,8,1,32.0,0,8,1,22.0,0,8,1,5.8,0,8,1,4.5,8,1,0.1,8,1,32.0,8,1,15.0,8,1,2.4,8,1
2017/2/11,2017/2/15,4.9,8,1,0.6,8,1,37.5,0,8,1,16.0,0,8,1,2.8,0,8,1,5.5,8,1,0.6,8,1,18.5,8,1,7.0,8,1,4.2,8,1
2017/2/16,2017/2/20,7.6,8,1,0.3,8,1,32.5,0,8,1,19.5,0,8,1,7.0,0,8,1,7.2,8,1,1.0,8,1,47.5,8,1,31.5,8,1,4.1,8,1
2017/2/21,2017/2/25,5.7,8,1,0.2,8,1,29.0,0,8,1,21.0,0,8,1,8.7,0,8,1,5.2,8,1,-0.3,8,1,17.5,8,1,14.0,8,1,10.0,8,1
2017/2/26,2017/2/28,5.5,8,1,-0.7,8,1,3.5,0,8,1,3.0,0,8,1,20.6,0,8,1,5.5,8,1,-0.8,8,1,0.5,8,1,0.5,8,1,16.4,8,1
2017/3/1,2017/3/5,8.5,8,1,0.8,8,1,3.0,0,8,1,2.0,0,8,1,19.2,0,8,1,7.8,8,1,1.6,8,1,12.5,8,1,12.0,8,1,19.5,8,1
2017/3/6,2017/3/10,7.7,8,1,1.0,8,1,10.5,0,8,1,4.0,0,8,1,17.7,0,8,1,6.7,8,1,0.1,8,1,16.0,8,1,8.0,8,1,17.2,8,1
2017/3/11,2017/3/15,8.3,8,1,1.1,8,1,23.5,0,8,1,18.0,0,8,1,16.1,0,8,1,7.8,8,1,1.9,8,1,17.0,8,1,14.0,8,1,15.7,8,1
2017/3/16,2017/3/20,9.9,8,1,3.0,8,1,13.0,0,8,1,9.5,0,8,1,34.4,0,8,1,10.6,8,1,3.0,8,1,6.0,8,1,4.0,8,1,31.0,8,1
2017/3/21,2017/3/25,8.4,8,1,2.6,8,1,18.5,0,8,1,11.0,0,8,1,18.5,0,8,1,9.0,8,1,1.8,8,1,10.0,8,1,8.5,8,1,21.2,8,1
2017/3/26,2017/3/31,10.1,8,1,1.4,8,1,17.0,0,8,1,13.5,0,8,1,29.2,0,8,1,9.6,8,1,3.3,8,1,6.0,8,1,5.0,8,1,29.2,8,1
2017/4/1,2017/4/5,12.3,8,1,1.7,8,1,2.0,0,8,1,1.5,0,8,1,36.0,0,8,1,12.5,8,1,3.8,8,1,0.5,8,1,0.5,8,1,30.9,8,1
2017/4/6,2017/4/10,15.0,8,1,6.4,8,1,15.0,0,8,1,12.5,0,8,1,19.1,0,8,1,13.4,8,1,7.0,8,1,10.0,8,1,8.0,8,1,17.9,8,1
2017/4/11,2017/4/15,14.1,8,1,5.4,8,1,20.5,0,8,1,13.0,0,8,1,22.5,0,8,1,12.2,8,1,6.3,8,1,24.5,8,1,15.0,8,1,21.5,8,1
2017/4/16,2017/4/20,17.4,8,1,7.8,8,1,19.0,0,8,1,9.0,0,8,1,19.6,0,8,1,13.4,8,1,7.3,8,1,8.5,8,1,4.0,8,1,17.0,8,1
2017/4/21,2017/4/25,16.6,8,1,6.3,8,1,2.0,0,8,1,1.5,0,8,1,36.0,0,8,1,15.5,8,1,6.4,8,1,1.5,8,1,1.5,8,1,36.2,8,1
2017/4/26,2017/4/30,17.0,8,1,9.1,8,1,41.5,0,8,1,38.5,0,8,1,33.6,0,8,1,14.8,8,1,8.5,8,1,38.0,8,1,31.5,8,1,28.7,8,1
2017/5/1,2017/5/5,18.7,8,1,8.3,8,1,0.0,0,8,1,0.0,0,8,1,59.4,0,8,1,19.1,8,1,9.3,8,1,0.0,8,1,0.0,8,1,48.4,8,1
2017/5/6,2017/5/10,18.0,8,1,9.2,8,1,30.5,0,8,1,21.0,0,8,1,24.0,0,8,1,16.2,8,1,9.9,8,1,23.0,8,1,18.5,8,1,22.9,8,1
2017/5/11,2017/5/15,19.9,8,1,13.1,8,1,25.0,0,8,1,7.5,0,8,1,18.5,0,8,1,17.3,8,1,12.0,8,1,13.0,8,1,6.0,8,1,18.0,8,1
