ダウンロードした時刻：2018/11/04 12:47:36

,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年月,平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
1987/1,1.1,8,1,4.0,8,1,-1.8,8,1,140.5,0,8,1
1987/2,1.9,8,1,4.9,8,1,-0.9,8,1,115.0,0,8,1
1987/3,4.3,8,1,7.9,8,1,0.7,8,1,134.0,0,8,1
1987/4,9.4,8,1,14.5,8,1,4.0,8,1,41.5,0,8,1
1987/5,15.4,8,1,20.5,8,1,10.7,8,1,105.0,0,8,1
1987/6,20.1,8,1,24.8,8,1,15.5,8,1,46.0,0,8,1
1987/7,23.5,8,1,27.2,8,1,20.4,8,1,291.5,0,8,1
1987/8,24.6,8,1,28.4,8,1,21.2,8,1,364.5,0,8,1
1987/9,21.3,8,1,25.8,8,1,17.6,8,1,102.0,0,8,1
1987/10,15.5,8,1,20.1,8,1,11.0,8,1,82.5,0,8,1
1987/11,8.8,8,1,12.8,8,1,4.9,8,1,174.0,0,8,1
1987/12,4.6,8,1,8.0,8,1,1.5,8,1,162.5,0,8,1
1988/1,2.5,8,1,5.5,8,1,-0.4,8,1,192.0,0,8,1
1988/2,-0.3,8,1,2.3,8,1,-2.9,8,1,99.0,0,8,1
1988/3,3.7,8,1,7.4,8,1,-0.1,8,1,76.0,0,8,1
1988/4,9.4,8,1,14.2,8,1,4.7,8,1,94.0,0,8,1
1988/5,14.0,8,1,18.0,8,1,10.4,8,1,112.5,0,8,1
1988/6,19.4,8,1,23.4,8,1,16.0,8,1,65.0,0,8,1
1988/7,21.1,8,1,24.9,8,1,18.1,8,1,94.0,0,8,1
1988/8,26.3,8,1,30.7,8,1,22.8,8,1,96.0,0,8,1
1988/9,20.8,8,1,24.6,8,1,17.4,8,1,151.5,0,8,1
1988/10,14.0,8,1,18.2,8,1,9.8,8,1,173.0,0,8,1
1988/11,6.9,8,1,10.6,8,1,3.3,8,1,188.5,0,5,1
1988/12,4.2,8,1,7.3,8,1,1.5,8,1,127.0,0,8,1
1989/1,3.0,8,1,5.9,8,1,0.0,8,1,123.5,0,8,1
1989/2,3.1,8,1,5.9,8,1,0.4,8,1,124.0,0,8,1
1989/3,6.0,8,1,9.5,8,1,2.8,8,1,83.5,0,8,1
1989/4,10.4,8,1,15.0,8,1,6.1,8,1,160.0,0,8,1
