ダウンロードした時刻：2019/02/28 07:54:35

,,,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,
,,,,品質情報,,品質情報,,品質情報
1970,1,1,,1,,1,,1
1970,1,2,,1,,1,,1
1970,1,3,,1,,1,,1
1970,1,4,,1,,1,,1
1970,1,5,,1,,1,,1
1970,1,6,,1,,1,,1
1970,1,7,,1,,1,,1
1970,1,8,,1,,1,,1
1970,1,9,,1,,1,,1
1970,1,10,,1,,1,,1
1970,1,11,,1,,1,,1
1970,1,12,,1,,1,,1
1970,1,13,,1,,1,,1
1970,1,14,,1,,1,,1
1970,1,15,,1,,1,,1
1970,1,16,,1,,1,,1
1970,1,17,,1,,1,,1
1970,1,18,,1,,1,,1
1970,1,19,,1,,1,,1
1970,1,20,,1,,1,,1
1970,1,21,,1,,1,,1
1970,1,22,,1,,1,,1
1970,1,23,,1,,1,,1
1970,1,24,,1,,1,,1
1970,1,25,,1,,1,,1
1970,1,26,,1,,1,,1
1970,1,27,,1,,1,,1
1970,1,28,,1,,1,,1
1970,1,29,,1,,1,,1
1970,1,30,,1,,1,,1
1970,1,31,,1,,1,,1
1970,2,1,,1,,1,,1
1970,2,2,,1,,1,,1
1970,2,3,,1,,1,,1
1970,2,4,,1,,1,,1
1970,2,5,,1,,1,,1
1970,2,6,,1,,1,,1
1970,2,7,,1,,1,,1
1970,2,8,,1,,1,,1
1970,2,9,,1,,1,,1
1970,2,10,,1,,1,,1
1970,2,11,,1,,1,,1
1970,2,12,,1,,1,,1
1970,2,13,,1,,1,,1
1970,2,14,,1,,1,,1
1970,2,15,,1,,1,,1
1970,2,16,,1,,1,,1
1970,2,17,,1,,1,,1
1970,2,18,,1,,1,,1
1970,2,19,,1,,1,,1
1970,2,20,,1,,1,,1
1970,2,21,,1,,1,,1
1970,2,22,,1,,1,,1
1970,2,23,,1,,1,,1
1970,2,24,,1,,1,,1
1970,2,25,,1,,1,,1
1970,2,26,,1,,1,,1
1970,2,27,,1,,1,,1
1970,2,28,,1,,1,,1
1970,3,1,,1,,1,,1
1970,3,2,,1,,1,,1
1970,3,3,,1,,1,,1
1970,3,4,,1,,1,,1
1970,3,5,,1,,1,,1
1970,3,6,-1.3,8,-2.5,8,-4.7,8
1970,3,7,0.5,8,-1.3,8,-4.1,8
1970,3,8,3.0,8,1.3,8,-0.8,8
1970,3,9,6.6,8,2.6,8,0.8,8
1970,3,10,4.8,8,2.5,8,0.2,8
1970,3,11,3.0,8,0.7,8,-1.9,8
1970,3,12,1.2,8,-0.6,8,-2.9,8
1970,3,13,1.0,8,-0.9,8,-3.6,8
1970,3,14,1.1,8,-0.4,8,-3.1,8
1970,3,15,4.2,8,1.5,8,-1.7,8
1970,3,16,10.9,8,6.1,8,2.3,8
1970,3,17,3.8,8,-0.6,8,-4.5,8
1970,3,18,1.3,8,-0.6,8,-3.8,8
1970,3,19,1.4,8,-0.9,8,-2.6,8
1970,3,20,2.5,8,-0.4,8,-3.6,8
1970,3,21,0.9,8,-0.8,8,-3.6,8
1970,3,22,2.8,8,-0.3,8,-2.4,8
1970,3,23,2.1,8,0.1,8,-2.9,8
1970,3,24,3.8,8,1.1,8,-1.2,8
1970,3,25,3.8,8,1.7,8,-1.5,8
1970,3,26,5.6,8,3.1,8,0.3,8
1970,3,27,9.9,8,4.3,8,-0.1,8
1970,3,28,11.1,8,5.1,8,0.5,8
1970,3,29,13.1,8,6.4,8,-0.6,8
