ダウンロードした時刻：2019/01/25 20:03:21

集計開始,,,集計終了,,,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川
年,月,日,年,月,日,日照時間(時間),日照時間(時間),日照時間(時間),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃)
,,,,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1989,1,1,1989,1,10,37.4,8,1,-5.4,8,1,12,8,1,-11.9,8,1,-0.9,8,1,21.2,0,8,1,-4.8,8,1,19.0,0,8,1,-10.3,8,1,-0.7,8,1
1989,1,11,1989,1,20,49.7,8,1,-7.0,8,1,7,8,1,-14.1,8,1,-2.4,8,1,26.6,0,8,1,-5.2,8,1,13.0,0,8,1,-9.8,8,1,-1.8,8,1
1989,1,21,1989,1,31,51.5,8,1,-7.8,8,1,28,8,1,-14.7,8,1,-2.7,8,1,30.8,0,8,1,-6.6,8,1,35.0,0,8,1,-12.1,8,1,-2.6,8,1
1989,2,1,1989,2,10,60.1,8,1,-7.2,8,1,9,8,1,-13.4,8,1,-2.8,8,1,36.9,0,8,1,-5.1,8,1,9.5,0,8,1,-10.4,8,1,-1.0,8,1
1989,2,11,1989,2,20,67.6,8,1,-7.2,8,1,5,8,1,-14.9,8,1,-1.1,8,1,42.9,0,8,1,-4.5,8,1,4.0,0,8,1,-11.1,8,1,0.3,8,1
1989,2,21,1989,2,28,59.0,8,1,-6.5,8,1,6,8,1,-14.6,8,1,-0.6,8,1,31.2,0,8,1,-4.4,8,1,6.0,0,8,1,-10.5,8,1,0.1,8,1
1989,3,1,1989,3,10,62.1,8,1,-2.0,8,1,20,8,1,-6.5,8,1,1.4,8,1,30.2,0,8,1,-1.2,8,1,31.5,0,8,1,-5.0,8,1,2.1,8,1
1989,3,11,1989,3,20,55.7,8,1,0.0,8,1,15,8,1,-3.7,8,1,3.1,8,1,27.7,0,8,1,0.6,8,1,20.0,0,8,1,-2.7,8,1,4.1,8,1
1989,3,21,1989,3,31,74.4,8,1,1.9,8,1,18,8,1,-2.0,8,1,6.5,8,1,53.5,0,8,1,2.3,8,1,16.5,0,8,1,-1.7,8,1,6.6,8,1
1989,4,1,1989,4,10,60.5,8,1,5.4,8,1,38,8,1,0.8,8,1,10.7,8,1,47.1,0,8,1,5.6,8,1,33.0,0,8,1,0.9,8,1,11.1,8,1
1989,4,11,1989,4,20,64.0,8,1,7.6,8,1,24,8,1,2.2,8,1,14.4,8,1,51.6,0,8,1,7.2,8,1,19.0,0,8,1,2.3,8,1,13.8,8,1
1989,4,21,1989,4,30,62.7,8,1,4.7,8,1,6,8,1,0.2,8,1,9.0,8,1,50.2,0,8,1,4.7,8,1,2.5,0,8,1,-0.1,8,1,10.4,8,1
1989,5,1,1989,5,10,9.9,4,2,9.2,8,1,2,8,1,3.2,8,1,15.0,8,1,62.5,0,8,1,9.4,8,1,1.5,0,8,1,4.0,8,1,15.4,8,1
1989,5,11,1989,5,20,48.1,8,2,10.3,8,1,23,8,1,5.0,8,1,15.3,8,1,56.8,0,8,1,11.0,8,1,27.5,0,8,1,5.4,8,1,16.4,8,1
1989,5,21,1989,5,31,55.7,8,2,12.5,8,1,55,8,1,6.8,8,1,18.2,8,1,70.6,0,8,1,12.8,8,1,30.5,0,8,1,7.1,8,1,19.1,8,1
1989,6,1,1989,6,10,63.1,8,2,13.0,8,1,16,8,1,6.9,8,1,19.5,8,1,82.3,0,8,1,12.9,8,1,22.5,0,8,1,6.9,8,1,19.3,8,1
