ダウンロードした時刻：2019/01/25 20:58:20

,,,飛島,飛島,飛島,酒田,酒田,酒田,にかほ,にかほ,にかほ
年,月,日,最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1980,12,15,1.7,8,1,0.7,8,1,2.1,8,1
1980,12,16,2.7,8,1,3.6,8,1,3.5,8,1
1980,12,17,2.6,8,1,3.0,8,1,3.4,8,1
1980,12,18,1.4,8,1,0.4,8,1,1.3,8,1
1980,12,19,-0.1,4,1,0.2,8,1,-0.8,8,1
1980,12,20,0.3,8,1,-0.8,8,1,-0.6,8,1
1980,12,21,0.4,8,1,0.0,8,1,0.7,8,1
1980,12,22,1.4,8,1,1.5,8,1,0.9,8,1
1980,12,23,2.4,8,1,0.2,8,1,1.9,8,1
1980,12,24,2.9,8,1,1.8,8,1,1.1,8,1
1980,12,25,4.6,8,1,0.8,8,1,1.0,8,1
1980,12,26,1.8,8,1,0.1,8,1,1.5,8,1
1980,12,27,0.9,8,1,0.8,8,1,1.7,8,1
1980,12,28,1.7,8,1,0.6,8,1,1.2,8,1
1980,12,29,2.1,8,1,1.4,8,1,0.9,8,1
1980,12,30,2.5,8,1,0.4,8,1,1.1,8,1
1980,12,31,1.3,8,1,0.2,8,1,0.6,8,1
1981,1,1,2.2,8,1,0.4,8,1,0.4,8,1
1981,1,2,3.3,8,1,1.5,8,1,-0.6,8,1
1981,1,3,3.0,8,1,1.9,8,1,3.5,8,1
1981,1,4,1.2,8,1,0.2,8,1,0.8,8,1
1981,1,5,0.3,8,1,-0.7,8,1,-0.2,8,1
1981,1,6,-1.6,8,1,-1.7,8,1,-1.0,8,1
1981,1,7,-2.5,8,1,-3.0,8,1,-2.5,8,1
1981,1,8,-1.2,8,1,-2.0,8,1,-1.2,8,1
1981,1,9,1.4,8,1,0.5,8,1,1.7,8,1
1981,1,10,-0.7,8,1,-0.4,8,1,0.6,8,1
1981,1,11,-1.4,8,1,-1.9,8,1,-1.3,8,1
1981,1,12,-2.4,8,1,-2.1,8,1,-3.0,8,1
1981,1,13,-3.3,8,1,-3.6,8,1,-4.9,8,1
1981,1,14,-2.6,8,1,-10.4,8,1,-6.3,8,1
1981,1,15,-0.6,8,1,-4.3,8,1,-3.1,8,1
1981,1,16,-1.7,8,1,-8.9,8,1,-3.0,8,1
1981,1,17,-1.3,8,1,-5.4,8,1,-5.0,8,1
1981,1,18,-0.1,8,1,-0.3,8,1,-0.4,8,1
1981,1,19,-1.2,8,1,-1.0,8,1,-1.0,8,1
1981,1,20,-2.4,8,1,-3.0,8,1,-2.1,8,1
1981,1,21,-4.2,8,1,-4.2,8,1,-3.9,8,1
1981,1,22,-4.0,8,1,-4.7,8,1,-3.4,8,1
1981,1,23,-2.0,8,1,-1.7,8,1,-1.0,8,1
1981,1,24,0.5,8,1,0.2,8,1,0.4,8,1
