ダウンロードした時刻：2019/02/27 17:44:22

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(cm),平年値(cm),平年値(cm)
,,,,,,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報
1969,1,1,1969,1,10,3.7,8,,0,,1,,1,,1,,1,,1,,1,-4.1,8,,0,89.0,0,8,65.6,0,8,,,1,,,1,58,0,8,13,0,8
1969,1,11,1969,1,20,8.2,8,,0,,1,,1,,1,,1,,1,,1,-5.5,8,,0,70.0,0,8,48.8,0,8,,,1,,,1,40,0,8,17,0,8
1969,1,21,1969,1,31,8.7,8,,0,,1,,1,,1,,1,,1,,1,-4.5,8,,0,34.5,0,8,53.7,0,8,,,1,,,1,19,0,8,22,0,8
1969,2,1,1969,2,10,10.4,8,,0,,1,,1,,1,,1,,1,,1,-5.5,8,,0,36.5,0,8,41.7,0,8,,,1,,,1,8,0,8,22,0,8
1969,2,11,1969,2,20,13.8,8,,0,,1,,1,,1,,1,,1,,1,-4.6,8,,0,48.0,0,8,42.2,0,8,,,1,,,1,24,0,8,17,0,8
1969,2,21,1969,2,28,2.4,8,,0,,1,,1,,1,,1,,1,,1,-7.9,8,,0,32.5,0,8,30.2,0,8,,,1,,,1,25,0,8,13,0,8
1969,3,1,1969,3,10,8.1,8,,0,,1,,1,,1,,1,,1,,1,-5.3,8,,0,38.0,0,8,34.4,0,8,,,1,,,1,27,0,8,10,0,8
