ダウンロードした時刻：2019/01/25 20:59:10

,,,飛島,飛島,飛島,酒田,酒田,酒田,にかほ,にかほ,にかほ
年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1980,6,16,23.9,8,1,28.5,8,1,26.2,8,1
1980,6,17,22.1,8,1,22.8,8,1,24.7,8,1
1980,6,18,16.8,8,1,18.9,8,1,18.2,8,1
1980,6,19,16.3,8,1,18.0,8,1,18.3,8,1
1980,6,20,20.3,8,1,23.1,8,1,21.1,8,1
1980,6,21,23.0,8,1,25.8,8,1,23.1,8,1
1980,6,22,22.0,8,1,24.1,8,1,23.0,8,1
1980,6,23,22.9,8,1,27.3,8,1,25.5,8,1
1980,6,24,22.3,8,1,23.2,8,1,22.5,8,1
1980,6,25,20.9,8,1,23.1,8,1,21.9,8,1
1980,6,26,22.2,8,1,25.0,8,1,23.8,8,1
1980,6,27,20.5,8,1,21.9,8,1,22.9,8,1
1980,6,28,19.8,8,1,21.3,8,1,20.5,8,1
1980,6,29,22.5,8,1,25.2,8,1,23.6,8,1
1980,6,30,23.7,8,1,25.7,8,1,23.9,8,1
1980,7,1,23.0,8,1,24.6,8,1,25.7,8,1
1980,7,2,21.8,8,1,23.5,8,1,24.0,8,1
1980,7,3,21.6,8,1,22.8,8,1,22.0,8,1
1980,7,4,20.9,8,1,22.2,8,1,22.0,8,1
1980,7,5,22.3,8,1,24.5,8,1,22.3,8,1
1980,7,6,21.6,8,1,23.4,8,1,22.8,8,1
1980,7,7,21.6,8,1,23.0,8,1,21.5,8,1
1980,7,8,23.4,8,1,24.0,8,1,24.0,8,1
1980,7,9,24.0,8,1,25.9,8,1,25.0,8,1
1980,7,10,25.0,8,1,26.1,8,1,25.5,8,1
1980,7,11,24.0,8,1,25.8,8,1,24.1,8,1
1980,7,12,22.4,8,1,21.1,8,1,22.3,8,1
1980,7,13,23.9,8,1,25.7,8,1,24.1,8,1
1980,7,14,22.9,8,1,26.0,8,1,23.7,8,1
1980,7,15,21.3,8,1,22.0,8,1,21.4,8,1
1980,7,16,20.6,8,1,20.2,8,1,21.9,8,1
1980,7,17,20.9,4,1,22.3,8,1,23.4,4,1
1980,7,18,21.2,8,1,22.1,8,1,22.5,8,1
1980,7,19,20.8,8,1,23.1,8,1,21.4,4,1
1980,7,20,23.2,8,1,24.9,8,1,24.5,8,1
1980,7,21,24.7,8,1,29.6,8,1,28.0,4,1
1980,7,22,24.8,8,1,30.0,8,1,28.5,8,1
1980,7,23,25.4,8,1,29.9,8,1,27.6,8,1
1980,7,24,24.7,8,1,26.6,8,1,26.1,8,1
1980,7,25,24.5,8,1,26.0,8,1,25.2,8,1
1980,7,26,25.1,8,1,26.7,8,1,25.7,8,1
1980,7,27,23.9,8,1,26.0,8,1,25.6,8,1
1980,7,28,24.8,8,1,25.0,8,1,25.6,8,1
1980,7,29,25.0,8,1,26.1,8,1,25.3,8,1
1980,7,30,26.1,8,1,26.7,8,1,27.0,8,1
1980,7,31,21.9,8,1,22.7,8,1,23.2,8,1
1980,8,1,22.4,8,1,25.5,8,1,24.6,8,1
1980,8,2,26.3,8,1,28.6,8,1,26.4,8,1
1980,8,3,26.3,8,1,26.6,8,1,27.4,8,1
1980,8,4,25.3,8,1,23.4,8,1,26.3,8,1
1980,8,5,25.7,8,1,27.6,8,1,27.0,8,1
1980,8,6,25.0,8,1,26.1,8,1,25.4,8,1
1980,8,7,25.4,8,1,26.2,8,1,25.8,8,1
1980,8,8,27.1,8,1,28.0,8,1,27.5,8,1
1980,8,9,26.5,8,1,29.0,8,1,28.2,8,1
1980,8,10,27.0,8,1,28.9,8,1,28.9,8,1
1980,8,11,27.1,8,1,29.2,8,1,27.4,8,1
1980,8,12,27.3,8,1,29.2,8,1,28.5,8,1
1980,8,13,27.6,8,1,29.9,8,1,28.2,8,1
1980,8,14,27.2,8,1,31.1,8,1,29.2,8,1
1980,8,15,25.3,8,1,27.6,8,1,26.2,8,1
1980,8,16,23.3,8,1,23.3,8,1,25.9,8,1
1980,8,17,25.3,8,1,25.8,8,1,25.3,8,1
1980,8,18,24.1,8,1,26.2,8,1,26.9,8,1
1980,8,19,25.5,8,1,26.4,8,1,27.4,8,1
1980,8,20,24.4,8,1,26.3,8,1,24.7,8,1
1980,8,21,25.0,8,1,26.5,8,1,26.6,8,1
1980,8,22,25.6,8,1,27.2,8,1,27.3,8,1
1980,8,23,23.1,8,1,23.6,8,1,23.9,8,1
1980,8,24,25.2,8,1,25.7,8,1,26.3,8,1
1980,8,25,25.2,8,1,26.8,8,1,25.8,8,1
1980,8,26,21.6,8,1,20.1,8,1,23.9,8,1
1980,8,27,21.9,8,1,21.5,8,1,25.6,8,1
1980,8,28,21.7,8,1,24.2,8,1,25.0,8,1
1980,8,29,25.4,8,1,27.6,8,1,25.7,8,1
1980,8,30,22.7,8,1,22.0,8,1,22.5,8,1
1980,8,31,24.0,8,1,25.1,8,1,25.1,8,1
1980,9,1,25.0,8,1,24.4,8,1,24.5,8,1
1980,9,2,24.1,8,1,24.8,8,1,24.6,8,1
1980,9,3,24.4,8,1,26.5,8,1,24.4,8,1
1980,9,4,25.0,8,1,26.9,8,1,26.6,8,1
1980,9,5,25.5,8,1,29.3,8,1,28.5,8,1
1980,9,6,25.6,8,1,25.8,8,1,25.4,8,1
1980,9,7,22.7,8,1,21.7,8,1,21.8,8,1
1980,9,8,20.8,8,1,19.3,8,1,20.6,8,1
1980,9,9,23.1,8,1,24.0,8,1,24.3,8,1
1980,9,10,24.6,8,1,24.7,8,1,25.9,8,1
1980,9,11,29.6,8,1,32.5,8,1,37.0,8,1
1980,9,12,27.5,8,1,28.5,8,1,33.2,8,1
1980,9,13,24.6,8,1,25.6,8,1,24.0,8,1
1980,9,14,24.2,8,1,24.5,8,1,25.1,8,1
1980,9,15,25.0,8,1,25.1,8,1,25.6,8,1
1981,6,16,20.6,8,1,21.4,8,1,21.0,8,1
1981,6,17,19.3,4,1,25.3,8,1,23.2,8,1
1981,6,18,19.4,8,1,21.2,8,1,19.9,8,1
1981,6,19,17.7,8,1,16.6,8,1,18.5,8,1
1981,6,20,20.4,8,1,22.6,8,1,21.1,8,1
1981,6,21,21.1,8,1,22.7,8,1,22.4,8,1
1981,6,22,18.3,8,1,17.4,8,1,22.4,8,1
1981,6,23,20.2,8,1,19.7,8,1,22.7,8,1
1981,6,24,21.1,8,1,24.4,8,1,22.3,8,1
1981,6,25,21.7,8,1,25.3,8,1,24.0,8,1
1981,6,26,23.0,8,1,24.2,8,1,23.5,8,1
1981,6,27,22.6,8,1,24.5,8,1,23.5,8,1
1981,6,28,22.6,8,1,23.0,8,1,24.8,8,1
1981,6,29,22.4,8,1,22.4,8,1,23.2,8,1
1981,6,30,21.5,8,1,22.0,8,1,21.7,8,1
1981,7,1,21.8,8,1,24.3,8,1,23.4,8,1
1981,7,2,22.4,8,1,23.9,8,1,23.7,8,1
1981,7,3,24.9,8,1,27.4,8,1,27.0,8,1
1981,7,4,23.8,8,1,26.8,8,1,28.6,8,1
1981,7,5,22.6,8,1,26.4,8,1,26.9,8,1
1981,7,6,23.2,8,1,29.1,8,1,26.5,8,1
1981,7,7,21.7,8,1,23.1,8,1,22.2,8,1
1981,7,8,23.0,8,1,25.7,8,1,24.4,8,1
1981,7,9,27.0,8,1,31.7,8,1,30.2,8,1
1981,7,10,23.9,8,1,25.8,8,1,29.0,8,1
1981,7,11,22.2,8,1,25.5,8,1,23.7,8,1
1981,7,12,25.0,8,1,30.1,8,1,27.8,8,1
1981,7,13,26.7,8,1,29.3,8,1,27.3,8,1
1981,7,14,25.2,8,1,28.0,8,1,24.6,8,1
1981,7,15,27.5,4,1,31.0,8,1,28.5,4,1
1981,7,16,27.1,8,1,29.8,8,1,28.9,8,1
1981,7,17,26.9,8,1,30.1,8,1,27.9,8,1
1981,7,18,25.4,8,1,28.5,8,1,27.1,8,1
1981,7,19,27.9,8,1,29.2,8,1,28.6,8,1
1981,7,20,27.8,8,1,29.7,8,1,29.3,8,1
1981,7,21,28.5,8,1,30.4,8,1,30.3,8,1
1981,7,22,26.2,8,1,27.2,8,1,27.1,8,1
1981,7,23,27.4,8,1,27.4,8,1,27.2,8,1
1981,7,24,24.4,8,1,25.3,8,1,25.0,8,1
1981,7,25,25.9,8,1,26.8,8,1,26.8,8,1
1981,7,26,25.9,8,1,27.7,8,1,27.4,8,1
1981,7,27,26.4,8,1,28.5,8,1,28.0,8,1
1981,7,28,28.2,8,1,30.5,8,1,30.1,8,1
1981,7,29,29.5,8,1,31.6,8,1,30.4,8,1
1981,7,30,32.7,8,1,35.1,8,1,33.4,8,1
