ダウンロードした時刻：2019/01/25 20:43:37

集計開始,,,集計終了,,,飛島,飛島,飛島,飛島,飛島,飛島,酒田,酒田,酒田,酒田,酒田,酒田,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ
年,月,日,年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1979,1,1,1979,1,10,12.7,8,1,-0.1,8,1,14.1,8,1,-0.7,8,1,13.0,8,1,-0.9,8,1
1979,1,11,1979,1,20,8.5,8,1,-4.1,8,1,5.7,8,1,-4.6,8,1,7.6,8,1,-3.5,8,1
1979,1,21,1979,1,31,10.6,8,1,-4.7,8,1,10.7,8,1,-6.0,8,1,13.0,8,1,-3.9,8,1
1979,2,1,1979,2,10,10.5,8,1,-1.8,8,1,10.3,8,1,-2.8,8,1,16.2,8,1,-3.5,8,1
1979,2,11,1979,2,20,11.3,8,1,-3.0,8,1,13.4,8,1,-2.9,8,1,13.2,8,1,-2.9,8,1
1979,2,21,1979,2,28,12.7,8,1,1.1,8,1,17.1,8,1,-0.3,8,1,15.7,8,1,-1.2,8,1
1979,3,1,1979,3,10,10.9,4,1,0.2,5,1,10.3,8,1,-4.1,8,1,11.1,5,1,-2.0,5,1
1979,3,11,1979,3,20,13.4,8,1,-0.5,8,1,13.9,8,1,-3.6,8,1,13.0,8,1,-3.2,8,1
1979,3,21,1979,3,31,15.6,8,1,-0.3,8,1,16.6,8,1,-3.9,8,1,21.4,5,1,-1.6,5,1
1979,4,1,1979,4,10,16.3,8,1,2.4,8,1,19.9,8,1,-1.7,8,1,21.6,8,1,-0.4,8,1
1979,4,11,1979,4,20,13.6,8,1,2.8,8,1,17.8,8,1,-0.5,8,1,16.0,8,1,1.9,8,1
1979,4,21,1979,4,30,13.7,5,1,4.5,5,1,19.5,8,1,1.6,8,1,16.6,8,1,3.8,8,1
1979,5,1,1979,5,10,18.9,8,1,8.5,8,1,22.0,8,1,4.9,8,1,20.2,5,1,4.9,4,1
1979,5,11,1979,5,20,17.9,8,1,8.7,8,1,18.2,8,1,7.3,8,1,19.5,8,1,8.2,8,1
1979,5,21,1979,5,31,22.5,8,1,9.5,8,1,25.1,8,1,8.8,8,1,22.6,8,1,9.1,8,1
1979,6,1,1979,6,10,24.1,8,1,10.1,8,1,27.8,8,1,7.7,8,1,25.9,8,1,8.3,8,1
1979,6,11,1979,6,20,23.6,8,1,14.2,8,1,27.2,8,1,14.2,8,1,26.6,5,1,13.9,4,1
1979,6,21,1979,6,30,24.6,8,1,17.9,8,1,29.0,8,1,19.8,8,1,26.7,8,1,18.9,8,1
1979,7,1,1979,7,10,26.8,8,1,14.8,8,1,29.8,8,1,15.0,8,1,27.0,8,1,15.4,8,1
1979,7,11,1979,7,20,26.2,5,1,17.6,5,1,29.7,8,1,13.7,8,1,28.5,8,1,15.6,8,1
1979,7,21,1979,7,31,26.1,8,1,20.6,8,1,30.0,8,1,19.9,8,1,27.7,8,1,20.1,8,1
1979,8,1,1979,8,10,27.8,5,1,20.1,5,1,30.8,8,1,17.1,8,1,29.2,8,1,18.8,8,1
1979,8,11,1979,8,20,30.7,8,1,20.5,8,1,32.9,8,1,17.8,8,1,35.0,8,1,18.4,8,1
1979,8,21,1979,8,31,28.7,8,1,19.2,8,1,31.9,8,1,14.8,8,1,31.4,8,1,16.3,8,1
1979,9,1,1979,9,10,26.7,8,1,18.4,8,1,30.1,8,1,15.6,8,1,29.4,8,1,16.9,8,1
1979,9,11,1979,9,20,24.7,8,1,16.0,8,1,27.5,8,1,9.4,8,1,26.4,8,1,12.5,8,1
1979,9,21,1979,9,30,26.3,8,1,15.2,8,1,30.0,8,1,11.4,8,1,27.5,8,1,12.9,8,1
1979,10,1,1979,10,10,23.3,8,1,12.8,8,1,23.5,8,1,11.0,8,1,24.2,8,1,11.7,8,1
1979,10,11,1979,10,20,22.4,5,1,14.8,4,1,24.3,8,1,8.6,8,1,27.5,5,1,11.7,5,1
1979,10,21,1979,10,31,20.0,5,1,8.1,5,1,23.0,8,1,8.0,8,1,21.5,5,1,6.9,5,1
1979,11,1,1979,11,10,20.4,5,1,8.9,5,1,22.7,8,1,2.8,8,1,21.8,5,1,5.6,5,1
1979,11,11,1979,11,20,19.4,5,1,1.5,5,1,21.5,8,1,1.4,8,1,20.6,5,1,2.5,5,1
1979,11,21,1979,11,30,15.8,8,1,4.1,8,1,15.1,8,1,0.6,8,1,18.2,8,1,2.2,8,1
1979,12,1,1979,12,10,13.8,8,1,1.3,8,1,14.3,8,1,-1.1,8,1,15.0,5,1,1.5,5,1
1979,12,11,1979,12,20,15.0,5,1,0.9,5,1,15.8,8,1,-0.4,8,1,15.0,5,1,0.2,5,1
1979,12,21,1979,12,31,11.2,8,1,-0.5,8,1,13.3,8,1,-2.2,8,1,11.7,8,1,-1.3,8,1
1980,1,1,1980,1,10,12.3,8,1,-4.5,8,1,10.9,8,1,-4.7,8,1,14.1,8,1,-3.9,8,1
1980,1,11,1980,1,20,6.7,8,1,-2.5,8,1,5.5,8,1,-8.0,8,1,5.7,8,1,-4.1,8,1
1980,1,21,1980,1,31,10.5,8,1,-2.0,8,1,7.6,8,1,-6.1,8,1,8.8,8,1,-2.1,8,1
1980,2,1,1980,2,10,2.7,8,1,-3.3,8,1,3.2,8,1,-4.9,8,1,2.3,8,1,-2.7,8,1
1980,2,11,1980,2,20,3.6,5,1,-4.9,5,1,3.6,8,1,-8.0,8,1,3.8,5,1,-4.6,5,1
1980,2,21,1980,2,29,8.4,5,1,-2.2,5,1,6.5,8,1,-4.8,8,1,7.9,5,1,-2.1,5,1
1980,3,1,1980,3,10,9.7,5,1,-0.5,5,1,9.5,8,1,-6.1,8,1,9.8,5,1,-2.6,4,1
1980,3,11,1980,3,20,9.3,5,1,-2.7,5,1,7.9,8,1,-3.8,8,1,7.9,5,1,-2.2,5,1
1980,3,21,1980,3,31,14.8,5,1,-0.7,4,1,17.6,8,1,-3.2,8,1,16.9,5,1,-1.0,5,1
1980,4,1,1980,4,10,16.7,8,1,2.4,8,1,21.3,8,1,0.2,8,1,18.7,5,1,0.5,5,1
1980,4,11,1980,4,20,18.7,8,1,2.1,8,1,21.0,8,1,-0.7,8,1,20.8,8,1,1.7,8,1
1980,4,21,1980,4,30,15.8,5,1,4.7,5,1,18.7,8,1,1.0,8,1,16.0,5,1,3.9,5,1
1980,5,1,1980,5,10,19.0,5,1,6.2,5,1,24.8,8,1,3.3,8,1,21.2,5,1,3.7,5,1
1980,5,11,1980,5,20,20.5,5,1,7.9,5,1,27.3,8,1,4.7,8,1,24.1,5,1,5.6,5,1
1980,5,21,1980,5,31,27.1,8,1,11.8,8,1,30.4,8,1,8.3,8,1,26.0,8,1,10.2,8,1
1980,6,1,1980,6,10,27.7,5,1,14.5,5,1,30.7,8,1,10.3,8,1,29.9,5,1,15.1,4,1
1980,6,11,1980,6,20,24.7,8,1,11.1,8,1,28.9,8,1,10.8,8,1,26.2,8,1,10.2,8,1
1980,6,21,1980,6,30,23.7,8,1,15.9,8,1,27.3,8,1,15.7,8,1,25.5,8,1,15.3,8,1
1980,7,1,1980,7,10,25.0,8,1,16.0,8,1,26.1,8,1,15.0,8,1,25.7,8,1,15.5,8,1
1980,7,11,1980,7,20,24.0,5,1,17.7,4,1,26.0,8,1,15.3,8,1,24.5,5,1,16.3,5,1
1980,7,21,1980,7,31,26.1,8,1,18.9,8,1,30.0,8,1,16.8,8,1,28.5,5,1,17.3,5,1
