ダウンロードした時刻：2019/02/27 13:55:57

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,平年値(℃),,平年値(℃),,平年値(℃),,,平年値(mm),平年値(mm),,,平年値(時間),平年値(時間),,,平年値(cm),平年値(cm)
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報
2018,10,1,21.2,18.0,17.9,13.9,23.6,22.3,22.5,0,4.9,,0.7,0,4.8,,0,1,0,1
2018,10,2,19.2,17.8,16.3,13.7,21.5,22.1,5.5,0,5.1,,2.2,0,4.8,,0,1,0,1
2018,10,3,17.8,17.6,13.6,13.6,22.5,21.9,0,1,5.2,,10.0,0,4.8,,0,1,0,1
2018,10,4,17.8,17.4,12.6,13.4,22.8,21.7,0,1,5.3,,7.6,0,4.8,,0,1,0,1
2018,10,5,20.8,17.2,17.2,13.2,26.0,21.5,0,1,5.5,,5.4,0,4.8,,0,1,0,1
2018,10,6,25.1,17.1,18.9,13.0,32.1,21.4,0.0,0,5.6,,8.1,0,4.8,,0,1,0,1
2018,10,7,21.1,16.9,18.8,12.8,27.7,21.2,1.0,0,5.7,,0.0,0,4.8,,0,1,0,1
2018,10,8,18.4,16.7,14.6,12.6,23.1,21.0,0,1,5.8,,9.8,0,4.8,,0,1,0,1
2018,10,9,16.9,16.5,13.4,12.4,22.3,20.9,4.5,0,5.9,,1.9,0,4.8,,0,1,0,1
2018,10,10,18.7,16.4,14.9,12.2,24.7,20.7,7.0,0,6.0,,2.7,0,4.8,,0,1,0,1
2018,10,11,16.7,16.2,15.7,12.0,18.3,20.5,8.5,0,6.0,,0.0,0,4.8,,0,1,0,1
2018,10,12,16.7,16.0,14.5,11.8,19.3,20.3,8.5,0,6.0,,1.2,0,4.8,,0,1,0,1
2018,10,13,15.4,15.8,11.5,11.6,19.7,20.2,0,1,6.0,,6.7,0,4.8,,0,1,0,1
2018,10,14,15.3,15.6,10.9,11.4,20.1,20.0,3.5,0,6.0,,2.4,0,4.8,,0,1,0,1
2018,10,15,15.1,15.4,11.4,11.2,20.1,19.8,0.0,0,5.9,,4.3,0,4.8,,0,1,0,1
2018,10,16,15.2,15.2,11.3,11.0,20.4,19.6,0,1,5.9,,2.9,0,4.7,,0,1,0,1
2018,10,17,13.9,14.9,9.3,10.7,17.8,19.3,0.0,0,5.8,,3.6,0,4.7,,0,1,0,1
2018,10,18,12.1,14.7,7.3,10.5,17.7,19.1,0,1,5.7,,10.2,0,4.7,,0,1,0,1
2018,10,19,13.4,14.5,8.3,10.3,17.8,18.9,4.5,0,5.7,,0.9,0,4.7,,0,1,0,1
2018,10,20,14.6,14.3,9.8,10.1,19.2,18.6,10.0,0,5.7,,8.0,0,4.6,,0,1,0,1
2018,10,21,13.6,14.1,8.4,9.9,19.9,18.4,0,1,5.6,,9.2,0,4.6,,0,1,0,1
2018,10,22,13.8,13.8,8.4,9.7,20.8,18.2,0,1,5.7,,10.4,0,4.5,,0,1,0,1
2018,10,23,16.3,13.6,10.1,9.5,22.0,18.0,0.0,0,5.7,,8.5,0,4.4,,0,1,0,1
2018,10,24,16.1,13.4,13.7,9.3,19.5,17.8,9.5,0,5.8,,1.5,0,4.3,,0,1,0,1
2018,10,25,14.4,13.3,8.8,9.2,18.5,17.6,0,1,5.9,,8.8,0,4.3,,0,1,0,1
2018,10,26,14.8,13.1,7.8,9.0,21.3,17.4,0,1,6.0,,9.1,0,4.2,,0,1,0,1
2018,10,27,16.0,12.9,12.5,8.8,17.8,17.2,15.5,0,6.1,,0.0,0,4.1,,0,1,0,1
2018,10,28,12.9,12.8,10.8,8.7,16.9,17.0,48.5,0,6.2,,1.2,0,4.0,,0,1,0,1
2018,10,29,13.2,12.6,10.7,8.5,16.5,16.8,45.0,0,6.4,,0.0,0,4.0,,0,1,0,1
2018,10,30,12.3,12.4,9.7,8.4,13.9,16.7,23.5,0,6.5,,0.2,0,3.9,,0,1,0,1
2018,10,31,11.4,12.3,8.0,8.2,13.4,16.5,43.0,0,6.5,,1.7,0,3.9,,0,1,0,1
2018,11,1,11.3,12.1,8.0,8.0,15.3,16.4,9.5,0,6.6,,4.6,0,3.8,,0,1,0,1
2018,11,2,10.8,12.0,8.0,7.9,14.5,16.2,2.0,0,6.7,,0.7,0,3.8,,0,1,0,1
2018,11,3,11.7,11.8,7.7,7.7,17.7,16.1,0,1,6.8,,6.3,0,3.7,,0,1,0,1
2018,11,4,12.5,11.7,7.8,7.6,18.9,15.9,0,1,6.9,,7.8,0,3.7,,0,1,0,1
2018,11,5,12.2,11.5,7.8,7.4,17.8,15.7,0,1,7.0,,3.2,0,3.6,,0,1,0,1
2018,11,6,12.1,11.3,8.4,7.2,15.5,15.5,0.0,0,7.1,,0.8,0,3.5,,0,1,0,1
2018,11,7,11.7,11.1,8.0,7.1,16.6,15.3,1.0,0,7.2,,7.1,0,3.4,,0,1,0,1
2018,11,8,14.0,10.9,6.5,6.9,19.7,15.1,0,1,7.3,,6.1,0,3.4,,0,1,0,1
2018,11,9,18.6,10.7,15.4,6.7,22.4,14.8,13.0,0,7.5,,0.2,0,3.2,,0,1,0,1
2018,11,10,14.6,10.5,9.4,6.5,17.7,14.5,13.5,0,7.6,,1.1,0,3.1,,0,1,0,1
2018,11,11,12.8,10.2,8.9,6.3,15.7,14.3,0.0,0,7.7,,4.7,0,3.0,,0,1,0,1
2018,11,12,12.0,10.0,8.5,6.1,15.0,14.0,0.5,0,7.8,,0.2,0,2.9,,0,1,0,1
2018,11,13,11.6,9.8,7.7,5.9,14.7,13.7,0,1,7.9,,5.8,0,2.8,,0,1,0,1
2018,11,14,9.5,9.5,5.3,5.7,14.0,13.4,0.5,0,7.9,,6.5,0,2.7,,0,1,0,
2018,11,15,10.2,9.3,7.5,5.5,12.8,13.1,0,1,7.9,,0.6,0,2.6,,0,1,0,
2018,11,16,10.5,9.0,6.6,5.3,16.0,12.9,0.0,0,7.9,,4.5,0,2.5,,0,1,0,
2018,11,17,9.3,8.8,4.6,5.1,12.5,12.6,39.0,0,7.8,,2.2,0,2.5,,0,1,1,
2018,11,18,7.9,8.6,4.0,4.9,12.5,12.4,0,1,7.8,,7.9,0,2.4,,0,1,1,
2018,11,19,10.4,8.4,7.7,4.7,13.8,12.2,8.0,0,7.7,,1.3,0,2.4,,0,1,1,
2018,11,20,8.9,8.2,5.2,4.6,10.7,12.0,0.0,0,7.6,,1.8,0,2.3,,0,1,1,
2018,11,21,9.0,8.1,5.1,4.4,12.4,11.8,21.0,0,7.5,,0.1,0,2.3,,0,1,1,
2018,11,22,8.7,7.9,5.9,4.3,13.3,11.6,13.5,0,7.5,,1.2,0,2.3,,0,1,1,
2018,11,23,5.1,7.7,2.3,4.2,6.9,11.4,5.0,0,7.4,,1.6,0,2.2,,0,1,1,
2018,11,24,5.5,7.6,3.1,4.1,8.3,11.3,1.0,0,7.3,,0.1,0,2.2,,0,1,1,
2018,11,25,7.8,7.4,2.3,4.0,12.8,11.1,10.5,0,7.3,,7.6,0,2.2,,0,1,1,
2018,11,26,9.8,7.3,4.0,3.9,12.9,10.9,2.0,0,7.3,,8.3,0,2.1,,0,1,1,
2018,11,27,10.6,7.2,3.1,3.8,17.4,10.7,0.0,0,7.2,,8.5,0,2.1,,0,1,1,
2018,11,28,11.9,7.0,7.7,3.7,15.7,10.6,0.5,0,7.2,,2.3,0,2.1,,0,1,1,
2018,11,29,7.3,6.9,4.8,3.6,9.9,10.4,8.5,0,7.1,,4.9,0,2.0,,0,1,1,
2018,11,30,6.5,6.7,4.6,3.5,7.7,10.2,1.5,0,7.1,,0.0,0,2.0,,0,1,1,
2018,12,1,6.9,6.6,3.5,3.4,11.7,10.1,8.0,0,7.0,,0.9,0,1.9,,0,1,1,
2018,12,2,7.1,6.5,3.5,3.2,11.3,9.9,0,1,7.0,,7.4,0,1.8,,0,1,1,
2018,12,3,9.6,6.3,4.0,3.1,16.4,9.7,0.0,0,7.0,,7.3,0,1.8,,0,1,1,
2018,12,4,12.8,6.2,9.9,3.0,16.9,9.6,23.5,0,6.9,,0.1,0,1.7,,0,1,1,
2018,12,5,9.2,6.0,3.6,2.9,13.3,9.4,0.5,0,6.9,,2.1,0,1.6,,0,1,1,
2018,12,6,5.6,5.9,3.1,2.8,8.4,9.2,10.0,0,6.9,,0.0,0,1.6,,0,1,1,
2018,12,7,6.7,5.7,1.3,2.6,12.7,9.1,14.5,0,6.9,,0.1,0,1.5,,0,1,1,
2018,12,8,0.7,5.6,-0.5,2.5,3.3,8.9,43.5,0,6.9,,0.0,0,1.4,,40,0,1,
