É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/06/29 17:53:51

,,,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc
îN,åé,ì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),çáåvëSìVì˙éÀó (MJ/áu),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s)
,,,,,,,,,,,,,,,,,ïóå¸
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,,åªè€Ç»ÇµèÓïÒ,,,
2019,1,1,3.8,5.1,1.1,0.5,0,0.5,0,0.1,0,,0,1,6.4,10.5,êºñkêº
2019,1,2,2.1,4.7,-0.8,3.5,0,1.5,0,0.8,0,,3,0,5.7,10.8,êºñkêº
2019,1,3,2.5,4.7,-0.3,2.0,0,1.0,0,1.2,0,,0,1,5.8,9.9,êºñkêº
2019,1,4,4.6,6.9,2.1,1.0,0,0.5,0,0.3,0,,0,1,4.8,8.5,êº
2019,1,5,3.7,7.0,-0.7,13.5,0,8.0,0,0.0,0,,0,1,7.7,11.2,ñkêº
2019,1,6,2.3,4.1,-0.8,0.5,0,0.5,0,0.6,0,,0,1,5.5,8.6,êºñkêº
2019,1,7,2.4,4.8,0.7,6.0,0,2.5,0,1.3,0,,0,1,5.9,9.7,êºñkêº
2019,1,8,2.3,4.0,0.0,3.0,0,1.0,0,0.0,0,,2,0,5.5,8.4,ñkêº
2019,1,9,1.8,4.5,-0.5,1.5,0,0.5,0,1.0,0,,0,1,7.2,11.5,ñkêº
2019,1,10,4.7,8.2,1.2,19.5,0,5.0,0,0.1,0,,0,1,5.6,10.5,êºñkêº
2019,1,11,3.4,6.4,1.5,0.0,0,0.0,0,2.1,0,,0,1,5.8,9.1,ñkêº
2019,1,12,3.6,6.1,-0.3,0.0,0,0.0,0,0.1,0,,0,1,2.9,5.3,êºñkêº
2019,1,13,2.4,5.3,0.0,0,1,0,1,1.6,0,,0,1,1.8,4.1,ñkñkêº
2019,1,14,2.2,6.4,-0.6,0,1,0,1,6.7,0,,0,1,1.7,4.0,êºñkêº
2019,1,15,3.3,8.4,-1.4,11.5,0,5.5,0,0.5,0,,0,1,5.0,13.0,êºìÏêº
2019,1,16,2.2,5.8,-0.2,1.0,0,0.5,0,1.2,0,,0,1,7.0,11.3,êºñkêº
2019,1,17,1.2,4.5,-1.5,11.5,0,3.5,0,0.0,0,,10,0,7.6,14.1,êºñkêº
2019,1,18,1.2,2.8,-1.6,4.0,0,1.0,0,0.2,0,,1,0,9.4,12.2,êºñkêº
2019,1,19,3.8,5.7,0.9,1.0,0,1.0,0,1.0,0,,1,0,5.7,8.7,êº
2019,1,20,2.4,4.5,-0.5,10.0,0,2.5,0,0.0,0,,0,1,5.4,13.3,êºñkêº
2019,1,21,0.7,3.4,-2.0,2.0,0,0.5,0,0.6,0,,0,1,9.5,13.3,êºñkêº
2019,1,22,2.3,4.2,-0.1,3.0,0,1.0,0,0.4,0,,4,0,6.6,9.8,ñkêº
2019,1,23,2.7,4.9,0.5,17.5,0,7.0,0,0.1,0,,0,1,5.3,11.2,êºñkêº
2019,1,24,-0.3,2.5,-2.1,9.0,0,2.0,0,0.9,0,,10,0,8.4,13.4,êºñkêº
2019,1,25,-0.3,1.5,-1.2,12.0,0,3.0,0,1.0,0,,13,0,2.9,6.3,ñkñkêº
2019,1,26,-0.9,1.9,-3.8,11.0,0,4.5,0,2.1,0,,18,0,2.8,7.0,ñkñkêº
2019,1,27,1.9,4.3,-3.3,6.5,0,2.5,0,0.7,0,,7,0,4.9,9.7,ñkêº
2019,1,28,2.4,5.7,0.0,15.5,0,7.0,0,0.0,0,,0,1,5.1,11.5,êºñkêº
2019,1,29,3.2,4.2,0.6,1.5,0,0.5,0,0.4,0,,1,0,8.4,13.1,ñkêº
2019,1,30,2.9,7.0,-0.1,0,1,0,1,2.4,0,,0,1,2.8,5.5,êºìÏêº
2019,1,31,2.6,6.2,0.1,4.5,0,4.0,0,0.0,0,,0,1,5.4,9.9,êºìÏêº
2019,2,1,-0.7,1.8,-2.6,4.5,0,1.0,0,0.3,0,,3,0,8.1,10.8,êºñkêº
2019,2,2,3.4,5.7,-1.1,1.5,0,1.0,0,2.7,0,,1,0,6.7,11.1,êºñkêº
2019,2,3,2.9,6.6,-1.6,3.0,0,2.0,0,1.7,0,,0,1,2.7,6.1,ìÏìå
2019,2,4,4.7,10.7,0.7,13.5,0,4.0,0,0.2,0,,0,1,8.1,13.5,êºìÏêº
2019,2,5,3.2,6.4,0.4,0.0,0,0.0,0,4.9,0,,0,1,4.1,8.6,êºñkêº
2019,2,6,3.3,7.4,0.7,0,1,0,1,1.5,0,,0,1,2.6,5.4,ìÏìå
2019,2,7,4.8,8.8,0.0,30.0,0,5.0,0,0.0,0,,0,1,5.2,12.3,êºñkêº
2019,2,8,-2.1,0.4,-3.4,1.0,0,1.0,0,0.4,0,,2,0,8.9,13.4,ñkêº
2019,2,9,-0.5,1.0,-2.0,0.5,0,0.5,0,0.0,0,,0,1,3.7,7.2,êº
2019,2,10,-0.7,1.3,-2.9,4.0,0,2.0,0,0.6,0,,7,0,5.1,8.6,ñkñkêº
2019,2,11,1.3,3.8,-0.9,3.5,0,1.5,0,4.8,0,,6,0,3.5,7.5,ñk
2019,2,12,0.3,1.6,-1.0,3.0,0,1.5,0,0.9,0,,6,0,6.5,10.7,êºñkêº
2019,2,13,-0.1,0.7,-1.4,1.0,0,1.0,0,1.6,0,,1,0,6.7,10.2,ñkêº
2019,2,14,0.0,1.5,-2.0,0.5,0,0.5,0,1.7,0,,0,1,5.9,8.7,ñkêº
2019,2,15,1.5,3.3,-0.6,0.0,0,0.0,0,0.0,0,,0,1,3.2,6.6,ñkêº
2019,2,16,3.4,6.4,-0.3,2.5,0,0.5,0,3.0,0,,1,0,6.5,11.1,ìÏêº
2019,2,17,3.6,5.1,1.7,0.5,0,0.5,0,0.1,0,,1,0,7.5,10.1,êº
2019,2,18,5.4,8.8,1.5,0.5,0,0.5,0,7.3,0,,0,1,5.0,9.6,êºñkêº
2019,2,19,5.1,10.4,1.3,7.0,0,2.0,0,0.1,0,,0,1,3.0,4.6,ìÏìÏìå
2019,2,20,7.1,10.9,4.7,16.5,0,3.5,0,0.4,0,,0,1,4.0,12.1,êº
2019,2,21,5.9,7.2,4.6,4.0,0,1.0,0,0.1,0,,0,1,6.3,11.3,êº
2019,2,22,6.1,9.0,3.2,0,1,0,1,2.9,0,,0,1,4.0,6.2,êº
2019,2,23,4.4,7.6,0.3,0,1,0,1,6.8,0,,0,1,4.5,7.8,ñkêº
2019,2,24,4.7,9.5,-0.2,0,1,0,1,7.8,0,,0,1,3.2,7.5,êºìÏêº
2019,2,25,5.9,13.1,0.2,0.0,0,0.0,0,3.3,0,,0,1,3.9,8.1,ìÏêº
2019,2,26,4.7,7.6,1.1,0,1,0,1,6.6,0,,0,1,4.1,10.1,ñkêº
2019,2,27,3.8,6.5,-0.1,0,1,0,1,7.9,0,,0,1,2.5,6.1,êºñkêº
