ダウンロードした時刻：2019/06/29 17:28:27

,,,酒田
年,月,日,平均気温(℃)
1937,1,1,4.8
1937,1,2,1.4
1937,1,3,2.7
1937,1,4,3.9
1937,1,5,5.1
1937,1,6,5.8
1937,1,7,0.9
1937,1,8,-0.2
1937,1,9,-0.3
1937,1,10,-0.3
1937,1,11,-1.2
1937,1,12,-1.4
1937,1,13,-1.2
1937,1,14,0.8
1937,1,15,1.5
1937,1,16,1.0
1937,1,17,1.3
1937,1,18,2.0
1937,1,19,1.6
1937,1,20,0.4
1937,1,21,1.3
1937,1,22,1.5
1937,1,23,0.5
1937,1,24,0.0
1937,1,25,-0.4
1937,1,26,-2.8
1937,1,27,-3.4
1937,1,28,-1.9
1937,1,29,-0.9
1937,1,30,0.7
1937,1,31,0.5
1937,2,1,-1.4
1937,2,2,0.5
1937,2,3,1.9
1937,2,4,1.2
1937,2,5,2.1
1937,2,6,2.4
1937,2,7,0.3
1937,2,8,-1.4
1937,2,9,-2.3
1937,2,10,-1.6
1937,2,11,2.1
1937,2,12,2.4
1937,2,13,1.9
1937,2,14,1.4
1937,2,15,1.0
1937,2,16,2.2
1937,2,17,2.2
1937,2,18,0.9
1937,2,19,2.7
1937,2,20,3.9
1937,2,21,2.6
1937,2,22,4.7
1937,2,23,6.0
1937,2,24,4.9
1937,2,25,1.8
1937,2,26,5.1
1937,2,27,4.1
1937,2,28,-0.1
1937,3,1,2.7
1937,3,2,7.2
1937,3,3,10.2
1937,3,4,9.8
1937,3,5,3.2
1937,3,6,4.2
1937,3,7,3.6
1937,3,8,1.0
1937,3,9,1.4
1937,3,10,1.8
1937,3,11,2.9
1937,3,12,0.0
1937,3,13,0.8
1937,3,14,4.5
1937,3,15,7.0
1937,3,16,4.5
1937,3,17,1.3
1937,3,18,-2.1
1937,3,19,-0.7
1937,3,20,0.6
1937,3,21,2.8
1937,3,22,5.7
1937,3,23,5.3
1937,3,24,5.3
1937,3,25,3.7
1937,3,26,-0.4
1937,3,27,3.1
1937,3,28,4.4
1937,3,29,2.9
1937,3,30,3.1
1937,3,31,4.0
1937,4,1,5.8
1937,4,2,5.0
1937,4,3,4.4
1937,4,4,4.4
1937,4,5,4.8
1937,4,6,6.5
1937,4,7,7.4
1937,4,8,7.0
1937,4,9,6.1
1937,4,10,6.2
1937,4,11,9.1
1937,4,12,7.1
1937,4,13,9.1
1937,4,14,14.4
1937,4,15,10.6
1937,4,16,9.5
1937,4,17,8.6
1937,4,18,5.3
1937,4,19,7.5
1937,4,20,14.1
1937,4,21,14.0
1937,4,22,8.1
1937,4,23,8.5
1937,4,24,11.1
1937,4,25,10.5
1937,4,26,13.5
1937,4,27,10.1
1937,4,28,7.9
1937,4,29,7.7
1937,4,30,13.4
1937,5,1,16.3
1937,5,2,13.6
1937,5,3,10.7
1937,5,4,11.7
1937,5,5,14.1
1937,5,6,8.3
1937,5,7,8.8
1937,5,8,9.6
1937,5,9,11.3
1937,5,10,13.0
1937,5,11,13.3
1937,5,12,15.0
1937,5,13,14.7
