ダウンロードした時刻：2019/09/12 15:33:33

,,,酒田,酒田,酒田
年,月,日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,,平年値(℃),過去20年平均(℃)
,,,,,
2019,5,1,18.2,18.0,18.7
2019,5,2,16.6,18.2,18.9
2019,5,3,16.4,18.3,20.8
2019,5,4,17.4,18.5,19.0
2019,5,5,23.3,18.6,17.8
2019,5,6,24.7,18.7,21.2
2019,5,7,15.7,18.7,19.6
2019,5,8,18.8,18.8,18.7
2019,5,9,22.5,18.8,18.5
2019,5,10,19.1,18.9,18.7
2019,5,11,20.7,18.9,17.4
2019,5,12,17.5,19.0,19.4
2019,5,13,19.2,19.1,18.9
2019,5,14,23.3,19.2,19.3
2019,5,15,21.7,19.3,20.5
2019,5,16,24.0,19.4,19.5
2019,5,17,25.9,19.5,18.2
2019,5,18,27.9,19.7,20.8
2019,5,19,27.6,19.9,21.8
2019,5,20,28.6,20.0,21.3
2019,5,21,20.9,20.2,20.6
2019,5,22,22.0,20.3,22.9
2019,5,23,24.6,20.5,21.7
2019,5,24,22.0,20.6,21.4
2019,5,25,27.2,20.8,20.5
2019,5,26,29.3,21.0,21.9
2019,5,27,29.8,21.1,22.0
2019,5,28,23.1,21.3,22.7
2019,5,29,20.6,21.5,23.2
2019,5,30,23.6,21.7,24.3
2019,5,31,24.7,21.8,21.9
2019,6,1,22.4,22.0,21.4
2019,6,2,25.9,22.2,22.2
2019,6,3,25.4,22.4,23.0
2019,6,4,27.1,22.6,23.1
2019,6,5,28.7,22.7,23.5
2019,6,6,21.3,22.9,23.7
2019,6,7,25.6,23.0,24.2
2019,6,8,22.7,23.1,25.3
2019,6,9,26.0,23.2,23.4
2019,6,10,23.6,23.3,24.1
2019,6,11,23.2,23.4,24.2
2019,6,12,23.8,23.5,24.2
2019,6,13,21.9,23.5,24.4
2019,6,14,29.3,23.6,23.6
2019,6,15,22.4,23.7,23.9
2019,6,16,20.7,23.7,23.6
2019,6,17,18.0,23.8,23.7
2019,6,18,23.1,23.8,24.6
2019,6,19,22.2,23.9,25.3
2019,6,20,24.5,24.0,25.4
2019,6,21,28.9,24.1,25.4
2019,6,22,26.5,24.1,25.0
2019,6,23,24.2,24.2,24.6
2019,6,24,22.2,24.3,25.0
2019,6,25,23.9,24.4,25.1
2019,6,26,26.6,24.4,25.8
2019,6,27,25.8,24.5,25.0
2019,6,28,24.1,24.6,26.0
2019,6,29,24.1,24.7,25.9
2019,6,30,26.2,24.8,27.1
2019,7,1,25.2,24.9,25.4
2019,7,2,24.7,25.0,26.2
2019,7,3,28.3,25.1,26.2
2019,7,4,27.8,25.2,26.0
2019,7,5,25.8,25.3,26.1
2019,7,6,28.3,25.4,26.3
2019,7,7,26.6,25.5,26.0
2019,7,8,28.2,25.6,27.0
2019,7,9,25.8,25.7,28.0
2019,7,10,28.9,25.8,27.3
2019,7,11,27.1,25.9,27.0
2019,7,12,23.5,26.1,26.3
2019,7,13,25.0,26.2,27.6
2019,7,14,26.8,26.4,27.3
2019,7,15,30.0,26.6,27.8
2019,7,16,30.3,26.8,27.8
2019,7,17,27.2,27.0,27.9
2019,7,18,30.1,27.2,27.7
2019,7,19,25.9,27.4,27.8
2019,7,20,28.2,27.7,28.3
2019,7,21,31.7,27.9,28.1
2019,7,22,27.6,28.2,28.8
2019,7,23,30.3,28.4,28.8
2019,7,24,30.1,28.6,28.3
2019,7,25,30.9,28.8,28.8
2019,7,26,33.4,29.0,29.8
2019,7,27,35.1,29.2,29.6
2019,7,28,30.4,29.3,28.9
2019,7,29,32.9,29.5,29.9
2019,7,30,31.7,29.6,31.1
2019,7,31,33.7,29.7,31.1
2019,8,1,33.2,29.7,31.0
2019,8,2,31.8,29.8,31.2
2019,8,3,31.6,29.8,31.6
2019,8,4,32.8,29.9,31.1
2019,8,5,34.1,29.9,31.5
2019,8,6,34.3,29.9,31.2
2019,8,7,34.0,29.9,31.0
2019,8,8,34.5,30.0,31.2
2019,8,9,32.3,30.0,30.8
2019,8,10,30.0,30.0,30.5
2019,8,11,31.5,30.0,29.9
2019,8,12,32.8,30.0,29.4
2019,8,13,35.4,30.0,29.9
2019,8,14,35.1,29.9,29.6
2019,8,15,37.9,29.9,30.2
2019,8,16,31.5,29.9,30.0
2019,8,17,30.8,29.8,29.4
2019,8,18,31.1,29.8,29.7
2019,8,19,34.1,29.7,30.8
2019,8,20,27.4,29.6,30.6
2019,8,21,29.8,29.5,29.7
2019,8,22,30.4,29.4,29.9
2019,8,23,27.3,29.3,28.8
2019,8,24,28.3,29.2,28.5
2019,8,25,27.2,29.1,28.7
2019,8,26,26.3,29.0,28.7
2019,8,27,29.4,28.8,28.9
2019,8,28,29.7,28.7,29.4
2019,8,29,28.1,28.6,28.8
2019,8,30,26.0,28.5,28.6
2019,8,31,28.9,28.3,28.4
2019,9,1,27.4,28.1,28.9
2019,9,2,24.1,28.0,29.1
2019,9,3,24.8,27.8,29.1
2019,9,4,28.3,27.6,28.9
2019,9,5,29.6,27.4,28.4
2019,9,6,32.2,27.2,28.0
2019,9,7,34.2,26.9,27.1
2019,9,8,35.3,26.7,27.3
2019,9,9,31.4,26.5,27.7
2019,9,10,29.7,26.3,26.9
2019,9,11,26.3,26.1,27.0
