ダウンロードした時刻：2019/09/12 15:37:11

,,,酒田
年,月,日,最高気温(℃)
,,,
,,,
1969,5,1,
1969,5,2,
1969,5,3,
1969,5,4,
1969,5,5,
1969,5,6,
1969,5,7,
1969,5,8,
1969,5,9,
1969,5,10,
1969,5,11,
1969,5,12,
1969,5,13,
1969,5,14,
1969,5,15,
1969,5,16,
1969,5,17,
1969,5,18,
1969,5,19,
1969,5,20,
1969,5,21,
1969,5,22,
1969,5,23,
1969,5,24,
1969,5,25,
1969,5,26,
1969,5,27,
1969,5,28,
1969,5,29,
1969,5,30,
1969,5,31,
1969,6,1,
1969,6,2,
1969,6,3,
1969,6,4,
1969,6,5,
1969,6,6,
1969,6,7,
1969,6,8,
1969,6,9,
1969,6,10,
1969,6,11,
1969,6,12,
1969,6,13,
1969,6,14,
1969,6,15,
1969,6,16,
1969,6,17,
1969,6,18,
1969,6,19,
1969,6,20,
1969,6,21,
1969,6,22,
1969,6,23,
1969,6,24,
1969,6,25,
1969,6,26,
1969,6,27,
1969,6,28,
1969,6,29,
1969,6,30,
1969,7,1,
1969,7,2,
1969,7,3,
1969,7,4,
1969,7,5,
1969,7,6,
1969,7,7,
1969,7,8,
1969,7,9,
1969,7,10,
1969,7,11,
1969,7,12,
1969,7,13,
1969,7,14,
1969,7,15,
1969,7,16,
1969,7,17,
1969,7,18,
1969,7,19,
1969,7,20,
1969,7,21,
1969,7,22,
1969,7,23,
1969,7,24,
1969,7,25,
1969,7,26,
1969,7,27,
1969,7,28,
1969,7,29,
1969,7,30,
1969,7,31,
1969,8,1,
1969,8,2,
1969,8,3,
1969,8,4,
1969,8,5,
1969,8,6,
1969,8,7,
1969,8,8,
1969,8,9,
1969,8,10,
1969,8,11,
1969,8,12,
1969,8,13,
1969,8,14,
1969,8,15,
1969,8,16,
1969,8,17,
1969,8,18,
1969,8,19,
1969,8,20,
1969,8,21,
1969,8,22,
1969,8,23,
1969,8,24,
1969,8,25,
1969,8,26,
1969,8,27,
1969,8,28,
1969,8,29,
1969,8,30,
1969,8,31,
1969,9,1,
1969,9,2,
1969,9,3,
1969,9,4,
1969,9,5,
1969,9,6,
1969,9,7,
1969,9,8,
1969,9,9,
1969,9,10,
1969,9,11,
1969,9,12,
1969,9,13,
1969,9,14,
1969,9,15,
1969,9,16,
1969,9,17,
1969,9,18,
1969,9,19,
1969,9,20,
1969,9,21,
1969,9,22,
1969,9,23,
1969,9,24,
1969,9,25,
1969,9,26,
1969,9,27,
1969,9,28,
1969,9,29,
1969,9,30,
1969,10,1,
1969,10,2,
1969,10,3,
1969,10,4,
1969,10,5,
1969,10,6,
1969,10,7,
1969,10,8,
1969,10,9,
1969,10,10,
1969,10,11,
1969,10,12,
1969,10,13,
1969,10,14,
1969,10,15,
1969,10,16,
1969,10,17,
1969,10,18,
1969,10,19,
1969,10,20,
1969,10,21,
1969,10,22,
1969,10,23,
1969,10,24,
1969,10,25,
1969,10,26,
1969,10,27,
1969,10,28,
1969,10,29,
1969,10,30,
1969,10,31,
1970,5,1,16.0
1970,5,2,22.3
1970,5,3,25.8
1970,5,4,20.6
1970,5,5,23.5
1970,5,6,24.9
1970,5,7,19.7
1970,5,8,23.9
1970,5,9,25.2
1970,5,10,26.9
1970,5,11,25.0
1970,5,12,14.6
1970,5,13,17.7
1970,5,14,20.0
1970,5,15,17.3
1970,5,16,22.2
1970,5,17,19.4
1970,5,18,17.8
1970,5,19,26.4
1970,5,20,20.5
1970,5,21,18.7
1970,5,22,17.6
1970,5,23,21.0
1970,5,24,21.6
1970,5,25,25.5
1970,5,26,22.9
1970,5,27,22.3
1970,5,28,20.3
1970,5,29,19.5
1970,5,30,18.4
1970,5,31,24.8
1970,6,1,18.9
1970,6,2,15.9
1970,6,3,17.0
1970,6,4,21.8
1970,6,5,24.0
1970,6,6,22.0
1970,6,7,22.1
1970,6,8,26.5
1970,6,9,27.5
1970,6,10,25.7
1970,6,11,21.3
1970,6,12,22.6
1970,6,13,22.8
1970,6,14,24.3
1970,6,15,21.0
1970,6,16,18.9
1970,6,17,15.1
1970,6,18,19.9
1970,6,19,21.2
1970,6,20,18.1
1970,6,21,18.6
1970,6,22,23.3
1970,6,23,25.3
1970,6,24,27.1
1970,6,25,24.1
1970,6,26,23.4
1970,6,27,21.1
1970,6,28,22.0
1970,6,29,24.3
1970,6,30,26.1
1970,7,1,25.8
1970,7,2,26.6
1970,7,3,24.9
1970,7,4,26.9
1970,7,5,26.0
1970,7,6,25.0
1970,7,7,20.6
1970,7,8,22.5
1970,7,9,25.7
1970,7,10,27.4
1970,7,11,26.6
1970,7,12,23.6
1970,7,13,23.8
1970,7,14,24.2
1970,7,15,25.7
1970,7,16,27.2
1970,7,17,24.8
1970,7,18,26.0
1970,7,19,24.4
1970,7,20,25.9
1970,7,21,27.0
1970,7,22,28.2
1970,7,23,30.4
1970,7,24,31.9
1970,7,25,31.2
1970,7,26,31.0
1970,7,27,29.7
1970,7,28,32.1
1970,7,29,31.2
1970,7,30,31.6
1970,7,31,33.6
1970,8,1,29.0
1970,8,2,24.6
1970,8,3,25.0
1970,8,4,28.0
1970,8,5,26.4
1970,8,6,26.7
1970,8,7,26.4
1970,8,8,28.5
1970,8,9,29.4
1970,8,10,30.2
1970,8,11,28.6
1970,8,12,30.9
1970,8,13,27.7
1970,8,14,28.6
1970,8,15,30.9
1970,8,16,26.0
1970,8,17,27.4
1970,8,18,29.4
1970,8,19,30.5
1970,8,20,30.6
1970,8,21,31.0
1970,8,22,34.2
1970,8,23,33.2
1970,8,24,30.1
1970,8,25,30.9
1970,8,26,30.7
1970,8,27,30.7
1970,8,28,30.5
1970,8,29,30.9
1970,8,30,27.4
1970,8,31,29.3
1970,9,1,32.1
1970,9,2,32.6
1970,9,3,26.7
1970,9,4,26.4
1970,9,5,25.2
1970,9,6,26.5
1970,9,7,25.7
1970,9,8,28.7
1970,9,9,29.2
1970,9,10,23.9
1970,9,11,24.1
1970,9,12,22.8
1970,9,13,24.0
1970,9,14,26.6
1970,9,15,24.4
1970,9,16,25.6
1970,9,17,26.8
1970,9,18,25.4
1970,9,19,23.5
1970,9,20,24.4
1970,9,21,27.8
1970,9,22,22.6
1970,9,23,21.8
1970,9,24,23.8
1970,9,25,20.1
1970,9,26,20.2
1970,9,27,22.5
1970,9,28,22.6
1970,9,29,21.8
1970,9,30,17.8
1970,10,1,19.8
1970,10,2,19.7
1970,10,3,20.8
1970,10,4,20.5
1970,10,5,22.2
1970,10,6,21.5
1970,10,7,21.4
1970,10,8,24.0
1970,10,9,25.2
1970,10,10,19.7
1970,10,11,21.4
1970,10,12,17.7
